Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,sncorp.com.au,,?,,com.au,
Character Omission,sucorp.com.au,,?,,com.au,
Character Omission,suncop.com.au,,?,,com.au,
Character Omission,suncor.com.au,,?,,com.au,
Character Omission,suncrp.com.au,,?,,com.au,
Character Omission,sunorp.com.au,,?,,com.au,
Character Repeat,ssuncorp.com.au,,?,,com.au,
Character Repeat,sunccorp.com.au,,?,,com.au,
Character Repeat,suncoorp.com.au,,?,,com.au,
Character Repeat,suncorpp.com.au,,?,,com.au,
Character Repeat,suncorrp.com.au,,?,,com.au,
Character Repeat,sunncorp.com.au,,?,,com.au,
Character Repeat,suuncorp.com.au,,?,,com.au,
Character Swap,snucorp.com.au,,?,,com.au,
Character Swap,sucnorp.com.au,,?,,com.au,
Character Swap,suncopr.com.au,,?,,com.au,
Character Swap,suncorp.com.ua,,?,,com.ua,
Character Swap,suncrop.com.au,,?,,com.au,
Character Swap,sunocrp.com.au,,?,,com.au,
Character Swap,usncorp.com.au,,?,,com.au,
Character Replacement,auncorp.com.au,,?,,com.au,
Character Replacement,duncorp.com.au,,?,,com.au,
Character Replacement,sincorp.com.au,,?,extmail.bigpond.com,com.au,
Character Replacement,subcorp.com.au,,?,mx2.asc.com.au,com.au,
Character Replacement,sumcorp.com.au,,?,,com.au,
Character Replacement,suncirp.com.au,,?,,com.au,
Character Replacement,suncoep.com.au,,?,,com.au,
Character Replacement,suncoro.com.au,,?,,com.au,
Character Replacement,suncorp.com.ai,,?,,ai,
Character Replacement,suncorp.com.su,,?,,su,
Character Replacement,suncotp.com.au,,?,,com.au,
Character Replacement,suncprp.com.au,,?,,com.au,
Character Replacement,sunvorp.com.au,,?,,com.au,
Character Replacement,sunxorp.com.au,,?,,com.au,
Character Replacement,syncorp.com.au,199.34.228.49,DO,DOMINICAN REPUBLIC,mail.syncorp.com.au,com.au,
Character Insertion,sauncorp.com.au,,?,,com.au,
Character Insertion,sduncorp.com.au,,?,,com.au,
Character Insertion,suincorp.com.au,,?,,com.au,
Character Insertion,sunbcorp.com.au,,?,,com.au,
Character Insertion,suncoirp.com.au,,?,,com.au,
Character Insertion,suncoprp.com.au,,?,,com.au,
Character Insertion,suncorep.com.au,,?,,com.au,
Character Insertion,suncorpo.com.au,,?,,com.au,
Character Insertion,suncortp.com.au,,?,,com.au,
Character Insertion,suncvorp.com.au,,?,,com.au,
Character Insertion,suncxorp.com.au,,?,,com.au,
Character Insertion,sunmcorp.com.au,,?,,com.au,
Character Insertion,suyncorp.com.au,,?,,com.au,
Missing Dot,wwwsuncorp.com.au,,?,,com.au,
Singular or Pluralise,suncorps.com.au,,?,,com.au,
Vowel Swap,sencorp.com.ae,,?,,ae,
Vowel Swap,sincorp.com.ai,,?,,ai,
Vowel Swap,suncorp.com.eu,,?,,eu,
Homophones,soncorp.com.au,,?,,com.au,
Homophones,suncoarp.com.au,,?,,com.au,
Bit Flipping,3uncorp.com.au,,?,,com.au,
Bit Flipping,cuncorp.com.au,,?,,com.au,
Bit Flipping,quncorp.com.au,,?,,com.au,
Bit Flipping,runcorp.com.au,203.42.54.67,CA,CANADA,,com.au,
Bit Flipping,s5ncorp.com.au,,?,,com.au,
Bit Flipping,sencorp.com.au,,?,mx1.onthenet.com.au,com.au,
Bit Flipping,sqncorp.com.au,,?,,com.au,
Bit Flipping,stncorp.com.au,,?,,com.au,
Bit Flipping,su.corp.com.au,,?,,com.au,
Bit Flipping,sufcorp.com.au,,?,,com.au,
Bit Flipping,sujcorp.com.au,,?,,com.au,
Bit Flipping,sulcorp.com.au,,?,,com.au,
Bit Flipping,sunaorp.com.au,,?,,com.au,
Bit Flipping,sunborp.com.au,,?,,com.au,
Bit Flipping,suncgrp.com.au,,?,,com.au,
Bit Flipping,sunckrp.com.au,,?,,com.au,
Bit Flipping,suncmrp.com.au,,?,,com.au,
