Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,tamliquid.net,,?,,net,
Character Omission,tealiquid.net,,?,,net,
Character Omission,teamiquid.net,,?,,net,
Character Omission,teamliqid.net,185.53.178.7,,mail.h-email.net,net,
Character Omission,teamliqud.net,67.55.92.184,US,UNITED STATES,mx7.teamliqud.net,net,
Character Omission,teamliqui.net,,?,,net,
Character Omission,teamliquid.ne,,?,,ne,
Character Omission,teamliuid.net,,?,,net,
Character Omission,teamlquid.net,,?,,net,
Character Omission,temliquid.net,,?,,net,
Character Repeat,teaamliquid.net,,?,,net,
Character Repeat,teamliiquid.net,,?,,net,
Character Repeat,teamliqquid.net,,?,,net,
Character Repeat,teamliquidd.net,,?,,net,
Character Repeat,teamliquiid.net,,?,,net,
Character Repeat,teamliquuid.net,,?,,net,
Character Repeat,teamlliquid.net,,?,,net,
Character Repeat,teammliquid.net,,?,,net,
Character Repeat,teeamliquid.net,,?,,net,
Character Repeat,tteamliquid.net,,?,,net,
Character Swap,etamliquid.net,,?,,net,
Character Swap,taemliquid.net,,?,,net,
Character Swap,tealmiquid.net,,?,,net,
Character Swap,teamilquid.net,,?,,net,
Character Swap,teamliqiud.net,,?,,net,
Character Swap,teamliqudi.net,,?,,net,
Character Swap,teamliuqid.net,,?,,net,
Character Swap,teamlqiuid.net,,?,,net,
Character Swap,temaliquid.net,,?,,net,
Character Replacement,reamliquid.net,,?,,net,
Character Replacement,teamkiquid.net,,?,,net,
Character Replacement,teamliqiid.net,,?,,net,
Character Replacement,teamliquif.net,,?,,net,
Character Replacement,teamliquis.net,,?,,net,
Character Replacement,teamliquod.net,,?,,net,
Character Replacement,teamliquud.net,,?,,net,
Character Replacement,teamliqyid.net,,?,,net,
Character Replacement,teamliwuid.net,,?,,net,
Character Replacement,teamloquid.net,,?,,net,
Character Replacement,teamluquid.net,,?,,net,
Character Replacement,teanliquid.net,,?,,net,
Character Replacement,tesmliquid.net,,?,,net,
Character Replacement,tramliquid.net,,?,,net,
Character Replacement,twamliquid.net,,?,,net,
Character Replacement,yeamliquid.net,,?,,net,
Character Insertion,teamlioquid.net,,?,,net,
Character Insertion,teamliquidf.net,,?,,net,
Character Insertion,teamliquids.net,,?,,net,
Character Insertion,teamliquiod.net,,?,,net,
Character Insertion,teamliquiud.net,,?,,net,
Character Insertion,teamliquyid.net,,?,,net,
Character Insertion,teamliqwuid.net,,?,,net,
Character Insertion,teamliuquid.net,,?,,net,
Character Insertion,teamlkiquid.net,,?,,net,
Character Insertion,teamnliquid.net,,?,,net,
Character Insertion,teasmliquid.net,,?,,net,
Character Insertion,teramliquid.net,,?,,net,
Character Insertion,tewamliquid.net,,?,,net,
Character Insertion,treamliquid.net,,?,,net,
Character Insertion,tyeamliquid.net,,?,,net,
Missing Dot,teamliquidnet.com,,?,,com,
Missing Dot,wwwteamliquid.net,,?,,net,
Vowel Swap,teamlaquad.net,,?,,net,
Vowel Swap,teamlequed.net,,?,,net,
Vowel Swap,teamliqaid.net,,?,,net,
Vowel Swap,teamliqeid.net,,?,,net,
Vowel Swap,teamliqoid.net,,?,,net,
Vowel Swap,teamloquod.net,,?,,net,
Vowel Swap,teamluquud.net,,?,,net,
Vowel Swap,teemliquid.net,,?,,net,
Vowel Swap,teimliquid.net,,?,,net,
Vowel Swap,teomliquid.net,,?,,net,
Vowel Swap,teumliquid.net,,?,,net,
Homophones,teamlayequayed.net,,?,,net,
Homophones,teamleyequeyed.net,,?,,net,
Bit Flipping,4eamliquid.net,,?,,net,
Bit Flipping,deamliquid.net,,?,,net,
Bit Flipping,peamliquid.net,,?,,net,
Bit Flipping,taamliquid.net,,?,,net,
Bit Flipping,tdamliquid.net,,?,,net,
Bit Flipping,tea-liquid.net,,?,,net,
Bit Flipping,teaeliquid.net,,?,,net,
Bit Flipping,teailiquid.net,,?,,net,
Bit Flipping,tealliquid.net,,?,,net,
Bit Flipping,teamdiquid.net,,?,,net,
Bit Flipping,teamhiquid.net,,?,,net,
Bit Flipping,teamlaquid.net,,?,,net,
Bit Flipping,teamlhquid.net,,?,,net,
Bit Flipping,teamli1uid.net,,?,,net,
Bit Flipping,teamliauid.net,,?,,net,
Bit Flipping,teamlipuid.net,,?,,net,
Bit Flipping,teamliq5id.net,,?,,net,
Bit Flipping,teamliqqid.net,,?,,net,
Bit Flipping,teamliqtid.net,,?,,net,
Bit Flipping,teamliquad.net,,?,,net,
Bit Flipping,teamliquhd.net,,?,,net,
Bit Flipping,teamliquie.net,,?,,net,
Bit Flipping,teamliquil.net,,?,,net,
Bit Flipping,teamliquit.net,67.55.92.184,US,UNITED STATES,mx7.teamliquit.net,net,
Bit Flipping,teamliqukd.net,,?,,net,
Bit Flipping,teamliqumd.net,,?,,net,
Bit Flipping,teamliquyd.net,,?,,net,
Bit Flipping,teamliqwid.net,,?,,net,
Bit Flipping,teamlisuid.net,,?,,net,
Bit Flipping,teamliuuid.net,,?,,net,
Bit Flipping,teamliyuid.net,,?,,net,
Bit Flipping,teamlkquid.net,,?,,net,
Bit Flipping,teamlmquid.net,,?,,net,
Bit Flipping,teamlyquid.net,,?,,net,
Bit Flipping,teammiquid.net,,?,,net,
Bit Flipping,teamniquid.net,,?,,net,
Bit Flipping,teaoliquid.net,,?,,net,
Bit Flipping,tecmliquid.net,,?,,net,
Bit Flipping,teqmliquid.net,,?,,net,
Bit Flipping,tgamliquid.net,,?,,net,
Bit Flipping,tmamliquid.net,,?,,net,
Bit Flipping,tuamliquid.net,,?,,net,
Bit Flipping,ueamliquid.net,,?,,net,
Bit Flipping,veamliquid.net,,?,,net,
Homoglyphs,team1iquid.net,,?,,net,
Homoglyphs,teamliquicl.net,,?,,net,
Homoglyphs,teamliquld.net,,?,,net,
Homoglyphs,teamllquid.net,,?,,net,
Homoglyphs,teamllquld.net,,?,,net,
Homoglyphs,tearnliquid.net,,?,,net,
Wrong TLD,teamliquid.ca,,?,,ca,
Wrong TLD,teamliquid.ch,,?,,ch,
Wrong TLD,teamliquid.com,144.217.237.4,US,UNITED STATES,aspmx3.googlemail.com,com,
Wrong TLD,teamliquid.de,176.9.83.229,DE,GERMANY,,de,
Wrong TLD,teamliquid.edu,,?,,edu,
Wrong TLD,teamliquid.es,,?,,es,
Wrong TLD,teamliquid.fr,,?,,fr,
Wrong TLD,teamliquid.it,,?,,it,
Wrong TLD,teamliquid.jp,,?,,jp,
Wrong TLD,teamliquid.nl,,?,,nl,
Wrong TLD,teamliquid.no,,?,,no,
Wrong TLD,teamliquid.org,,?,,org,
Wrong TLD,teamliquid.ru,81.177.140.121,RU,RUSSIAN FEDERATION,,ru,
Wrong TLD,teamliquid.se,,?,,se,
Wrong TLD,teamliquid.us,,?,,us,

