Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,tchcrunch.com,,?,,com,
Character Omission,teccrunch.com,184.168.221.29,US,UNITED STATES,,com,
Character Omission,techcrnch.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Omission,techcruch.com,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Omission,techcrunc.com,165.160.13.20,US,UNITED STATES,,com,
Character Omission,techcrunch.cm,199.59.242.150,RU,RUSSIAN FEDERATION,mx76.mb1p.com,cm,
Character Omission,techcrunh.com,103.232.215.157,,,com,
Character Omission,techcunch.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Omission,techrunch.com,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Omission,tehcrunch.com,165.160.13.20,US,UNITED STATES,,com,
Character Repeat,tecchcrunch.com,165.160.15.20,US,UNITED STATES,,com,
Character Repeat,techccrunch.com,208.73.210.202,US,UNITED STATES,,com,
Character Repeat,techcrrunch.com,165.160.13.20,US,UNITED STATES,,com,
Character Repeat,techcruncch.com,165.160.15.20,US,UNITED STATES,,com,
Character Repeat,techcrunchh.com,185.53.179.7,,mail.h-email.net,com,
Character Repeat,techcrunnch.com,165.160.15.20,US,UNITED STATES,,com,
Character Repeat,techcruunch.com,165.160.13.20,US,UNITED STATES,,com,
Character Repeat,techhcrunch.com,165.160.15.20,US,UNITED STATES,,com,
Character Repeat,teechcrunch.com,72.52.4.90,US,UNITED STATES,mailgw.ns36.de,com,
Character Repeat,ttechcrunch.com,165.160.15.20,US,UNITED STATES,,com,
Character Swap,etchcrunch.com,,?,,com,
Character Swap,tcehcrunch.com,165.160.15.20,CN,CHINA,,com,
Character Swap,tecchrunch.com,165.160.13.20,US,UNITED STATES,,com,
Character Swap,techcrnuch.com,165.160.15.20,NL,NETHERLANDS,,com,
Character Swap,techcrucnh.com,208.73.210.217,ее,,,com,
Character Swap,techcrunhc.com,,?,,com,
Character Swap,techcurnch.com,,?,,com,
Character Swap,techrcunch.com,165.160.13.20,US,UNITED STATES,,com,
Character Swap,tehccrunch.com,,?,,com,
Character Replacement,rechcrunch.com,23.230.101.115,,,com,
Character Replacement,tecgcrunch.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Replacement,techceunch.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Replacement,techcrinch.com,172.107.9.241,,,com,
Character Replacement,techcrubch.com,165.160.15.20,CA,CANADA,,com,
Character Replacement,techcrumch.com,108.167.156.111,US,UNITED STATES,mail.techcrumch.com,com,
Character Replacement,techcruncg.com,165.160.13.20,US,UNITED STATES,,com,
Character Replacement,techcruncj.com,,?,,com,
Character Replacement,techcrunvh.com,199.59.242.150,CA,CANADA,mx76.m2bp.com,com,
Character Replacement,techcrunxh.com,165.160.13.20,US,UNITED STATES,,com,
Character Replacement,techcrynch.com,199.59.242.150,еЪ,,mx76.m2bp.com,com,
Character Replacement,techctunch.com,165.160.13.20,US,UNITED STATES,,com,
Character Replacement,techvrunch.com,165.160.13.20,US,UNITED STATES,,com,
Character Replacement,techxrunch.com,165.160.13.20,US,UNITED STATES,,com,
Character Replacement,tecjcrunch.com,165.160.15.20,US,UNITED STATES,,com,
Character Replacement,tevhcrunch.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Replacement,texhcrunch.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Replacement,trchcrunch.com,,?,,com,
Character Replacement,twchcrunch.com,,?,,com,
Character Replacement,yechcrunch.com,165.160.15.20,CA,CANADA,,com,
Character Insertion,techcreunch.com,165.160.13.20,US,UNITED STATES,,com,
Character Insertion,techcrtunch.com,,?,,com,
Character Insertion,techcruinch.com,,?,,com,
Character Insertion,techcrunbch.com,,?,,com,
Character Insertion,techcrunchg.com,,?,,com,
Character Insertion,techcrunchj.com,,?,,com,
Character Insertion,techcruncvh.com,,?,,com,
Character Insertion,techcruncxh.com,,?,,com,
Character Insertion,techcrunmch.com,,?,,com,
Character Insertion,techcruynch.com,,?,,com,
Character Insertion,techcvrunch.com,,?,,com,
Character Insertion,techcxrunch.com,,?,,com,
Character Insertion,techgcrunch.com,,?,,com,
Character Insertion,techjcrunch.com,,?,,com,
Character Insertion,tecvhcrunch.com,,?,,com,
Character Insertion,tecxhcrunch.com,,?,,com,
Character Insertion,terchcrunch.com,,?,,com,
Character Insertion,tewchcrunch.com,,?,,com,
Character Insertion,trechcrunch.com,165.160.13.20,US,UNITED STATES,,com,
Character Insertion,tyechcrunch.com,,?,,com,
Missing Dot,techcrunchcom.com,184.168.221.54,US,UNITED STATES,mailstore1.secureserver.net,com,
Missing Dot,wwwtechcrunch.com,165.160.13.20,US,UNITED STATES,custmx.cscdns.net,com,
Singular or Pluralise,techcrunches.com,,?,,com,
Vowel Swap,tachcrunch.com,185.53.178.7,,,com,
Vowel Swap,techcranch.com,205.209.138.163,US,UNITED STATES,,com,
Vowel Swap,techcrench.com,,?,,com,
Vowel Swap,techcronch.com,52.4.209.250,US,UNITED STATES,,com,
Vowel Swap,tichcrunch.com,,?,,com,
Vowel Swap,tochcrunch.com,,?,,com,
Vowel Swap,tuchcrunch.com,,?,,com,
Bit Flipping,4echcrunch.com,,?,,com,
Bit Flipping,dechcrunch.com,,?,,com,
Bit Flipping,pechcrunch.com,,?,,com,
Bit Flipping,tdchcrunch.com,,?,,com,
Bit Flipping,teahcrunch.com,,?,,com,
Bit Flipping,tebhcrunch.com,,?,,com,
Bit Flipping,techarunch.com,,?,,com,
Bit Flipping,techbrunch.com,,?,,com,
Bit Flipping,techc2unch.com,,?,,com,
Bit Flipping,techcbunch.com,,?,,com,
Bit Flipping,techcpunch.com,,?,,com,
Bit Flipping,techcr5nch.com,,?,,com,
Bit Flipping,techcrqnch.com,,?,,com,
Bit Flipping,techcrtnch.com,,?,,com,
Bit Flipping,techcru.ch.com,,?,,com,
Bit Flipping,techcrufch.com,,?,,com,
Bit Flipping,techcrujch.com,165.160.15.20,US,UNITED STATES,,com,
Bit Flipping,techcrulch.com,,?,,com,
Bit Flipping,techcrunah.com,,?,,com,
Bit Flipping,techcrunbh.com,,?,,com,
Bit Flipping,techcrunci.com,,?,,com,
Bit Flipping,techcruncl.com,,?,,com,
Bit Flipping,techcruncx.com,,?,,com,
Bit Flipping,techcrungh.com,,?,,com,
Bit Flipping,techcrunkh.com,,?,,com,
Bit Flipping,techcrunsh.com,166.88.229.183,,,com,
Bit Flipping,techcruoch.com,,?,,com,
Bit Flipping,techcrwnch.com,,?,,com,
Bit Flipping,techcsunch.com,,?,,com,
Bit Flipping,techcvunch.com,,?,,com,
Bit Flipping,techczunch.com,,?,,com,
Bit Flipping,techgrunch.com,,?,,com,
Bit Flipping,techkrunch.com,52.73.71.92,US,UNITED STATES,,com,
Bit Flipping,techsrunch.com,104.131.118.191,,,com,
Bit Flipping,tecicrunch.com,,?,,com,
Bit Flipping,teclcrunch.com,,?,,com,
Bit Flipping,tecxcrunch.com,,?,,com,
Bit Flipping,teghcrunch.com,,?,,com,
Bit Flipping,tekhcrunch.com,,?,,com,
Bit Flipping,teshcrunch.com,,?,,com,
Bit Flipping,tgchcrunch.com,,?,,com,
Bit Flipping,tmchcrunch.com,,?,,com,
Bit Flipping,uechcrunch.com,,?,,com,
Bit Flipping,vechcrunch.com,,?,,com,
Wrong TLD,techcrunch.ca,,?,,ca,
Wrong TLD,techcrunch.ch,165.160.15.20,US,UNITED STATES,custmx.cscdns.net,ch,
Wrong TLD,techcrunch.de,185.53.178.8,,mail.h-email.net,de,
Wrong TLD,techcrunch.edu,,?,,edu,
Wrong TLD,techcrunch.es,37.152.88.55,ES,SPAIN,,es,
Wrong TLD,techcrunch.fr,165.160.15.20,US,UNITED STATES,mx.dnsassurance.com,fr,
Wrong TLD,techcrunch.it,185.53.178.8,,mail.h-email.net,it,
Wrong TLD,techcrunch.jp,180.222.74.165,JP,JAPAN,mx-l01.red.aol.com,jp,
Wrong TLD,techcrunch.net,,?,,net,
Wrong TLD,techcrunch.nl,213.132.197.183,NL,NETHERLANDS,mailfilter.webguru.nl,nl,
Wrong TLD,techcrunch.no,,?,,no,
Wrong TLD,techcrunch.org,165.160.15.20,US,UNITED STATES,custmx.cscdns.net,org,
