Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,td.com,23.215.105.89,,cluster5.us.messagelabs.com,com,
Character Omission,te.com,198.175.155.8,US,UNITED STATES,te-com.mail.protection.outlook.com,com,
Character Omission,ted.cm,,?,,cm,
Character Repeat,tedd.com,65.254.227.240,US,UNITED STATES,mx.tedd.com,com,
Character Repeat,teed.com,70.91.185.73,US,UNITED STATES,mail.teed.com,com,
Character Repeat,tted.com,198.102.30.135,,tted.com,com,
Character Swap,etd.com,107.180.50.174,,etd-com.mail.eo.outlook.com,com,
Character Swap,tde.com,66.35.38.154,US,UNITED STATES,mx2.tde.com,com,
Character Replacement,red.com,50.19.193.160,CN,CHINA,alt3.aspmx.l.google.com,com,
Character Replacement,tef.com,75.126.100.20,US,UNITED STATES,,com,
Character Replacement,tes.com,52.18.15.88,US,UNITED STATES,eu-smtp-1.mimecast.com,com,
Character Replacement,trd.com,119.81.170.18,SG,SINGAPORE,mail.efty.com,com,
Character Replacement,twd.com,104.155.133.196,,us-smtp-inbound-1.mimecast.com,com,
Character Replacement,yed.com,212.78.84.223,GB,UNITED KINGDOM,mxhost-2.vi.net,com,
Character Insertion,tedf.com,50.63.202.24,US,UNITED STATES,smtp.secureserver.net,com,
Character Insertion,teds.com,207.38.86.251,US,UNITED STATES,aspmx.l.google.com,com,
Character Insertion,terd.com,184.168.221.96,CA,CANADA,0,com,
Character Insertion,tewd.com,72.9.105.30,US,UNITED STATES,,com,
Character Insertion,tred.com,216.239.38.21,US,UNITED STATES,alt1.aspmx.l.google.com,com,
Character Insertion,tyed.com,64.98.145.30,CA,CANADA,mx.hover.com.cust.hostedemail.com,com,
Missing Dot,tedcom.com,69.172.201.153,US,UNITED STATES,,com,
Missing Dot,wwwted.com,208.91.196.152,VG,VIRGIN ISLANDS (BRITISH),,com,
Vowel Swap,tad.com,141.8.224.183,CH,SWITZERLAND,,com,
Vowel Swap,tid.com,12.178.51.107,US,UNITED STATES,email2.tid.org,com,
Vowel Swap,tod.com,144.191.142.13,US,UNITED STATES,mx1.emerson.iphmx.com,com,
Vowel Swap,tud.com,75.126.100.23,US,UNITED STATES,,com,
Bit Flipping,4ed.com,77.104.132.185,RO,ROMANIA,mail.4ed.com,com,
Bit Flipping,ded.com,98.124.245.24,US,UNITED STATES,mail.b-io.co,com,
Bit Flipping,ped.com,76.9.241.30,US,UNITED STATES,aspmx2.googlemail.com,com,
Bit Flipping,tdd.com,103.224.212.244,,mx92.m1bp.com,com,
Bit Flipping,tee.com,95.211.219.67,NL,NETHERLANDS,aspmx2.googlemail.com,com,
Bit Flipping,tel.com,,?,tel-com.mail.protection.outlook.com,com,
Bit Flipping,tet.com,52.18.2.182,US,UNITED STATES,,com,
Bit Flipping,tgd.com,72.52.4.119,US,UNITED STATES,aspmx.l.google.com,com,
Bit Flipping,tmd.com,120.76.128.87,CN,CHINA,mxbiz2.qq.com,com,
Bit Flipping,ued.com,,?,,com,
Bit Flipping,ved.com,23.23.174.132,US,UNITED STATES,,com,
Homoglyphs,tecl.com,72.52.4.119,US,UNITED STATES,localhost,com,
Wrong TLD,ted.ca,216.185.130.90,US,UNITED STATES,,ca,
Wrong TLD,ted.ch,,?,mail.mail-ch.ch,ch,
Wrong TLD,ted.de,5.175.24.94,,mail.ted.de,de,
Wrong TLD,ted.edu,,?,,edu,
Wrong TLD,ted.es,72.52.4.119,US,UNITED STATES,localhost,es,
Wrong TLD,ted.fr,,?,antispam02.ataraxie.fr,fr,
Wrong TLD,ted.it,185.2.4.10,,smtp.ted.it,it,
Wrong TLD,ted.jp,,?,mx01.muumuu-mail.com,jp,
Wrong TLD,ted.net,75.101.148.200,US,UNITED STATES,public.ted.net,net,
Wrong TLD,ted.nl,217.115.197.59,NL,NETHERLANDS,fallback2.mx.nxs.nl,nl,
Wrong TLD,ted.no,185.53.178.9,,,no,
Wrong TLD,ted.org,34.232.197.241,US,UNITED STATES,,org,
Wrong TLD,ted.ru,178.210.69.90,RU,RUSSIAN FEDERATION,mx01.nicmail.ru,ru,
Wrong TLD,ted.se,84.55.71.119,SE,SWEDEN,spool.mail.gandi.net,se,
Wrong TLD,ted.us,98.129.229.152,US,UNITED STATES,mx1.emailsrvr.com,us,

