Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,teegraph.co.uk,185.53.178.8,,mail.h-email.net,co.uk,
Character Omission,telegaph.co.uk,185.53.179.6,,mail.h-email.net,co.uk,
Character Omission,telegrah.co.uk,185.53.178.6,,mail.h-email.net,co.uk,
Character Omission,telegrap.co.uk,195.198.203.66,DE,GERMANY,localhost.telegrap.co.uk,co.uk,
Character Omission,telegrph.co.uk,209.126.123.13,US,UNITED STATES,,co.uk,
Character Omission,teleraph.co.uk,103.224.182.243,,park-mx.above.com,co.uk,
Character Omission,telgraph.co.uk,91.195.240.92,DE,GERMANY,,co.uk,
Character Omission,tlegraph.co.uk,85.17.25.242,NL,NETHERLANDS,,co.uk,
Character Repeat,teelegraph.co.uk,,?,,co.uk,
Character Repeat,teleegraph.co.uk,141.8.224.169,CH,SWITZERLAND,,co.uk,
Character Repeat,teleggraph.co.uk,208.73.211.177,US,UNITED STATES,,co.uk,
Character Repeat,telegraaph.co.uk,,?,,co.uk,
Character Repeat,telegraphh.co.uk,,?,,co.uk,
Character Repeat,telegrapph.co.uk,,?,,co.uk,
Character Repeat,telegrraph.co.uk,,?,,co.uk,
Character Repeat,tellegraph.co.uk,51.254.28.160,GB,UNITED KINGDOM,,co.uk,
Character Repeat,ttelegraph.co.uk,141.8.224.169,CH,SWITZERLAND,,co.uk,
Character Swap,etlegraph.co.uk,,?,,co.uk,
Character Swap,teelgraph.co.uk,,?,,co.uk,
Character Swap,telegarph.co.uk,103.224.212.222,,mx92.m1bp.com,co.uk,
Character Swap,telegrahp.co.uk,46.166.189.98,MG,MADAGASCAR,smtp03.topdns.com,co.uk,
Character Swap,telegrpah.co.uk,199.59.242.150,р,,mx76.m2bp.com,co.uk,
Character Swap,telergaph.co.uk,,?,,co.uk,
Character Swap,telgeraph.co.uk,,?,,co.uk,
Character Swap,tleegraph.co.uk,72.52.4.119,US,UNITED STATES,localhost,co.uk,
Character Replacement,relegraph.co.uk,,?,,co.uk,
Character Replacement,tekegraph.co.uk,,?,,co.uk,
Character Replacement,telefraph.co.uk,,?,,co.uk,
Character Replacement,telegeaph.co.uk,,?,,co.uk,
Character Replacement,telegraoh.co.uk,95.211.117.215,NL,NETHERLANDS,,co.uk,
Character Replacement,telegrapg.co.uk,185.53.178.7,,mail.h-email.net,co.uk,
Character Replacement,telegrapj.co.uk,,?,,co.uk,
Character Replacement,telegrsph.co.uk,192.64.119.99,,eforward3.registrar-servers.com,co.uk,
Character Replacement,telegtaph.co.uk,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,co.uk,
Character Replacement,telehraph.co.uk,199.59.242.150,CN,CHINA,mx76.mb1p.com,co.uk,
Character Replacement,telrgraph.co.uk,72.52.4.119,US,UNITED STATES,localhost,co.uk,
Character Replacement,telwgraph.co.uk,141.8.224.169,PL,POLAND,,co.uk,
Character Replacement,trlegraph.co.uk,103.224.182.251,,mx92.m1bp.com,co.uk,
Character Replacement,twlegraph.co.uk,72.52.4.119,US,UNITED STATES,localhost,co.uk,
