Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,teatlantic.com,104.151.209.65,,,com,
Character Omission,thatlantic.com,103.224.212.247,,mx92.mb5p.com,com,
Character Omission,thealantic.com,72.52.178.23,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Omission,theatantic.com,103.224.212.242,,mx92.mb5p.com,com,
Character Omission,theatlanic.com,67.55.92.184,ES,SPAIN,mx7.theatlanic.com,com,
Character Omission,theatlantc.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Omission,theatlanti.com,103.224.212.224,,mx92.mb5p.com,com,
Character Omission,theatlantic.cm,,?,,cm,
Character Omission,theatlatic.com,23.225.45.105,,,com,
Character Omission,theatlntic.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Omission,thetlantic.com,199.59.242.150,US,UNITED STATES,mx76.mb1p.com,com,
Character Repeat,theaatlantic.com,,?,,com,
Character Repeat,theatlaantic.com,,?,,com,
Character Repeat,theatlanntic.com,,?,,com,
Character Repeat,theatlanticc.com,,?,,com,
Character Repeat,theatlantiic.com,74.208.236.83,US,UNITED STATES,mx00.1and1.com,com,
Character Repeat,theatlanttic.com,,?,,com,
Character Repeat,theatllantic.com,67.55.121.97,US,UNITED STATES,,com,
Character Repeat,theattlantic.com,,?,,com,
Character Repeat,theeatlantic.com,,?,,com,
Character Repeat,thheatlantic.com,,?,,com,
Character Repeat,ttheatlantic.com,,?,,com,
Character Swap,hteatlantic.com,,?,,com,
Character Swap,tehatlantic.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Swap,thaetlantic.com,,?,,com,
Character Swap,thealtantic.com,199.191.50.73,,,com,
Character Swap,theatalntic.com,,?,,com,
Character Swap,theatlanitc.com,,?,,com,
Character Swap,theatlantci.com,,?,,com,
Character Swap,theatlatnic.com,185.148.144.161,,theatlatnic.com,com,
Character Swap,theatlnatic.com,,?,,com,
Character Swap,thetalantic.com,,?,,com,
Character Replacement,rheatlantic.com,,?,,com,
Character Replacement,tgeatlantic.com,,?,,com,
Character Replacement,thearlantic.com,,?,,com,
Character Replacement,theatkantic.com,,?,,com,
Character Replacement,theatlabtic.com,,?,,com,
Character Replacement,theatlamtic.com,,?,,com,
Character Replacement,theatlanric.com,,?,,com,
Character Replacement,theatlantiv.com,,?,,com,
Character Replacement,theatlantix.com,208.91.197.127,VG,VIRGIN ISLANDS (BRITISH),p.webcom.ctmail.com,com,
Character Replacement,theatlantoc.com,,?,,com,
Character Replacement,theatlantuc.com,,?,,com,
Character Replacement,theatlanyic.com,,?,,com,
Character Replacement,theatlsntic.com,,?,,com,
Character Replacement,theaylantic.com,,?,,com,
Character Replacement,thestlantic.com,103.224.182.243,,mx92.mb5p.com,com,
Character Replacement,thratlantic.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Replacement,thwatlantic.com,,?,,com,
Character Replacement,tjeatlantic.com,,?,,com,
Character Replacement,yheatlantic.com,,?,,com,
Character Insertion,theastlantic.com,,?,,com,
Character Insertion,theatlanbtic.com,,?,,com,
Character Insertion,theatlanmtic.com,,?,,com,
Character Insertion,theatlanticv.com,,?,,com,
Character Insertion,theatlanticx.com,,?,,com,
Character Insertion,theatlantioc.com,,?,,com,
Character Insertion,theatlantiuc.com,,?,,com,
Character Insertion,theatlantric.com,,?,,com,
Character Insertion,theatlantyic.com,,?,,com,
Character Insertion,theatlasntic.com,,?,,com,
Character Insertion,theatlkantic.com,,?,,com,
Character Insertion,theatrlantic.com,,?,,com,
Character Insertion,theatylantic.com,,?,,com,
Character Insertion,theratlantic.com,,?,,com,
Character Insertion,thewatlantic.com,,?,,com,
Character Insertion,thgeatlantic.com,,?,,com,
Character Insertion,thjeatlantic.com,,?,,com,
Character Insertion,trheatlantic.com,,?,,com,
Character Insertion,tyheatlantic.com,,?,,com,
Missing Dot,theatlanticcom.com,,?,,com,
Missing Dot,wwwtheatlantic.com,103.224.182.246,,mx92.m1bp.com,com,
Singular or Pluralise,theatlantics.com,104.27.175.205,,mail.theatlantics.com,com,
Common Misspelling,tjheatlantic.com,,?,,com,
Vowel Swap,thaatlantic.com,,?,,com,
Vowel Swap,theatlantac.com,,?,,com,
Vowel Swap,theatlantec.com,,?,,com,
