Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,tefreedictionary.com,104.151.209.46,,,com,
Character Omission,thefeedictionary.com,103.224.212.222,,mx92.mb5p.com,com,
Character Omission,thefredictionary.com,141.8.224.169,CH,SWITZERLAND,,com,
Character Omission,thefreedctionary.com,68.178.213.61,US,UNITED STATES,,com,
Character Omission,thefreedicionary.com,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Omission,thefreedictinary.com,69.172.201.153,US,UNITED STATES,,com,
Character Omission,thefreedictioary.com,213.247.47.190,AU,AUSTRALIA,mx7.thefreedictioary.com,com,
Character Omission,thefreedictionar.com,,?,,com,
Character Omission,thefreedictionary.cm,85.25.199.30,DE,GERMANY,,cm,
Character Omission,thefreedictionay.com,209.99.40.223,US,UNITED STATES,,com,
Character Omission,thefreedictionry.com,,?,,com,
Character Omission,thefreedictonary.com,184.168.221.104,US,UNITED STATES,,com,
Character Omission,thefreeditionary.com,74.206.232.234,US,UNITED STATES,,com,
Character Omission,thefreeictionary.com,,?,,com,
Character Omission,thereedictionary.com,,?,,com,
Character Omission,thfreedictionary.com,103.224.212.222,,mx92.m1bp.com,com,
Character Repeat,theefreedictionary.com,,?,,com,
Character Repeat,theffreedictionary.com,,?,,com,
Character Repeat,thefreeddictionary.com,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Repeat,thefreedicctionary.com,,?,,com,
Character Repeat,thefreedictiionary.com,185.53.178.6,,,com,
Character Repeat,thefreedictionaary.com,,?,,com,
Character Repeat,thefreedictionarry.com,,?,,com,
Character Repeat,thefreedictionaryy.com,,?,,com,
Character Repeat,thefreedictionnary.com,192.184.12.62,,mx92.mb5p.com,com,
Character Repeat,thefreedictioonary.com,,?,,com,
Character Repeat,thefreedicttionary.com,,?,,com,
Character Repeat,thefreediictionary.com,,?,,com,
Character Repeat,thefreeedictionary.com,103.224.212.222,,mx92.m1bp.com,com,
Character Repeat,thefrreedictionary.com,,?,,com,
Character Repeat,thhefreedictionary.com,,?,,com,
Character Repeat,tthefreedictionary.com,,?,,com,
Character Swap,htefreedictionary.com,104.207.152.229,,,com,
Character Swap,tehfreedictionary.com,,?,,com,
Character Swap,theferedictionary.com,,?,,com,
Character Swap,thefredeictionary.com,,?,,com,
Character Swap,thefreedcitionary.com,,?,,com,
Character Swap,thefreedicitonary.com,208.91.196.105,US,UNITED STATES,,com,
