Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,tehindu.com,163.172.120.66,US,UNITED STATES,alt1.aspmx.l.google.com,com,
Character Omission,thehidu.com,199.191.50.73,,,com,
Character Omission,thehind.com,52.71.185.125,US,UNITED STATES,,com,
Character Omission,thehindu.cm,34.196.13.28,US,UNITED STATES,mail.happyisp.com,cm,
Character Omission,thehinu.com,185.53.178.6,,mail.h-email.net,com,
Character Omission,thehndu.com,95.211.117.215,BE,BELGIUM,,com,
Character Omission,theindu.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Character Omission,thhindu.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Repeat,theehindu.com,54.217.222.113,US,UNITED STATES,mail.h-email.net,com,
Character Repeat,thehhindu.com,,?,,com,
Character Repeat,thehiindu.com,,?,,com,
Character Repeat,thehinddu.com,,?,,com,
Character Repeat,thehinduu.com,,?,,com,
Character Repeat,thehinndu.com,,?,,com,
Character Repeat,thhehindu.com,,?,,com,
Character Repeat,tthehindu.com,173.239.8.164,US,UNITED STATES,mx7.tthehindu.com,com,
Character Swap,htehindu.com,,?,,com,
Character Swap,tehhindu.com,,?,,com,
Character Swap,thehidnu.com,,?,,com,
Character Swap,thehinud.com,103.224.212.249,,mx92.mb5p.com,com,
Character Swap,thehnidu.com,,?,,com,
Character Swap,theihndu.com,,?,,com,
Character Swap,thheindu.com,,?,,com,
Character Replacement,rhehindu.com,,?,,com,
Character Replacement,tgehindu.com,,?,,com,
Character Replacement,thegindu.com,,?,,com,
Character Replacement,thehibdu.com,81.171.22.4,NL,NETHERLANDS,,com,
Character Replacement,thehimdu.com,162.210.196.168,,,com,
Character Replacement,thehindi.com,69.172.201.153,US,UNITED STATES,,com,
Character Replacement,thehindy.com,,?,,com,
Character Replacement,thehinfu.com,,?,,com,
Character Replacement,thehinsu.com,,?,,com,
Character Replacement,thehondu.com,,?,,com,
Character Replacement,thehundu.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Replacement,thejindu.com,,?,,com,
Character Replacement,thrhindu.com,81.171.22.5,NL,NETHERLANDS,,com,
Character Replacement,thwhindu.com,,?,,com,
Character Replacement,tjehindu.com,,?,,com,
Character Replacement,yhehindu.com,,?,,com,
Character Insertion,thehgindu.com,,?,,com,
Character Insertion,thehinbdu.com,,?,,com,
Character Insertion,thehindfu.com,,?,,com,
Character Insertion,thehindsu.com,,?,,com,
Character Insertion,thehindui.com,,?,,com,
Character Insertion,thehinduy.com,,?,,com,
Character Insertion,thehinmdu.com,,?,,com,
Character Insertion,thehiondu.com,,?,,com,
Character Insertion,thehiundu.com,,?,,com,
Character Insertion,thehjindu.com,,?,,com,
Character Insertion,therhindu.com,,?,,com,
Character Insertion,thewhindu.com,,?,,com,
Character Insertion,thgehindu.com,,?,,com,
Character Insertion,thjehindu.com,,?,,com,
Character Insertion,trhehindu.com,,?,,com,
Character Insertion,tyhehindu.com,,?,,com,
Missing Dot,thehinducom.com,,?,,com,
Missing Dot,wwwthehindu.com,209.126.123.12,US,UNITED STATES,,com,
Singular or Pluralise,thehindus.com,173.83.116.23,US,UNITED STATES,mail1009.ixwebhosting.com,com,
Common Misspelling,tjhehindu.com,,?,,com,
Vowel Swap,thahindu.com,,?,,com,
Vowel Swap,thehandu.com,,?,,com,
Vowel Swap,thehendu.com,108.167.180.19,US,UNITED STATES,mail.thehendu.com,com,
Vowel Swap,thehinda.com,,?,,com,
Vowel Swap,thehinde.com,198.185.159.144,,thehinde-com.mail.protection.outlook.com,com,
Vowel Swap,thehindo.com,,?,,com,
Vowel Swap,thihindu.com,69.172.201.153,US,UNITED STATES,,com,
Vowel Swap,thohindu.com,,?,,com,
Vowel Swap,thuhindu.com,,?,,com,
Homophones,thehayendu.com,,?,,com,
Homophones,theheyendu.com,,?,,com,
Homophones,thehighndu.com,,?,,com,
Bit Flipping,4hehindu.com,,?,,com,
Bit Flipping,dhehindu.com,,?,,com,
Bit Flipping,phehindu.com,,?,,com,
Bit Flipping,thdhindu.com,,?,,com,
Bit Flipping,thehhndu.com,,?,,com,
Bit Flipping,thehi.du.com,,?,,com,
Bit Flipping,thehifdu.com,,?,,com,
Bit Flipping,thehijdu.com,,?,,com,
Bit Flipping,thehildu.com,,?,,com,
Bit Flipping,thehind5.com,,?,,com,
Bit Flipping,thehindq.com,,?,,com,
Bit Flipping,thehindt.com,,?,,com,
Bit Flipping,thehindw.com,,?,,com,
Bit Flipping,thehineu.com,,?,,com,
Bit Flipping,thehinlu.com,,?,,com,
Bit Flipping,thehintu.com,,?,,com,
Bit Flipping,thehiodu.com,,?,,com,
Bit Flipping,thehkndu.com,,?,,com,
Bit Flipping,thehmndu.com,,?,,com,
Bit Flipping,thehyndu.com,,?,,com,
Bit Flipping,theiindu.com,,?,,com,
Bit Flipping,thelindu.com,,?,,com,
Bit Flipping,thexindu.com,,?,,com,
Bit Flipping,thghindu.com,,?,,com,
Bit Flipping,thmhindu.com,,?,,com,
Bit Flipping,tiehindu.com,,?,,com,
Bit Flipping,tlehindu.com,,?,,com,
Bit Flipping,txehindu.com,,?,,com,
Bit Flipping,uhehindu.com,,?,,com,
Bit Flipping,vhehindu.com,,?,,com,
Homoglyphs,thehinclu.com,,?,,com,
Homoglyphs,thehlndu.com,,?,,com,
Wrong TLD,thehindu.ca,,?,,ca,
Wrong TLD,thehindu.ch,,?,,ch,
Wrong TLD,thehindu.de,,?,,de,
Wrong TLD,thehindu.edu,,?,,edu,
Wrong TLD,thehindu.es,,?,,es,
Wrong TLD,thehindu.fr,,?,,fr,
Wrong TLD,thehindu.it,,?,,it,
Wrong TLD,thehindu.jp,,?,,jp,
Wrong TLD,thehindu.net,184.168.221.96,US,UNITED STATES,0,net,
Wrong TLD,thehindu.nl,,?,,nl,
Wrong TLD,thehindu.no,,?,,no,
Wrong TLD,thehindu.org,207.148.248.143,US,UNITED STATES,,org,
Wrong TLD,thehindu.ru,,?,,ru,
Wrong TLD,thehindu.se,,?,,se,
Wrong TLD,thehindu.us,,?,,us,

