Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,teknot.com,69.172.201.153,US,UNITED STATES,,com,
Character Omission,thekno.com,72.52.4.119,US,UNITED STATES,localhost,com,
Character Omission,theknot.cm,103.224.182.251,,mx92.m1bp.com,cm,
Character Omission,theknt.com,50.63.202.18,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Omission,thekot.com,,?,,com,
Character Omission,thenot.com,,?,,com,
Character Omission,thknot.com,,?,,com,
Character Repeat,theeknot.com,50.63.202.12,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Repeat,thekknot.com,,?,,com,
Character Repeat,theknnot.com,184.168.221.6,US,UNITED STATES,smtp.secureserver.net,com,
Character Repeat,theknoot.com,184.168.221.3,US,UNITED STATES,smtp.secureserver.net,com,
Character Repeat,theknott.com,,?,,com,
Character Repeat,thheknot.com,50.63.202.4,JP,JAPAN,mailstore1.secureserver.net,com,
Character Repeat,ttheknot.com,208.91.196.20,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Swap,hteknot.com,50.63.202.4,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Swap,tehknot.com,,?,,com,
Character Swap,theknto.com,184.168.221.7,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Swap,thekont.com,,?,,com,
Character Swap,thenkot.com,,?,,com,
Character Swap,thkenot.com,,?,,com,
Character Replacement,rheknot.com,103.224.212.244,,park-mx.above.com,com,
Character Replacement,tgeknot.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Replacement,thejnot.com,,?,,com,
Character Replacement,thekbot.com,,?,,com,
Character Replacement,thekmot.com,103.224.182.245,,park-mx.above.com,com,
Character Replacement,theknit.com,184.168.221.15,US,UNITED STATES,smtp.secureserver.net,com,
Character Replacement,theknor.com,,?,,com,
Character Replacement,theknoy.com,50.63.202.9,CO,COLOMBIA,mailstore1.secureserver.net,com,
Character Replacement,theknpt.com,50.63.202.11,US,UNITED STATES,smtp.secureserver.net,com,
Character Replacement,thelnot.com,,?,,com,
Character Replacement,thrknot.com,,?,,com,
Character Replacement,thwknot.com,,?,,com,
Character Replacement,tjeknot.com,184.168.221.25,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Replacement,yheknot.com,108.59.12.98,US,UNITED STATES,,com,
Character Insertion,thekjnot.com,,?,,com,
Character Insertion,theklnot.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Insertion,theknbot.com,,?,,com,
Character Insertion,theknmot.com,,?,,com,
Character Insertion,theknoit.com,50.63.202.15,US,UNITED STATES,smtp.secureserver.net,com,
Character Insertion,theknopt.com,50.63.202.8,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Insertion,theknotr.com,,?,,com,
Character Insertion,theknoty.com,184.168.221.48,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Insertion,therknot.com,,?,,com,
Character Insertion,thewknot.com,,?,,com,
Character Insertion,thgeknot.com,,?,,com,
Character Insertion,thjeknot.com,50.63.202.11,DO,DOMINICAN REPUBLIC,smtp.secureserver.net,com,
Character Insertion,trheknot.com,184.168.221.7,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Insertion,tyheknot.com,184.168.221.15,PH,PHILIPPINES,smtp.secureserver.net,com,
Missing Dot,theknotcom.com,185.53.178.9,,mail.h-email.net,com,
Missing Dot,wwwtheknot.com,184.168.221.23,US,UNITED STATES,smtp.secureserver.net,com,
Singular or Pluralise,theknots.com,,?,,com,
Common Misspelling,thekonot.com,,?,,com,
Common Misspelling,tjheknot.com,184.168.221.30,US,UNITED STATES,mailstore1.secureserver.net,com,
Vowel Swap,thaknot.com,,?,,com,
Vowel Swap,thiknot.com,,?,,com,
Vowel Swap,thoknot.com,,?,,com,
Vowel Swap,thuknot.com,,?,,com,
Homophones,thekknowt.com,,?,,com,
Homophones,theknaught.com,,?,,com,
Homophones,thenaught.com,,?,,com,
Bit Flipping,4heknot.com,,?,,com,
Bit Flipping,dheknot.com,184.168.221.17,CA,CANADA,mailstore1.secureserver.net,com,
Bit Flipping,pheknot.com,184.168.221.14,US,UNITED STATES,mailstore1.secureserver.net,com,
Bit Flipping,thdknot.com,,?,,com,
Bit Flipping,thecnot.com,,?,,com,
Bit Flipping,theinot.com,,?,,com,
