Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,tesun.co.uk,,?,,co.uk,
Character Omission,thesn.co.uk,199.59.242.150,CN,CHINA,mx76.mb1p.com,co.uk,
Character Omission,thesu.co.uk,139.59.181.152,AU,AUSTRALIA,,co.uk,
Character Omission,theun.co.uk,72.52.4.119,AR,ARGENTINA,localhost,co.uk,
Character Omission,thsun.co.uk,,?,,co.uk,
Character Repeat,theesun.co.uk,,?,,co.uk,
Character Repeat,thessun.co.uk,103.224.212.222,,mx92.mb5p.com,co.uk,
Character Repeat,thesunn.co.uk,184.168.221.36,US,UNITED STATES,mailstore1.secureserver.net,co.uk,
Character Repeat,thesuun.co.uk,,?,,co.uk,
Character Repeat,thhesun.co.uk,,?,,co.uk,
Character Repeat,tthesun.co.uk,,?,,co.uk,
Character Swap,htesun.co.uk,,?,,co.uk,
Character Swap,tehsun.co.uk,212.227.87.14,DE,GERMANY,mail.tehsun.co.uk,co.uk,
Character Swap,thesnu.co.uk,,?,,co.uk,
Character Swap,theusn.co.uk,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,co.uk,
Character Swap,thseun.co.uk,,?,,co.uk,
Character Replacement,rhesun.co.uk,,?,,co.uk,
Character Replacement,tgesun.co.uk,,?,,co.uk,
Character Replacement,theaun.co.uk,,?,,co.uk,
Character Replacement,thedun.co.uk,103.224.212.222,,mx92.mb5p.com,co.uk,
Character Replacement,thesin.co.uk,185.53.177.30,,,co.uk,
Character Replacement,thesub.co.uk,109.239.101.52,GB,UNITED KINGDOM,mail.any-mail.com,co.uk,
Character Replacement,thesum.co.uk,31.222.162.35,GB,UNITED KINGDOM,,co.uk,
Character Replacement,thesyn.co.uk,,?,,co.uk,
Character Replacement,thrsun.co.uk,,?,,co.uk,
Character Replacement,thwsun.co.uk,72.52.4.119,US,UNITED STATES,localhost,co.uk,
Character Replacement,tjesun.co.uk,,?,,co.uk,
Character Replacement,yhesun.co.uk,103.224.212.222,,mx92.mb5p.com,co.uk,
Character Insertion,thersun.co.uk,,?,,co.uk,
Character Insertion,thesaun.co.uk,,?,,co.uk,
Character Insertion,thesdun.co.uk,,?,,co.uk,
Character Insertion,thesuin.co.uk,,?,,co.uk,
Character Insertion,thesunb.co.uk,,?,,co.uk,
Character Insertion,thesunm.co.uk,,?,,co.uk,
Character Insertion,thesuyn.co.uk,,?,,co.uk,
Character Insertion,thewsun.co.uk,,?,,co.uk,
Character Insertion,thgesun.co.uk,,?,,co.uk,
Character Insertion,thjesun.co.uk,,?,,co.uk,
Character Insertion,trhesun.co.uk,,?,,co.uk,
Character Insertion,tyhesun.co.uk,,?,,co.uk,
Missing Dot,wwwthesun.co.uk,127.0.0.1,ZZ,RESERVED,,co.uk,
Singular or Pluralise,thesuns.co.uk,62.210.139.202,FR,FRANCE,alt3.aspmx.l.google.com,co.uk,
Common Misspelling,tjhesun.co.uk,,?,,co.uk,
Vowel Swap,thasun.co.uk,,?,,co.uk,
Vowel Swap,thisun.co.uk,,?,,co.uk,
Vowel Swap,thosun.co.uk,,?,,co.uk,
