Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,teverge.com,,?,,com,
Character Omission,theerge.com,66.96.147.106,US,UNITED STATES,mx.theerge.com,com,
Character Omission,thevege.com,69.172.201.153,PK,PAKISTAN,,com,
Character Omission,thevere.com,52.73.71.92,US,UNITED STATES,,com,
Character Omission,theverg.com,50.63.202.54,US,UNITED STATES,,com,
Character Omission,theverge.cm,85.25.199.30,DE,GERMANY,,cm,
Character Omission,thevrge.com,216.250.120.237,US,UNITED STATES,mx01.1and1.com,com,
Character Omission,thverge.com,67.227.226.240,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Repeat,theeverge.com,,?,,com,
Character Repeat,theveerge.com,,?,,com,
Character Repeat,thevergee.com,,?,,com,
Character Repeat,thevergge.com,103.224.182.239,,mx92.m1bp.com,com,
Character Repeat,theverrge.com,,?,,com,
Character Repeat,thevverge.com,,?,,com,
Character Repeat,thheverge.com,,?,,com,
Character Repeat,ttheverge.com,,?,,com,
Character Swap,hteverge.com,,?,,com,
Character Swap,tehverge.com,165.160.15.20,US,UNITED STATES,custmx.cscdns.net,com,
Character Swap,theevrge.com,,?,,com,
Character Swap,thevegre.com,,?,,com,
Character Swap,thevereg.com,103.224.182.239,,mx92.m1bp.com,com,
Character Swap,thevrege.com,,?,,com,
Character Swap,thveerge.com,,?,,com,
Character Replacement,rheverge.com,,?,,com,
Character Replacement,tgeverge.com,,?,,com,
Character Replacement,theberge.com,64.99.80.121,US,UNITED STATES,mx.netidentity.com.cust.hostedemail.com,com,
Character Replacement,thecerge.com,,?,,com,
Character Replacement,theveege.com,54.225.202.217,US,UNITED STATES,,com,
Character Replacement,theverfe.com,,?,,com,
Character Replacement,thevergr.com,,?,,com,
Character Replacement,thevergw.com,,?,,com,
Character Replacement,theverhe.com,178.239.168.34,GB,UNITED KINGDOM,theverhe.com,com,
Character Replacement,thevetge.com,,?,,com,
Character Replacement,thevrrge.com,,?,,com,
Character Replacement,thevwrge.com,,?,,com,
Character Replacement,thrverge.com,103.224.182.247,,park-mx.above.com,com,
Character Replacement,thwverge.com,45.56.64.26,,mail.mxproc.com,com,
Character Replacement,tjeverge.com,,?,,com,
Character Replacement,yheverge.com,207.174.213.34,,,com,
Character Insertion,therverge.com,103.224.212.222,,mx92.m1bp.com,com,
Character Insertion,thevberge.com,,?,,com,
Character Insertion,thevcerge.com,,?,,com,
Character Insertion,theverege.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Insertion,theverger.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Insertion,thevergew.com,,?,,com,
Character Insertion,thevergfe.com,,?,,com,
Character Insertion,theverghe.com,,?,,com,
Character Insertion,thevertge.com,,?,,com,
Character Insertion,thevewrge.com,,?,,com,
Character Insertion,thewverge.com,,?,,com,
Character Insertion,thgeverge.com,,?,,com,
Character Insertion,thjeverge.com,,?,,com,
Character Insertion,trheverge.com,,?,,com,
Character Insertion,tyheverge.com,,?,,com,
Missing Dot,thevergecom.com,,?,,com,
Missing Dot,wwwtheverge.com,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,com,
Singular or Pluralise,theverges.com,52.71.185.125,US,UNITED STATES,,com,
Common Misspelling,tjheverge.com,,?,,com,
Vowel Swap,thavarga.com,,?,,com,
Vowel Swap,thivirgi.com,,?,,com,
Vowel Swap,thovorgo.com,,?,,com,
Vowel Swap,thuvurgu.com,,?,,com,
Bit Flipping,4heverge.com,,?,,com,
Bit Flipping,dheverge.com,,?,,com,
Bit Flipping,pheverge.com,,?,,com,
Bit Flipping,thaverge.com,,?,,com,
Bit Flipping,thdverge.com,,?,,com,
Bit Flipping,the6erge.com,,?,,com,
Bit Flipping,theferge.com,,?,,com,
Bit Flipping,thererge.com,,?,,com,
Bit Flipping,theterge.com,184.168.221.45,US,UNITED STATES,smtp.secureserver.net,com,
Bit Flipping,thevarge.com,184.168.221.45,TH,THAILAND,,com,
Bit Flipping,thevdrge.com,,?,,com,
Bit Flipping,theve2ge.com,,?,,com,
Bit Flipping,thevebge.com,,?,,com,
Bit Flipping,thevepge.com,,?,,com,
Bit Flipping,theverce.com,107.180.57.111,,aspmx.l.google.com,com,
