Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,tanya.cn,203.78.142.12,IN,INDIA,,cn,
Character Omission,tiana.cn,184.154.126.180,US,UNITED STATES,,cn,
Character Omission,tiany.cn,103.13.73.67,AU,AUSTRALIA,,cn,
Character Omission,tiaya.cn,23.234.4.153,,,cn,
Character Omission,tinya.cn,50.117.120.251,US,UNITED STATES,mail.skrimple.com,cn,
Character Repeat,tiaanya.cn,50.117.120.251,US,UNITED STATES,mail.skrimple.com,cn,
Character Repeat,tiannya.cn,,?,,cn,
Character Repeat,tianyaa.cn,47.93.151.29,CA,CANADA,,cn,
Character Repeat,tianyya.cn,50.117.120.251,US,UNITED STATES,mail.skrimple.com,cn,
Character Repeat,tiianya.cn,50.117.120.251,US,UNITED STATES,mail.skrimple.com,cn,
Character Repeat,ttianya.cn,104.233.175.218,,,cn,
Character Swap,itanya.cn,,?,,cn,
Character Swap,tainya.cn,199.59.242.150,CN,CHINA,mx76.mb1p.com,cn,
Character Swap,tianay.cn,103.59.164.125,,tianay.cn,cn,
Character Swap,tianya.nc,,?,,nc,
Character Swap,tiayna.cn,122.10.96.109,CN,CHINA,,cn,
Character Swap,tinaya.cn,50.117.120.251,US,UNITED STATES,mail.skrimple.com,cn,
Character Replacement,rianya.cn,101.78.223.131,HK,HONG KONG,,cn,
Character Replacement,tiabya.cn,69.87.203.210,SG,SINGAPORE,,cn,
Character Replacement,tiamya.cn,52.69.166.231,US,UNITED STATES,,cn,
Character Replacement,tianta.cn,103.232.215.129,,mail.skrimple.com,cn,
Character Replacement,tianua.cn,123.60.79.249,CN,CHINA,,cn,
Character Replacement,tianya.cm,52.69.166.231,US,UNITED STATES,,cm,
Character Replacement,tianya.vn,,?,,vn,
Character Replacement,tianys.cn,122.10.96.109,CN,CHINA,,cn,
Character Replacement,tisnya.cn,184.154.126.180,US,UNITED STATES,,cn,
Character Replacement,toanya.cn,184.154.126.180,US,UNITED STATES,,cn,
Character Replacement,tuanya.cn,203.78.142.12,IN,INDIA,,cn,
Character Replacement,yianya.cn,122.10.96.109,CN,CHINA,,cn,
Character Insertion,tianbya.cn,,?,,cn,
Character Insertion,tianmya.cn,,?,,cn,
Character Insertion,tianyas.cn,,?,,cn,
Character Insertion,tianyta.cn,,?,,cn,
Character Insertion,tianyua.cn,50.117.120.251,US,UNITED STATES,mail.skrimple.com,cn,
Character Insertion,tiasnya.cn,,?,,cn,
Character Insertion,tioanya.cn,,?,,cn,
Character Insertion,tiuanya.cn,,?,,cn,
Character Insertion,trianya.cn,,?,,cn,
Character Insertion,tyianya.cn,,?,,cn,
Missing Dot,tianyacn.com,52.71.185.125,SG,SINGAPORE,,com,
Missing Dot,wwwtianya.cn,,?,,cn,
Vowel Swap,taanya.cn,,?,,cn,
Vowel Swap,teanya.cn,,?,,cn,
Vowel Swap,tienye.cn,,?,,cn,
Vowel Swap,tiinyi.cn,,?,,cn,
Vowel Swap,tionyo.cn,,?,,cn,
Vowel Swap,tiunyu.cn,,?,,cn,
Homophones,tayeanya.cn,,?,,cn,
Homophones,teyeanya.cn,,?,,cn,
Bit Flipping,4ianya.cn,,?,,cn,
Bit Flipping,dianya.cn,,?,,cn,
Bit Flipping,pianya.cn,,?,,cn,
Bit Flipping,thanya.cn,,?,,cn,
Bit Flipping,tia.ya.cn,,?,,cn,
Bit Flipping,tiafya.cn,,?,,cn,
Bit Flipping,tiajya.cn,122.10.96.109,CN,CHINA,,cn,
Bit Flipping,tialya.cn,,?,,cn,
Bit Flipping,tian9a.cn,,?,,cn,
Bit Flipping,tiania.cn,,?,,cn,
Bit Flipping,tianqa.cn,,?,,cn,
Bit Flipping,tianxa.cn,,?,,cn,
Bit Flipping,tianya.an,,?,,an,
Bit Flipping,tianya.bn,,?,,bn,
Bit Flipping,tianya.cf,,?,,cf,
Bit Flipping,tianya.cl,,?,,cl,
Bit Flipping,tianya.kn,,?,,kn,
Bit Flipping,tianya.sn,,?,,sn,
Bit Flipping,tianyc.cn,,?,,cn,
Bit Flipping,tianye.cn,170.178.178.52,US,UNITED STATES,,cn,
Bit Flipping,tianyi.cn,103.13.73.67,AU,AUSTRALIA,,cn,
Bit Flipping,tianyq.cn,192.155.176.218,,,cn,
Bit Flipping,tiaoya.cn,47.89.58.32,CA,CANADA,,cn,
Bit Flipping,ticnya.cn,,?,,cn,
Bit Flipping,tienya.cn,,?,,cn,
Bit Flipping,tiinya.cn,,?,,cn,
Bit Flipping,tiqnya.cn,199.59.242.150,CN,CHINA,mx76.mb1p.com,cn,
Bit Flipping,tkanya.cn,199.59.242.150,CN,CHINA,mx76.mb1p.com,cn,
Bit Flipping,tmanya.cn,,?,,cn,
Bit Flipping,tyanya.cn,,?,,cn,
Bit Flipping,uianya.cn,,?,,cn,
Bit Flipping,vianya.cn,,?,,cn,
Homoglyphs,tlanya.cn,50.117.120.251,US,UNITED STATES,mail.skrimple.com,cn,
Wrong TLD,tianya.ca,69.172.201.153,US,UNITED STATES,,ca,
Wrong TLD,tianya.ch,185.53.178.7,,mail.h-email.net,ch,
Wrong TLD,tianya.com,120.24.90.198,CN,CHINA,,com,
Wrong TLD,tianya.de,87.238.192.13,NL,NETHERLANDS,mail.tianya.de,de,
Wrong TLD,tianya.edu,,?,,edu,
Wrong TLD,tianya.es,217.160.0.245,DE,GERMANY,mx00.1and1.es,es,
Wrong TLD,tianya.fr,,?,,fr,
Wrong TLD,tianya.it,185.53.178.6,,mail.h-email.net,it,
Wrong TLD,tianya.jp,,?,,jp,
Wrong TLD,tianya.net,,?,,net,
Wrong TLD,tianya.nl,109.235.74.158,CA,CANADA,server40.firstfind.nl,nl,
Wrong TLD,tianya.no,,?,,no,
Wrong TLD,tianya.org,199.115.116.216,US,UNITED STATES,,org,
