Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,tieanddate.com,173.239.8.164,—,,mx7.tieanddate.com,com,
Character Omission,timanddate.com,209.126.123.12,ç,,,com,
Character Omission,timeaddate.com,208.91.196.105,CA,CANADA,,com,
Character Omission,timeandate.com,68.178.213.61,US,UNITED STATES,,com,
Character Omission,timeanddae.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Omission,timeanddat.com,208.91.196.152,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Omission,timeanddate.cm,,?,,cm,
Character Omission,timeanddte.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Omission,timenddate.com,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Omission,tmeanddate.com,208.91.196.152,NL,NETHERLANDS,,com,
Character Repeat,tiimeanddate.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Repeat,timeaanddate.com,,?,,com,
Character Repeat,timeanddaate.com,185.53.178.9,,mail.h-email.net,com,
Character Repeat,timeanddatee.com,,?,,com,
Character Repeat,timeanddatte.com,,?,,com,
Character Repeat,timeandddate.com,67.55.121.97,US,UNITED STATES,,com,
Character Repeat,timeannddate.com,141.8.224.169,CH,SWITZERLAND,,com,
Character Repeat,timeeanddate.com,,?,,com,
Character Repeat,timmeanddate.com,,?,,com,
Character Repeat,ttimeanddate.com,173.239.8.164,US,UNITED STATES,mx7.ttimeanddate.com,com,
Character Swap,itmeanddate.com,,?,,com,
Character Swap,tiemanddate.com,103.224.212.222,,mx92.mb5p.com,com,
Character Swap,timaenddate.com,,?,,com,
Character Swap,timeadndate.com,67.55.92.184,US,UNITED STATES,mx7.timeadndate.com,com,
Character Swap,timeandadte.com,,?,,com,
Character Swap,timeanddaet.com,,?,,com,
Character Swap,timeanddtae.com,,?,,com,
Character Swap,timenaddate.com,67.55.121.97,US,UNITED STATES,,com,
Character Swap,tmieanddate.com,,?,,com,
Character Replacement,rimeanddate.com,,?,,com,
Character Replacement,timeabddate.com,,?,,com,
Character Replacement,timeamddate.com,,?,,com,
Character Replacement,timeanddare.com,,?,,com,
Character Replacement,timeanddatr.com,,?,,com,
Character Replacement,timeanddatw.com,198.58.122.166,,mail.mxproc.com,com,
Character Replacement,timeanddaye.com,,?,,com,
Character Replacement,timeanddste.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Replacement,timeandfate.com,98.124.245.24,US,UNITED STATES,mail.b-io.co,com,
Character Replacement,timeandsate.com,184.168.221.104,CA,CANADA,,com,
Character Replacement,timeanfdate.com,,?,,com,
Character Replacement,timeansdate.com,141.8.224.93,CH,SWITZERLAND,,com,
