Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,tmsguide.com,52.71.185.125,US,UNITED STATES,,com,
Character Omission,tomguide.com,202.45.84.67,HK,HONG KONG,,com,
Character Omission,tomsgide.com,103.224.182.247,,mx92.mb5p.com,com,
Character Omission,tomsgude.com,,?,,com,
Character Omission,tomsguid.com,103.224.182.247,,mx92.m1bp.com,com,
Character Omission,tomsguide.cm,,?,,cm,
Character Omission,tomsguie.com,,?,,com,
Character Omission,tomsuide.com,,?,,com,
Character Omission,tosguide.com,184.168.221.48,US,UNITED STATES,smtp.secureserver.net,com,
Character Repeat,tommsguide.com,,?,,com,
Character Repeat,tomsgguide.com,,?,,com,
Character Repeat,tomsguidde.com,,?,,com,
Character Repeat,tomsguidee.com,,?,,com,
Character Repeat,tomsguiide.com,,?,,com,
Character Repeat,tomsguuide.com,,?,,com,
Character Repeat,tomssguide.com,,?,,com,
Character Repeat,toomsguide.com,,?,,com,
Character Repeat,ttomsguide.com,,?,,com,
Character Swap,otmsguide.com,,?,,com,
Character Swap,tmosguide.com,,?,,com,
Character Swap,tomgsuide.com,,?,,com,
Character Swap,tomsgiude.com,,?,,com,
Character Swap,tomsgudie.com,,?,,com,
Character Swap,tomsguied.com,,?,,com,
Character Swap,tomsugide.com,,?,,com,
Character Swap,tosmguide.com,,?,,com,
Character Replacement,romsguide.com,,?,,com,
Character Replacement,timsguide.com,109.199.127.41,RO,ROMANIA,mx30.mailspamprotection.com,com,
Character Replacement,tomaguide.com,,?,,com,
Character Replacement,tomdguide.com,,?,,com,
Character Replacement,tomsfuide.com,,?,,com,
Character Replacement,tomsgiide.com,,?,,com,
Character Replacement,tomsguidr.com,,?,,com,
Character Replacement,tomsguidw.com,,?,,com,
Character Replacement,tomsguife.com,,?,,com,
Character Replacement,tomsguise.com,,?,,com,
Character Replacement,tomsguode.com,,?,,com,
Character Replacement,tomsguude.com,,?,,com,
Character Replacement,tomsgyide.com,,?,,com,
Character Replacement,tomshuide.com,,?,,com,
Character Replacement,tonsguide.com,,?,,com,
Character Replacement,tpmsguide.com,,?,,com,
Character Replacement,yomsguide.com,,?,,com,
Character Insertion,toimsguide.com,,?,,com,
Character Insertion,tomnsguide.com,,?,,com,
Character Insertion,tomsaguide.com,,?,,com,
Character Insertion,tomsdguide.com,,?,,com,
Character Insertion,tomsgfuide.com,,?,,com,
Character Insertion,tomsghuide.com,,?,,com,
Character Insertion,tomsguider.com,,?,,com,
Character Insertion,tomsguidew.com,,?,,com,
Character Insertion,tomsguidfe.com,,?,,com,
Character Insertion,tomsguidse.com,,?,,com,
Character Insertion,tomsguiode.com,,?,,com,
Character Insertion,tomsguiude.com,,?,,com,
Character Insertion,tomsguyide.com,,?,,com,
Character Insertion,topmsguide.com,,?,,com,
Character Insertion,tromsguide.com,,?,,com,
Character Insertion,tyomsguide.com,,?,,com,
Missing Dot,tomsguidecom.com,,?,,com,
Missing Dot,wwwtomsguide.com,103.224.182.247,,mx92.mb5p.com,com,
Singular or Pluralise,tomsguides.com,212.73.209.5,GB,UNITED KINGDOM,mx0.bestofmedia.com,com,
Vowel Swap,tomsgaide.com,,?,,com,
Vowel Swap,tomsgeide.com,,?,,com,
Vowel Swap,tomsgoide.com,,?,,com,
Vowel Swap,tomsguade.com,,?,,com,
Vowel Swap,tomsguede.com,,?,,com,
Vowel Swap,tomsguida.com,,?,,com,
Vowel Swap,tomsguidi.com,,?,,com,
Vowel Swap,tomsguido.com,,?,,com,
Vowel Swap,tomsguidu.com,,?,,com,
Homophones,tomsguayede.com,,?,,com,
Homophones,tomsgueyede.com,,?,,com,
Homophones,tomsguyed.com,,?,,com,
Homophones,twomsguide.com,,?,,com,
Bit Flipping,4omsguide.com,,?,,com,
Bit Flipping,domsguide.com,204.11.56.48,,,com,
Bit Flipping,pomsguide.com,,?,,com,
Bit Flipping,tgmsguide.com,,?,,com,
Bit Flipping,tkmsguide.com,,?,,com,
Bit Flipping,tmmsguide.com,,?,,com,
Bit Flipping,tnmsguide.com,,?,,com,
Bit Flipping,to-sguide.com,,?,,com,
Bit Flipping,toesguide.com,,?,,com,
Bit Flipping,toisguide.com,,?,,com,
Bit Flipping,tolsguide.com,,?,,com,
Bit Flipping,tom3guide.com,,?,,com,
Bit Flipping,tomcguide.com,,?,,com,
Bit Flipping,tomqguide.com,,?,,com,
Bit Flipping,tomrguide.com,,?,,com,
Bit Flipping,tomscuide.com,,?,,com,
Bit Flipping,tomseuide.com,,?,,com,
Bit Flipping,tomsg5ide.com,,?,,com,
Bit Flipping,tomsgqide.com,,?,,com,
Bit Flipping,tomsgtide.com,,?,,com,
Bit Flipping,tomsguhde.com,,?,,com,
Bit Flipping,tomsguidd.com,,?,,com,
Bit Flipping,tomsguidg.com,,?,,com,
Bit Flipping,tomsguidm.com,,?,,com,
Bit Flipping,tomsguiee.com,,?,,com,
Bit Flipping,tomsguile.com,,?,,com,
Bit Flipping,tomsguite.com,,?,,com,
Bit Flipping,tomsgukde.com,,?,,com,
Bit Flipping,tomsgumde.com,,?,,com,
Bit Flipping,tomsguyde.com,,?,,com,
Bit Flipping,tomsgwide.com,,?,,com,
Bit Flipping,tomsouide.com,,?,,com,
Bit Flipping,tomswuide.com,,?,,com,
Bit Flipping,tomwguide.com,,?,,com,
Bit Flipping,toosguide.com,,?,,com,
Bit Flipping,uomsguide.com,,?,,com,
Bit Flipping,vomsguide.com,,?,,com,
Homoglyphs,t0msguide.com,,?,,com,
Homoglyphs,tomsguicle.com,,?,,com,
Homoglyphs,tomsgulde.com,,?,,com,
Homoglyphs,tornsguide.com,,?,,com,
Wrong TLD,tomsguide.ca,,?,,ca,
Wrong TLD,tomsguide.ch,212.73.209.5,GB,UNITED KINGDOM,tomsguide-ch.mail.protection.outlook.com,ch,
Wrong TLD,tomsguide.de,185.53.178.7,,mail.h-email.net,de,
Wrong TLD,tomsguide.edu,,?,,edu,
Wrong TLD,tomsguide.es,80.92.65.53,LU,LUXEMBOURG,mail.tomsguide.es,es,
Wrong TLD,tomsguide.fr,52.22.5.243,¸©,,tomsguide-fr.mail.protection.outlook.com,fr,
Wrong TLD,tomsguide.it,80.92.65.53,GB,UNITED KINGDOM,mail.tomsguide.it,it,
Wrong TLD,tomsguide.jp,,?,,jp,
Wrong TLD,tomsguide.net,217.70.184.38,NL,NETHERLANDS,fb.mail.gandi.net,net,
Wrong TLD,tomsguide.nl,80.92.65.53,LU,LUXEMBOURG,mail.tomsguide.nl,nl,
Wrong TLD,tomsguide.no,,?,,no,
Wrong TLD,tomsguide.org,,?,,org,
Wrong TLD,tomsguide.ru,80.92.65.53,LU,LUXEMBOURG,mail.tomsguide.ru,ru,
Wrong TLD,tomsguide.se,80.92.65.53,LU,LUXEMBOURG,mail.tomsguide.se,se,
Wrong TLD,tomsguide.us,217.70.184.38,FR,FRANCE,fb.mail.gandi.net,us,

