Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,tavelocity.com,204.74.99.101,US,UNITED STATES,,com,
Character Omission,traelocity.com,204.74.99.101,US,UNITED STATES,,com,
Character Omission,travelcity.com,98.124.245.24,US,UNITED STATES,mail.b-io.co,com,
Character Omission,travelocit.com,204.74.99.101,US,UNITED STATES,,com,
Character Omission,travelocity.cm,85.25.199.30,DE,GERMANY,,cm,
Character Omission,travelociy.com,204.74.99.101,GB,UNITED KINGDOM,,com,
Character Omission,travelocty.com,204.74.99.101,US,UNITED STATES,,com,
Character Omission,traveloity.com,204.74.99.101,US,UNITED STATES,,com,
Character Omission,traveocity.com,204.74.99.101,US,UNITED STATES,,com,
Character Omission,travlocity.com,204.74.99.101,ÌM,,,com,
Character Omission,trvelocity.com,204.74.99.101,US,UNITED STATES,,com,
Character Repeat,traavelocity.com,204.74.99.101,US,UNITED STATES,,com,
Character Repeat,traveelocity.com,204.74.99.101,US,UNITED STATES,,com,
Character Repeat,travellocity.com,204.74.99.101,H5,,,com,
Character Repeat,traveloccity.com,204.74.99.101,ÌE,,,com,
Character Repeat,travelociity.com,204.74.99.101,US,UNITED STATES,,com,
Character Repeat,travelocitty.com,204.74.99.101,US,UNITED STATES,,com,
Character Repeat,travelocityy.com,204.74.99.101,US,UNITED STATES,,com,
Character Repeat,traveloocity.com,204.74.99.101,CA,CANADA,,com,
Character Repeat,travvelocity.com,204.74.99.101,US,UNITED STATES,,com,
Character Repeat,trravelocity.com,204.74.99.101,BD,BANGLADESH,,com,
Character Repeat,ttravelocity.com,204.74.99.101,US,UNITED STATES,,com,
Character Swap,rtavelocity.com,204.74.99.101,US,UNITED STATES,,com,
Character Swap,tarvelocity.com,204.74.99.101,US,UNITED STATES,,com,
Character Swap,traevlocity.com,184.168.221.96,US,UNITED STATES,10,com,
Character Swap,travelcoity.com,204.74.99.101,US,UNITED STATES,,com,
Character Swap,travelociyt.com,204.74.99.101,US,UNITED STATES,,com,
Character Swap,traveloctiy.com,204.74.99.101,US,UNITED STATES,,com,
Character Swap,traveloicty.com,204.74.99.101,US,UNITED STATES,,com,
Character Swap,traveolcity.com,204.74.99.101,US,UNITED STATES,,com,
Character Swap,travleocity.com,204.74.99.101,CA,CANADA,,com,
Character Swap,trvaelocity.com,204.74.99.101,US,UNITED STATES,,com,
Character Replacement,rravelocity.com,204.74.99.101,MY,MALAYSIA,,com,
Character Replacement,teavelocity.com,204.74.99.101,US,UNITED STATES,,com,
Character Replacement,trabelocity.com,204.74.99.101,MY,MALAYSIA,,com,
Character Replacement,tracelocity.com,204.74.99.101,BB,BARBADOS,,com,
Character Replacement,travekocity.com,204.74.99.101,US,UNITED STATES,,com,
Character Replacement,travelicity.com,204.74.99.101,US,UNITED STATES,,com,
Character Replacement,travelociry.com,204.74.99.101,US,UNITED STATES,,com,
Character Replacement,travelocitt.com,204.74.99.101,US,UNITED STATES,,com,
Character Replacement,travelocitu.com,204.74.99.101,US,UNITED STATES,,com,
Character Replacement,travelociyy.com,158.69.145.48,US,UNITED STATES,,com,
Character Replacement,travelocoty.com,204.74.99.101,US,UNITED STATES,,com,
Character Replacement,travelocuty.com,204.74.99.101,US,UNITED STATES,,com,
Character Replacement,travelovity.com,204.74.99.101,US,UNITED STATES,,com,
Character Replacement,traveloxity.com,204.74.99.101,GB,UNITED KINGDOM,,com,
Character Replacement,travelpcity.com,204.74.99.101,US,UNITED STATES,,com,
Character Replacement,travrlocity.com,204.74.99.101,US,UNITED STATES,,com,
Character Replacement,travwlocity.com,204.74.99.101,US,UNITED STATES,,com,
Character Replacement,trsvelocity.com,204.74.99.101,US,UNITED STATES,,com,
Character Replacement,ttavelocity.com,204.74.99.101,US,UNITED STATES,,com,
Character Replacement,yravelocity.com,204.74.99.100,US,UNITED STATES,,com,
Character Insertion,trasvelocity.com,204.74.99.101,ÌM,,,com,
Character Insertion,travbelocity.com,204.74.99.101,US,UNITED STATES,,com,
Character Insertion,travcelocity.com,204.74.99.101,,,com,
Character Insertion,travelkocity.com,204.74.99.101,US,UNITED STATES,,com,
Character Insertion,travelocioty.com,204.74.99.101,US,UNITED STATES,,com,
Character Insertion,travelocitry.com,204.74.99.101,ID,INDONESIA,,com,
Character Insertion,travelocityt.com,204.74.99.101,CZ,CZECH REPUBLIC,,com,
Character Insertion,travelocityu.com,204.74.99.101,US,UNITED STATES,,com,
Character Insertion,travelociuty.com,204.74.99.101,US,UNITED STATES,,com,
Character Insertion,travelocvity.com,204.74.99.101,ÌM,,,com,
Character Insertion,travelocxity.com,204.74.99.101,,,com,
Character Insertion,traveloicity.com,204.74.99.101,US,UNITED STATES,,com,
Character Insertion,travelopcity.com,75.126.100.30,ÌM,,,com,
Character Insertion,traverlocity.com,204.74.99.101,US,UNITED STATES,,com,
Character Insertion,travewlocity.com,204.74.99.101,US,UNITED STATES,,com,
Character Insertion,treavelocity.com,204.74.99.101,US,UNITED STATES,,com,
Character Insertion,trtavelocity.com,204.74.99.101,US,UNITED STATES,,com,
Character Insertion,tyravelocity.com,204.74.99.101,JP,JAPAN,,com,
Missing Dot,travelocitycom.com,66.96.149.23,US,UNITED STATES,mx.travelocitycom.com,com,
Missing Dot,wwwtravelocity.com,204.74.99.101,US,UNITED STATES,,com,
Singular or Pluralise,travelocities.com,,?,,com,
Vowel Swap,travalocity.com,204.74.99.101,US,UNITED STATES,,com,
Vowel Swap,travelocaty.com,204.74.99.101,US,UNITED STATES,,com,
Vowel Swap,travelocety.com,204.74.99.101,US,UNITED STATES,,com,
Vowel Swap,travilocity.com,204.74.99.101,US,UNITED STATES,,com,
Vowel Swap,travolocity.com,204.74.99.101,US,UNITED STATES,,com,
Vowel Swap,travulocity.com,204.74.99.101,US,UNITED STATES,,com,
Vowel Swap,trevelocity.com,204.74.99.101,US,UNITED STATES,,com,
Vowel Swap,trivelocity.com,204.74.99.101,CA,CANADA,,com,
Vowel Swap,trovelocity.com,204.74.99.101,US,UNITED STATES,,com,
Vowel Swap,truvelocity.com,204.74.99.101,US,UNITED STATES,,com,
Homophones,travelocayety.com,,?,,com,
Homophones,traveloceyety.com,,?,,com,
Homophones,travelowcity.com,204.74.99.101,US,UNITED STATES,,com,
Bit Flipping,4ravelocity.com,,?,,com,
Bit Flipping,dravelocity.com,204.74.99.101,US,UNITED STATES,,com,
Bit Flipping,pravelocity.com,204.74.99.101,US,UNITED STATES,,com,
Bit Flipping,t2avelocity.com,,?,,com,
Bit Flipping,tbavelocity.com,,?,,com,
Bit Flipping,tpavelocity.com,,?,,com,
Bit Flipping,tra6elocity.com,,?,,com,
Bit Flipping,trafelocity.com,51.254.28.160,US,UNITED STATES,,com,
Bit Flipping,trarelocity.com,,?,,com,
Bit Flipping,tratelocity.com,,?,,com,
Bit Flipping,travdlocity.com,204.74.99.101,US,UNITED STATES,,com,
Bit Flipping,travedocity.com,,?,,com,
Bit Flipping,travehocity.com,,?,,com,
Bit Flipping,travelgcity.com,,?,,com,
Bit Flipping,travelkcity.com,204.74.99.101,US,UNITED STATES,,com,
Bit Flipping,travelmcity.com,,?,,com,
Bit Flipping,travelncity.com,204.74.99.101,Ëß,,,com,
Bit Flipping,traveloaity.com,204.74.99.101,US,UNITED STATES,,com,
Bit Flipping,travelobity.com,204.74.99.101,US,UNITED STATES,,com,
Bit Flipping,travelochty.com,204.74.99.101,AU,AUSTRALIA,,com,
Bit Flipping,traveloci4y.com,,?,,com,
Bit Flipping,travelocidy.com,204.74.99.101,US,UNITED STATES,,com,
Bit Flipping,travelocipy.com,204.74.99.101,US,UNITED STATES,,com,
Bit Flipping,travelocit9.com,,?,,com,
Bit Flipping,travelociti.com,204.74.99.101,US,UNITED STATES,,com,
Bit Flipping,travelocitq.com,,?,,com,
Bit Flipping,travelocitx.com,204.74.99.101,US,UNITED STATES,,com,
Bit Flipping,travelociuy.com,,?,,com,
Bit Flipping,travelocivy.com,204.74.99.101,ÌM,,,com,
Bit Flipping,travelockty.com,204.74.99.101,US,UNITED STATES,,com,
Bit Flipping,travelocmty.com,,?,,com,
Bit Flipping,travelocyty.com,204.74.99.101,ÌM,,,com,
Bit Flipping,travelogity.com,204.74.99.101,US,UNITED STATES,,com,
Bit Flipping,travelokity.com,,?,,com,
Bit Flipping,travelosity.com,204.74.99.101,ÌM,,,com,
Bit Flipping,travemocity.com,204.74.99.101,US,UNITED STATES,,com,
Bit Flipping,travenocity.com,204.74.99.101,US,UNITED STATES,,com,
Bit Flipping,travglocity.com,,?,,com,
Bit Flipping,travmlocity.com,,?,,com,
Bit Flipping,trawelocity.com,204.74.99.101,CA,CANADA,,com,
Bit Flipping,trcvelocity.com,,?,,com,
Bit Flipping,trqvelocity.com,204.74.99.101,US,UNITED STATES,,com,
Bit Flipping,tsavelocity.com,,?,,com,
Bit Flipping,tvavelocity.com,204.74.99.101,US,UNITED STATES,,com,
Bit Flipping,tzavelocity.com,204.74.99.101,US,UNITED STATES,,com,
Bit Flipping,uravelocity.com,,?,,com,
Bit Flipping,vravelocity.com,,?,,com,
Homoglyphs,trave1ocity.com,204.74.99.101,US,UNITED STATES,,com,
Homoglyphs,travel0city.com,204.74.99.101,ÌM,,,com,
Homoglyphs,traveloclty.com,204.74.99.101,CA,CANADA,,com,
Wrong TLD,travelocity.ca,204.74.99.101,US,UNITED STATES,mx.expecnlab.com,ca,
Wrong TLD,travelocity.ch,204.74.99.101,US,UNITED STATES,,ch,
Wrong TLD,travelocity.de,204.74.99.101,US,UNITED STATES,,de,
Wrong TLD,travelocity.edu,,?,,edu,
Wrong TLD,travelocity.es,103.224.182.248,,mx92.mb5p.com,es,
Wrong TLD,travelocity.fr,204.74.99.101,US,UNITED STATES,,fr,
Wrong TLD,travelocity.it,204.74.99.101,US,UNITED STATES,mx.expecnlab.com,it,
Wrong TLD,travelocity.jp,72.52.4.119,US,UNITED STATES,localhost,jp,
Wrong TLD,travelocity.net,204.74.99.101,US,UNITED STATES,,net,
Wrong TLD,travelocity.nl,54.72.9.51,US,UNITED STATES,mx186.mb1p.com,nl,
Wrong TLD,travelocity.no,204.74.99.101,US,UNITED STATES,,no,
Wrong TLD,travelocity.org,204.74.99.101,US,UNITED STATES,,org,
Wrong TLD,travelocity.ru,194.58.112.174,RU,RUSSIAN FEDERATION,,ru,
Wrong TLD,travelocity.se,72.52.4.119,US,UNITED STATES,localhost,se,
Wrong TLD,travelocity.us,67.199.248.13,ÌM,,mailstore1.secureserver.net,us,

