Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,tello.com,63.251.74.98,US,UNITED STATES,aspmx.l.google.com,com,
Character Omission,trell.com,,?,,com,
Character Omission,trello.cm,85.25.199.30,CA,CANADA,,cm,
Character Omission,trelo.com,184.168.221.48,Ç¨,,smtp.secureserver.net,com,
Character Omission,trllo.com,103.224.182.251,,park-mx.above.com,com,
Character Repeat,treello.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Repeat,trelllo.com,72.52.4.119,US,UNITED STATES,localhost,com,
Character Repeat,trelloo.com,184.168.221.33,UA,UKRAINE,,com,
Character Repeat,trrello.com,185.53.177.31,,,com,
Character Repeat,ttrello.com,,?,,com,
Character Swap,rtello.com,,?,alt4.gmr-smtp-in.l.google.com,com,
Character Swap,terllo.com,185.53.178.6,,mail.h-email.net,com,
Character Swap,trelol.com,72.52.4.119,Eœ,,localhost,com,
Character Swap,trlelo.com,,?,,com,
Character Replacement,rrello.com,103.224.182.247,,mx92.m1bp.com,com,
Character Replacement,teello.com,23.97.208.18,,mail.teello.com,com,
Character Replacement,treklo.com,50.63.202.35,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Replacement,trelko.com,,?,,com,
Character Replacement,trelli.com,35.182.187.225,US,UNITED STATES,mx2.ewebdevelopment.com,com,
Character Replacement,trellp.com,69.89.27.104,US,UNITED STATES,mail.trellp.com,com,
Character Replacement,trrllo.com,,?,,com,
Character Replacement,trwllo.com,173.239.8.164,US,UNITED STATES,mx7.trwllo.com,com,
Character Replacement,ttello.com,,?,,com,
Character Replacement,yrello.com,,?,,com,
Double Character Replacement,trekko.com,35.182.187.225,US,UNITED STATES,mx1.ewebdevelopment.com,com,
Character Insertion,trelklo.com,,?,,com,
Character Insertion,trellko.com,,?,,com,
Character Insertion,trelloi.com,184.168.221.104,NO,NORWAY,,com,
Character Insertion,trellop.com,,?,,com,
Character Insertion,trerllo.com,,?,,com,
Character Insertion,trewllo.com,,?,,com,
Character Insertion,trtello.com,,?,,com,
Character Insertion,tyrello.com,,?,,com,
Missing Dot,trellocom.com,,?,,com,
Missing Dot,wwwtrello.com,185.53.178.8,,mail.h-email.net,com,
Singular or Pluralise,trellos.com,184.168.221.54,RU,RUSSIAN FEDERATION,smtp.secureserver.net,com,
Vowel Swap,trallo.com,46.29.49.11,US,UNITED STATES,mail.trallo.com,com,
Vowel Swap,trillo.com,85.17.25.202,NL,NETHERLANDS,,com,
Vowel Swap,trollo.com,83.169.9.36,KY,CAYMAN ISLANDS,mxext2.mailbox.org,com,
Vowel Swap,trullo.com,64.207.180.71,US,UNITED STATES,alt2.aspmx.l.google.com,com,
Homophones,trellow.com,75.126.100.23,BE,BELGIUM,,com,
Bit Flipping,4rello.com,,?,,com,
Bit Flipping,drello.com,81.169.145.152,DE,GERMANY,smtp.rzone.de,com,
Bit Flipping,prello.com,50.63.202.6,US,UNITED STATES,mailstore1.secureserver.net,com,
Bit Flipping,t2ello.com,,?,,com,
Bit Flipping,tbello.com,192.237.249.73,,mx2.emailsrvr.com,com,
Bit Flipping,tpello.com,,?,,com,
Bit Flipping,trdllo.com,,?,,com,
Bit Flipping,tredlo.com,,?,,com,
Bit Flipping,trehlo.com,23.236.62.147,,aspmx.l.google.com,com,
Bit Flipping,treldo.com,,?,,com,
Bit Flipping,trelho.com,,?,,com,
Bit Flipping,trellg.com,,?,,com,
Bit Flipping,trellk.com,,?,,com,
Bit Flipping,trellm.com,,?,,com,
Bit Flipping,trelln.com,,?,,com,
Bit Flipping,trelmo.com,217.19.248.132,GB,UNITED KINGDOM,mail.idp365.net,com,
Bit Flipping,trelno.com,,?,,com,
Bit Flipping,tremlo.com,209.99.64.20,US,UNITED STATES,,com,
Bit Flipping,trenlo.com,199.168.185.232,US,UNITED STATES,trenlo.com,com,
Bit Flipping,trgllo.com,,?,,com,
Bit Flipping,trmllo.com,,?,,com,
Bit Flipping,tsello.com,,?,,com,
Bit Flipping,tvello.com,,?,,com,
Bit Flipping,tzello.com,,?,,com,
Bit Flipping,urello.com,192.0.78.24,,smtp-fwd.wordpress.com,com,
Bit Flipping,vrello.com,198.49.23.144,,aspmx2.googlemail.com,com,
Homoglyphs,tre11o.com,,?,,com,
Homoglyphs,tre1lo.com,,?,,com,
Homoglyphs,trel1o.com,,?,,com,
Homoglyphs,trell0.com,,?,,com,
Wrong TLD,trello.ca,,?,,ca,
Wrong TLD,trello.ch,54.230.19.55,US,UNITED STATES,aspmx2.googlemail.com,ch,
Wrong TLD,trello.de,192.30.252.153,,,de,
Wrong TLD,trello.edu,,?,,edu,
Wrong TLD,trello.es,81.169.145.157,DE,GERMANY,smtp.rzone.de,es,
Wrong TLD,trello.fr,185.53.179.8,,mail.h-email.net,fr,
Wrong TLD,trello.it,46.37.12.156,IT,ITALY,mx.trello.it,it,
Wrong TLD,trello.jp,69.64.147.242,DO,DOMINICAN REPUBLIC,,jp,
Wrong TLD,trello.net,75.126.101.254,PK,PAKISTAN,alt1.aspmx.l.google.com,net,
Wrong TLD,trello.nl,,?,,nl,
Wrong TLD,trello.no,93.191.168.52,EU,EUROPEAN UNION,,no,
Wrong TLD,trello.org,184.168.221.9,% ,,,org,
Wrong TLD,trello.ru,,?,,ru,
Wrong TLD,trello.se,195.74.38.62,SE,SWEDEN,,se,
Wrong TLD,trello.us,188.226.177.25,RU,RUSSIAN FEDERATION,mx.trello.us,us,

