Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,trstpilot.com,,?,,com,
Character Omission,truspilot.com,103.224.182.251,,mx92.m1bp.com,com,
Character Omission,trustilot.com,,?,,com,
Character Omission,trustpilo.com,,?,,com,
Character Omission,trustpilot.cm,,?,,cm,
Character Omission,trustpilt.com,,?,,com,
Character Omission,trustpiot.com,47.89.250.206,CA,CANADA,,com,
Character Omission,trustplot.com,192.184.12.62,,mx92.m1bp.com,com,
Character Omission,trutpilot.com,,?,,com,
Character Omission,tustpilot.com,141.8.224.169,CH,SWITZERLAND,,com,
Character Repeat,trrustpilot.com,,?,,com,
Character Repeat,trusstpilot.com,,?,,com,
Character Repeat,trustpiilot.com,,?,,com,
Character Repeat,trustpillot.com,185.53.179.8,,mail.h-email.net,com,
Character Repeat,trustpiloot.com,,?,,com,
Character Repeat,trustpilott.com,,?,,com,
Character Repeat,trustppilot.com,,?,,com,
Character Repeat,trusttpilot.com,,?,,com,
Character Repeat,truustpilot.com,,?,,com,
Character Repeat,ttrustpilot.com,,?,,com,
Character Swap,rtustpilot.com,,?,,com,
Character Swap,trsutpilot.com,103.224.182.251,,mx92.m1bp.com,com,
Character Swap,trusptilot.com,,?,,com,
Character Swap,trustiplot.com,72.52.4.119,US,UNITED STATES,localhost,com,
Character Swap,trustpilto.com,,?,,com,
Character Swap,trustpiolt.com,,?,,com,
Character Swap,trustpliot.com,185.53.179.7,,mail.h-email.net,com,
Character Swap,trutspilot.com,,?,,com,
Character Swap,turstpilot.com,,?,,com,
Character Replacement,rrustpilot.com,,?,,com,
Character Replacement,teustpilot.com,,?,,com,
Character Replacement,tristpilot.com,,?,,com,
Character Replacement,truatpilot.com,,?,,com,
Character Replacement,trudtpilot.com,,?,,com,
Character Replacement,trusrpilot.com,,?,,com,
Character Replacement,trustoilot.com,,?,,com,
Character Replacement,trustpikot.com,,?,,com,
Character Replacement,trustpilit.com,54.217.222.113,US,UNITED STATES,mail.h-email.net,com,
Character Replacement,trustpilor.com,,?,,com,
Character Replacement,trustpiloy.com,,?,,com,
Character Replacement,trustpilpt.com,,?,,com,
Character Replacement,trustpolot.com,,?,,com,
Character Replacement,trustpulot.com,,?,,com,
Character Replacement,trusypilot.com,,?,,com,
Character Replacement,trystpilot.com,,?,,com,
Character Replacement,ttustpilot.com,,?,,com,
Character Replacement,yrustpilot.com,,?,,com,
Character Insertion,treustpilot.com,,?,,com,
Character Insertion,trtustpilot.com,,?,,com,
Character Insertion,truistpilot.com,,?,,com,
Character Insertion,trusatpilot.com,,?,,com,
Character Insertion,trusdtpilot.com,,?,,com,
Character Insertion,trustpilkot.com,,?,,com,
Character Insertion,trustpiloit.com,,?,,com,
Character Insertion,trustpilopt.com,,?,,com,
Character Insertion,trustpilotr.com,,?,,com,
Character Insertion,trustpiloty.com,,?,,com,
Character Insertion,trustpiolot.com,173.239.8.164,US,UNITED STATES,mx7.trustpiolot.com,com,
Character Insertion,trustpiulot.com,,?,,com,
Character Insertion,trustpoilot.com,,?,,com,
Character Insertion,trustrpilot.com,,?,,com,
Character Insertion,trustypilot.com,184.168.221.42,CA,CANADA,mail.trustypilot.com,com,
Character Insertion,truystpilot.com,,?,,com,
Character Insertion,tyrustpilot.com,,?,,com,
Missing Dot,trustpilotcom.com,,?,,com,
Missing Dot,wwwtrustpilot.com,185.53.178.7,,mail.h-email.net,com,
Singular or Pluralise,trustpilots.com,69.172.201.153,US,UNITED STATES,,com,
Vowel Swap,trastpilot.com,,?,,com,
Vowel Swap,trestpilot.com,,?,,com,
Vowel Swap,trostpilot.com,,?,,com,
Vowel Swap,trustpalot.com,,?,,com,
Vowel Swap,trustpelot.com,,?,,com,
Homophones,trustpayelot.com,,?,,com,
Homophones,trustpeyelot.com,,?,,com,
Homophones,trustpielot.com,,?,,com,
Homophones,trustpilowt.com,,?,,com,
Bit Flipping,4rustpilot.com,,?,,com,
Bit Flipping,drustpilot.com,,?,,com,
Bit Flipping,prustpilot.com,,?,,com,
Bit Flipping,t2ustpilot.com,,?,,com,
Bit Flipping,tbustpilot.com,,?,,com,
Bit Flipping,tpustpilot.com,,?,,com,
Bit Flipping,tr5stpilot.com,,?,,com,
Bit Flipping,trqstpilot.com,,?,,com,
Bit Flipping,trtstpilot.com,,?,,com,
Bit Flipping,tru3tpilot.com,,?,,com,
Bit Flipping,tructpilot.com,,?,,com,
Bit Flipping,truqtpilot.com,,?,,com,
Bit Flipping,trurtpilot.com,,?,,com,
Bit Flipping,trus4pilot.com,,?,,com,
Bit Flipping,trusdpilot.com,,?,,com,
Bit Flipping,trusppilot.com,,?,,com,
Bit Flipping,trust0ilot.com,,?,,com,
Bit Flipping,trustphlot.com,,?,,com,
Bit Flipping,trustpidot.com,,?,,com,
Bit Flipping,trustpihot.com,,?,,com,
Bit Flipping,trustpilgt.com,,?,,com,
Bit Flipping,trustpilkt.com,,?,,com,
Bit Flipping,trustpilmt.com,,?,,com,
Bit Flipping,trustpilnt.com,,?,,com,
Bit Flipping,trustpilo4.com,,?,,com,
Bit Flipping,trustpilod.com,,?,,com,
Bit Flipping,trustpilop.com,,?,,com,
Bit Flipping,trustpilou.com,,?,,com,
Bit Flipping,trustpilov.com,,?,,com,
Bit Flipping,trustpimot.com,,?,,com,
Bit Flipping,trustpinot.com,,?,,com,
Bit Flipping,trustpklot.com,,?,,com,
Bit Flipping,trustpmlot.com,,?,,com,
Bit Flipping,trustpylot.com,,?,,com,
Bit Flipping,trustqilot.com,,?,,com,
Bit Flipping,trustrilot.com,,?,,com,
Bit Flipping,trusttilot.com,,?,,com,
Bit Flipping,trustxilot.com,,?,,com,
Bit Flipping,trusupilot.com,,?,,com,
Bit Flipping,trusvpilot.com,,?,,com,
Bit Flipping,truwtpilot.com,,?,,com,
Bit Flipping,trwstpilot.com,,?,,com,
Bit Flipping,tsustpilot.com,,?,,com,
Bit Flipping,tvustpilot.com,,?,,com,
Bit Flipping,tzustpilot.com,,?,,com,
Bit Flipping,urustpilot.com,,?,,com,
Bit Flipping,vrustpilot.com,,?,,com,
Homoglyphs,trustpi1ot.com,,?,,com,
Homoglyphs,trustpil0t.com,,?,,com,
Homoglyphs,trustpllot.com,,?,,com,
