Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,uited.com,103.224.182.217,,mx92.m1bp.com,com,
Character Omission,unied.com,104.31.84.254,,txpro1.fcomet.com,com,
Character Omission,unitd.com,67.55.92.183,KR,KOREA REPUBLIC OF,mx7.unitd.com,com,
Character Omission,unite.com,52.204.243.80,US,UNITED STATES,aspmx3.googlemail.com,com,
Character Omission,united.cm,85.25.199.30,DE,GERMANY,,cm,
Character Omission,unted.com,72.52.4.120,US,UNITED STATES,localhost,com,
Character Repeat,uniited.com,141.8.225.80,CH,SWITZERLAND,,com,
Character Repeat,unitedd.com,103.224.182.252,,mx92.mb5p.com,com,
Character Repeat,uniteed.com,51.254.28.160,RU,RUSSIAN FEDERATION,,com,
Character Repeat,unitted.com,51.254.28.160,GB,UNITED KINGDOM,,com,
Character Repeat,unnited.com,98.124.199.77,US,UNITED STATES,,com,
Character Repeat,uunited.com,71.18.174.2,US,UNITED STATES,mail1104.ixwebhosting.com,com,
Character Swap,nuited.com,211.234.63.232,H5,,,com,
Character Swap,uinted.com,51.254.28.162,GB,UNITED KINGDOM,,com,
Character Swap,unietd.com,72.52.4.120,US,UNITED STATES,localhost,com,
Character Swap,unitde.com,211.234.63.232,KR,KOREA REPUBLIC OF,,com,
Character Swap,untied.com,66.96.149.32,US,UNITED STATES,mx.untied.com,com,
Character Replacement,inited.com,81.171.22.6,FR,FRANCE,,com,
Character Replacement,ubited.com,209.15.13.134,PL,POLAND,mail.b-io.co,com,
Character Replacement,umited.com,72.52.4.120,US,UNITED STATES,localhost,com,
Character Replacement,unired.com,,?,mail.unired.com,com,
Character Replacement,unitef.com,184.168.221.104,Cæ,,,com,
Character Replacement,unites.com,69.172.201.153,US,UNITED STATES,,com,
Character Replacement,unitrd.com,167.114.156.214,US,UNITED STATES,,com,
Character Replacement,unitwd.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Replacement,uniyed.com,69.162.80.58,US,UNITED STATES,,com,
Character Replacement,unoted.com,173.239.22.42,US,UNITED STATES,,com,
Character Replacement,unuted.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Replacement,ynited.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Insertion,uinited.com,85.17.25.242,NL,NETHERLANDS,,com,
Character Insertion,unbited.com,103.224.182.207,,mx92.m1bp.com,com,
Character Insertion,unioted.com,208.91.196.32,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Insertion,unitedf.com,185.53.179.6,,mail.h-email.net,com,
Character Insertion,uniteds.com,72.52.4.120,PR,PUERTO RICO,localhost,com,
Character Insertion,uniterd.com,72.52.4.120,US,UNITED STATES,localhost,com,
Character Insertion,unitewd.com,67.55.92.184,PK,PAKISTAN,mx7.unitewd.com,com,
Character Insertion,unitred.com,88.208.121.7,CZ,CZECH REPUBLIC,unitred--com.mx.spoje.net,com,
Character Insertion,unityed.com,209.126.123.12,US,UNITED STATES,,com,
Character Insertion,uniuted.com,54.72.11.253,US,UNITED STATES,mail.h-email.net,com,
Character Insertion,unmited.com,50.63.202.37,US,UNITED STATES,,com,
Character Insertion,uynited.com,185.53.179.6,,mail.h-email.net,com,
Missing Dot,unitedcom.com,205.178.189.129,US,UNITED STATES,unitedcom.com.2.0001.arsmtp.com,com,
Missing Dot,wwwunited.com,67.227.226.241,US,UNITED STATES,mx156.hostedmxserver.com,com,
Vowel Swap,unated.com,75.126.100.17,SG,SINGAPORE,,com,
Vowel Swap,uneted.com,72.52.178.23,US,UNITED STATES,mx156.hostedmxserver.com,com,
Vowel Swap,unitad.com,72.52.4.120,US,UNITED STATES,localhost,com,
Vowel Swap,unitid.com,188.93.150.57,NL,NETHERLANDS,,com,
Vowel Swap,unitod.com,203.158.16.137,CN,CHINA,mxbiz2.qq.com,com,
Vowel Swap,unitud.com,,?,,com,
Homophones,uknited.com,184.168.221.59,US,UNITED STATES,mailstore1.secureserver.net,com,
Homophones,unayeted.com,,?,,com,
Homophones,uneyeted.com,109.106.160.204,PR,PUERTO RICO,mail.uneyeted.com,com,
