Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,uexas.edu,,?,,edu,
Character Omission,uteas.edu,,?,,edu,
Character Omission,utexa.edu,,?,,edu,
Character Omission,utexas.eu,103.232.215.129,,mail.skrimple.com,eu,
Character Omission,utexs.edu,,?,,edu,
Character Omission,utxas.edu,,?,,edu,
Character Repeat,uteexas.edu,,?,,edu,
Character Repeat,utexaas.edu,,?,,edu,
Character Repeat,utexass.edu,,?,,edu,
Character Repeat,utexxas.edu,,?,,edu,
Character Repeat,uttexas.edu,,?,,edu,
Character Repeat,uutexas.edu,,?,,edu,
Character Swap,tuexas.edu,,?,,edu,
Character Swap,uetxas.edu,,?,,edu,
Character Swap,uteaxs.edu,,?,,edu,
Character Swap,utexsa.edu,,?,,edu,
Character Swap,utxeas.edu,,?,,edu,
Character Replacement,itexas.edu,,?,,edu,
Character Replacement,urexas.edu,,?,,edu,
Character Replacement,utecas.edu,,?,,edu,
Character Replacement,utexaa.edu,,?,,edu,
Character Replacement,utexad.edu,,?,,edu,
Character Replacement,utexss.edu,,?,,edu,
Character Replacement,utezas.edu,,?,,edu,
Character Replacement,utrxas.edu,,?,,edu,
Character Replacement,utwxas.edu,,?,,edu,
Character Replacement,uyexas.edu,,?,,edu,
Character Replacement,ytexas.edu,,?,,edu,
Character Insertion,uitexas.edu,,?,,edu,
Character Insertion,uterxas.edu,,?,,edu,
Character Insertion,utewxas.edu,,?,,edu,
Character Insertion,utexasa.edu,,?,,edu,
Character Insertion,utexasd.edu,,?,,edu,
Character Insertion,utexcas.edu,,?,,edu,
Character Insertion,utexzas.edu,,?,,edu,
Character Insertion,utrexas.edu,,?,,edu,
Character Insertion,utyexas.edu,,?,,edu,
Character Insertion,uytexas.edu,,?,,edu,
Missing Dot,utexasedu.com,52.71.185.125,US,UNITED STATES,,com,
Missing Dot,wwwutexas.edu,,?,,edu,
Vowel Swap,utexes.edu,,?,,edu,
Vowel Swap,utexis.edu,,?,,edu,
Vowel Swap,utexos.edu,,?,,edu,
Vowel Swap,utexus.edu,,?,,edu,
Bit Flipping,5texas.edu,,?,,edu,
Bit Flipping,etexas.edu,,?,,edu,
Bit Flipping,qtexas.edu,,?,,edu,
Bit Flipping,ttexas.edu,,?,,edu,
Bit Flipping,u4exas.edu,,?,,edu,
Bit Flipping,udexas.edu,,?,,edu,
Bit Flipping,upexas.edu,,?,,edu,
Bit Flipping,utaxas.edu,,?,,edu,
Bit Flipping,utdxas.edu,,?,,edu,
Bit Flipping,ute8as.edu,,?,,edu,
Bit Flipping,utehas.edu,,?,,edu,
Bit Flipping,utepas.edu,,?,,edu,
Bit Flipping,utexa3.edu,,?,,edu,
Bit Flipping,utexac.edu,,?,,edu,
Bit Flipping,utexaq.edu,,?,,edu,
Bit Flipping,utexar.edu,,?,,edu,
Bit Flipping,utexaw.edu,,?,,edu,
Bit Flipping,utexcs.edu,,?,,edu,
Bit Flipping,utexqs.edu,,?,,edu,
Bit Flipping,uteyas.edu,,?,,edu,
Bit Flipping,utgxas.edu,,?,,edu,
Bit Flipping,utmxas.edu,,?,,edu,
Bit Flipping,utuxas.edu,,?,,edu,
Bit Flipping,uuexas.edu,,?,,edu,
Bit Flipping,uvexas.edu,,?,,edu,
Bit Flipping,wtexas.edu,,?,,edu,
Wrong TLD,utexas.ca,,?,,ca,
Wrong TLD,utexas.ch,,?,,ch,
Wrong TLD,utexas.com,128.83.21.174,US,UNITED STATES,,com,
Wrong TLD,utexas.de,,?,,de,
Wrong TLD,utexas.es,,?,,es,
Wrong TLD,utexas.fr,,?,,fr,
Wrong TLD,utexas.it,,?,,it,
Wrong TLD,utexas.jp,,?,,jp,
Wrong TLD,utexas.net,128.83.21.174,US,UNITED STATES,,net,
Wrong TLD,utexas.nl,,?,,nl,
Wrong TLD,utexas.no,,?,,no,
Wrong TLD,utexas.org,128.83.21.174,US,UNITED STATES,inbound.mail.utexas.edu,org,
Wrong TLD,utexas.ru,,?,,ru,
Wrong TLD,utexas.se,,?,,se,
Wrong TLD,utexas.us,,?,,us,

