Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,v.de,193.175.80.184,DE,GERMANY,,de,
Character Repeat,vrr.de,217.70.161.90,DE,GERMANY,home.gelsen-net.de,de,
Character Repeat,vvr.de,217.160.0.94,DE,GERMANY,vvr-de.mail.protection.outlook.com,de,
Character Swap,rv.de,194.99.92.23,DE,GERMANY,mail-b.suedkurier.de,de,
Character Replacement,br.de,194.187.162.188,DE,GERMANY,itmu-smtp92.br.de,de,
Character Replacement,cr.de,213.214.0.28,DE,GERMANY,mail1.rox.net,de,
Character Replacement,ve.de,185.53.179.7,,mail.h-email.net,de,
Character Replacement,vr.se,193.10.44.165,SE,SWEDEN,mx20-se.staysecuregroup.net,se,
Character Replacement,vt.de,82.140.32.134,DE,GERMANY,,de,
Character Insertion,vbr.de,80.237.132.133,DE,GERMANY,mx0.vbr.de,de,
Character Insertion,vcr.de,185.33.116.130,,mail.vcr.de,de,
Character Insertion,vre.de,185.53.179.7,,,de,
Character Insertion,vrt.de,193.27.50.180,DE,GERMANY,idsmailin14.datevnet.de,de,
Missing Dot,vrde.com,69.172.201.153,US,UNITED STATES,,com,
Missing Dot,wwwvr.de,,?,,de,
Singular or Pluralise,vrs.de,213.149.65.50,DE,GERMANY,mails.vrs.de,de,
Bit Flipping,6r.de,,?,,de,
Bit Flipping,fr.de,62.209.37.140,DE,GERMANY,mailserver2.faz.de,de,
Bit Flipping,rr.de,84.201.43.243,DE,GERMANY,,de,
Bit Flipping,tr.de,213.239.215.88,DE,GERMANY,,de,
Bit Flipping,v2.de,217.69.87.125,DE,GERMANY,mx.openit.de.v2.de,de,
Bit Flipping,vb.de,213.239.215.88,DE,GERMANY,,de,
Bit Flipping,vp.de,185.53.178.9,,mail.h-email.net,de,
Bit Flipping,vr.dm,,?,,dm,
Bit Flipping,vr.ee,217.146.69.21,EE,ESTONIA,mx1.zone.eu,ee,
Bit Flipping,vs.de,217.6.57.136,DE,GERMANY,relay2.vs-moebel.de,de,
Bit Flipping,vv.de,78.46.10.118,US,UNITED STATES,mx00.kundenserver.de,de,
Bit Flipping,vz.de,213.239.215.88,DE,GERMANY,,de,
Bit Flipping,wr.de,149.221.200.120,DE,GERMANY,cluster-j.mailcontrol.com,de,
Wrong TLD,vr.ca,103.224.182.239,,mx92.mb5p.com,ca,
Wrong TLD,vr.ch,,?,,ch,
Wrong TLD,vr.com,104.130.167.29,,aspmx3.googlemail.com,com,
Wrong TLD,vr.edu,,?,,edu,
Wrong TLD,vr.es,,?,,es,
Wrong TLD,vr.fr,37.97.135.129,RO,ROMANIA,mail.happyisp.com,fr,
Wrong TLD,vr.it,,?,,it,
Wrong TLD,vr.jp,,?,,jp,
Wrong TLD,vr.net,174.129.25.170,US,UNITED STATES,mailstore1.secureserver.net,net,
Wrong TLD,vr.nl,185.56.145.44,,mail.vr.nl,nl,
Wrong TLD,vr.no,144.76.249.236,DE,GERMANY,vr.no,no,
Wrong TLD,vr.org,204.109.62.106,US,UNITED STATES,vr.org.bak-mx.na0103.smtpbak.com,org,
Wrong TLD,vr.ru,109.70.27.4,RU,RUSSIAN FEDERATION,mf1.nic.ru,ru,
Wrong TLD,vr.us,,?,,us,

