Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,wahington.edu,,?,,edu,
Character Omission,washigton.edu,,?,,edu,
Character Omission,washingon.edu,,?,,edu,
Character Omission,washingtn.edu,,?,,edu,
Character Omission,washingto.edu,,?,,edu,
Character Omission,washington.eu,109.106.167.8,EU,EUROPEAN UNION,postduif.natuurpark.nl,eu,
Character Omission,washinton.edu,,?,,edu,
Character Omission,washngton.edu,,?,,edu,
Character Omission,wasington.edu,,?,,edu,
Character Omission,wshington.edu,,?,,edu,
Character Repeat,waashington.edu,,?,,edu,
Character Repeat,washhington.edu,,?,,edu,
Character Repeat,washiington.edu,,?,,edu,
Character Repeat,washinggton.edu,,?,,edu,
Character Repeat,washingtonn.edu,,?,,edu,
Character Repeat,washingtoon.edu,,?,,edu,
Character Repeat,washingtton.edu,,?,,edu,
Character Repeat,washinngton.edu,,?,,edu,
Character Repeat,wasshington.edu,,?,,edu,
Character Repeat,wwashington.edu,,?,,edu,
Character Swap,awshington.edu,,?,,edu,
Character Swap,wahsington.edu,,?,,edu,
Character Swap,washignton.edu,,?,,edu,
Character Swap,washingotn.edu,,?,,edu,
Character Swap,washingtno.edu,,?,,edu,
Character Swap,washintgon.edu,,?,,edu,
Character Swap,washnigton.edu,,?,,edu,
Character Swap,wasihngton.edu,,?,,edu,
Character Swap,wsahington.edu,,?,,edu,
Character Replacement,eashington.edu,,?,,edu,
Character Replacement,qashington.edu,,?,,edu,
Character Replacement,waahington.edu,,?,,edu,
Character Replacement,wadhington.edu,,?,,edu,
Character Replacement,wasgington.edu,,?,,edu,
Character Replacement,washibgton.edu,,?,,edu,
Character Replacement,washimgton.edu,,?,,edu,
Character Replacement,washinfton.edu,,?,,edu,
Character Replacement,washingron.edu,,?,,edu,
Character Replacement,washingtin.edu,,?,,edu,
Character Replacement,washingtob.edu,,?,,edu,
Character Replacement,washingtom.edu,,?,,edu,
Character Replacement,washingtpn.edu,,?,,edu,
Character Replacement,washingyon.edu,,?,,edu,
Character Replacement,washinhton.edu,,?,,edu,
Character Replacement,washongton.edu,,?,,edu,
Character Replacement,washungton.edu,,?,,edu,
Character Replacement,wasjington.edu,,?,,edu,
Character Replacement,wsshington.edu,,?,,edu,
Character Insertion,wasahington.edu,,?,,edu,
Character Insertion,wasdhington.edu,,?,,edu,
Character Insertion,washgington.edu,,?,,edu,
Character Insertion,washinbgton.edu,,?,,edu,
Character Insertion,washingfton.edu,,?,,edu,
Character Insertion,washinghton.edu,,?,,edu,
Character Insertion,washingtoin.edu,,?,,edu,
Character Insertion,washingtonb.edu,,?,,edu,
Character Insertion,washingtonm.edu,,?,,edu,
Character Insertion,washingtopn.edu,,?,,edu,
Character Insertion,washingtron.edu,,?,,edu,
Character Insertion,washingtyon.edu,,?,,edu,
Character Insertion,washinmgton.edu,,?,,edu,
Character Insertion,washiongton.edu,,?,,edu,
Character Insertion,washiungton.edu,,?,,edu,
Character Insertion,washjington.edu,,?,,edu,
Character Insertion,weashington.edu,,?,,edu,
Character Insertion,wqashington.edu,,?,,edu,
Missing Dot,washingtonedu.com,199.191.50.73,,,com,
Missing Dot,wwwwashington.edu,,?,,edu,
Singular or Pluralise,washingtons.edu,,?,,edu,
Vowel Swap,washangton.edu,,?,,edu,
Vowel Swap,washengton.edu,,?,,edu,
Vowel Swap,washingtan.edu,,?,,edu,
Vowel Swap,washingten.edu,,?,,edu,
Vowel Swap,washingtun.edu,,?,,edu,
Vowel Swap,weshington.edu,,?,,edu,
Vowel Swap,wishington.edu,,?,,edu,
Vowel Swap,woshington.edu,,?,,edu,
Vowel Swap,wushington.edu,,?,,edu,
Homophones,washayengton.edu,,?,,edu,
Homophones,washeyengton.edu,,?,,edu,
Homophones,washighngton.edu,,?,,edu,
Homophones,washingtwon.edu,,?,,edu,
Bit Flipping,7ashington.edu,,?,,edu,
Bit Flipping,gashington.edu,,?,,edu,
Bit Flipping,sashington.edu,,?,,edu,
Bit Flipping,uashington.edu,,?,,edu,
Bit Flipping,vashington.edu,,?,,edu,
Bit Flipping,wa3hington.edu,,?,,edu,
Bit Flipping,wachington.edu,,?,,edu,
Bit Flipping,waqhington.edu,,?,,edu,
Bit Flipping,warhington.edu,,?,,edu,
Bit Flipping,washhngton.edu,,?,,edu,
Bit Flipping,washi.gton.edu,,?,,edu,
Bit Flipping,washifgton.edu,,?,,edu,
