Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,wahingtonpost.com,198.72.14.16,,,com,
Character Omission,washigtonpost.com,198.72.14.16,,,com,
Character Omission,washingonpost.com,192.64.147.196,,,com,
Character Omission,washingtnpost.com,72.52.4.120,US,UNITED STATES,localhost,com,
Character Omission,washingtonost.com,208.73.210.202,US,UNITED STATES,,com,
Character Omission,washingtonpos.com,198.72.14.16,,,com,
Character Omission,washingtonpost.cm,,?,,cm,
Character Omission,washingtonpot.com,144.76.1.130,DE,GERMANY,,com,
Character Omission,washingtonpst.com,72.52.4.120,US,UNITED STATES,localhost,com,
Character Omission,washingtopost.com,74.117.221.144,KY,CAYMAN ISLANDS,exmx2.directnic.com,com,
Character Omission,washintonpost.com,198.72.14.16,,,com,
Character Omission,washngtonpost.com,72.52.4.120,US,UNITED STATES,localhost,com,
Character Omission,wasingtonpost.com,198.72.14.16,,,com,
Character Omission,wshingtonpost.com,198.72.14.16,,,com,
Character Repeat,waashingtonpost.com,51.254.28.160,IN,INDIA,,com,
Character Repeat,washhingtonpost.com,54.72.11.253,CH,SWITZERLAND,mail.h-email.net,com,
Character Repeat,washiingtonpost.com,98.124.199.116,PL,POLAND,,com,
Character Repeat,washinggtonpost.com,185.53.178.7,,,com,
Character Repeat,washingtonnpost.com,198.72.14.16,,,com,
Character Repeat,washingtonpoost.com,103.224.212.226,,mx92.mb5p.com,com,
Character Repeat,washingtonposst.com,67.227.226.241,NL,NETHERLANDS,mx156.hostedmxserver.com,com,
Character Repeat,washingtonpostt.com,52.73.71.92,US,UNITED STATES,,com,
Character Repeat,washingtonppost.com,98.124.199.84,US,UNITED STATES,,com,
Character Repeat,washingtoonpost.com,67.227.226.241,H5,,mx156.hostedmxserver.com,com,
Character Repeat,washingttonpost.com,185.53.179.8,,mail.h-email.net,com,
Character Repeat,washinngtonpost.com,198.72.14.16,,,com,
Character Repeat,wasshingtonpost.com,98.124.199.18,US,UNITED STATES,,com,
Character Repeat,wwashingtonpost.com,198.72.14.16,,,com,
Character Swap,awshingtonpost.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Swap,wahsingtonpost.com,198.72.14.16,,,com,
Character Swap,washigntonpost.com,98.124.199.120,US,UNITED STATES,,com,
Character Swap,washingotnpost.com,141.8.224.25,CH,SWITZERLAND,,com,
Character Swap,washingtnopost.com,198.72.14.16,,,com,
Character Swap,washingtonopst.com,198.72.14.16,,,com,
Character Swap,washingtonpots.com,69.16.230.42,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Swap,washingtonpsot.com,198.72.14.16,,,com,
Character Swap,washingtopnost.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Swap,washintgonpost.com,51.254.28.162,GB,UNITED KINGDOM,,com,
Character Swap,washnigtonpost.com,72.52.4.120,US,UNITED STATES,localhost,com,
Character Swap,wasihngtonpost.com,,?,,com,
Character Swap,wsahingtonpost.com,103.224.182.251,,park-mx.above.com,com,
Character Replacement,eashingtonpost.com,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Replacement,qashingtonpost.com,72.52.4.119,US,UNITED STATES,localhost,com,
Character Replacement,waahingtonpost.com,141.8.224.183,CH,SWITZERLAND,,com,
Character Replacement,wadhingtonpost.com,103.224.182.243,,mx92.mb5p.com,com,
Character Replacement,wasgingtonpost.com,103.224.182.214,,mx92.mb5p.com,com,
Character Replacement,washibgtonpost.com,103.224.182.251,,mx92.mb5p.com,com,
Character Replacement,washimgtonpost.com,51.254.28.160,GB,UNITED KINGDOM,,com,
Character Replacement,washinftonpost.com,192.64.147.196,,,com,
Character Replacement,washingronpost.com,72.52.178.23,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Replacement,washingtinpost.com,208.73.210.202,RU,RUSSIAN FEDERATION,,com,
Character Replacement,washingtobpost.com,,?,,com,
Character Replacement,washingtompost.com,208.91.196.175,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Replacement,washingtonoost.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Replacement,washingtonpist.com,185.53.178.8,,mail.h-email.net,com,
Character Replacement,washingtonpoat.com,51.254.28.162,GB,UNITED KINGDOM,,com,
Character Replacement,washingtonpodt.com,95.211.117.215,NL,NETHERLANDS,,com,
Character Replacement,washingtonposr.com,185.53.178.9,,mail.h-email.net,com,
Character Replacement,washingtonposy.com,95.211.117.215,NL,NETHERLANDS,,com,
Character Replacement,washingtonppst.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Replacement,washingtpnpost.com,103.224.182.243,,mx92.mb5p.com,com,
