Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,wbex.com,151.101.50.25,RO,ROMANIA,mxa-001b1801.gslb.pphosted.com,com,
Character Omission,webe.com,,?,,com,
Character Omission,webex.cm,199.59.242.150,CN,CHINA,mx76.mb1p.com,cm,
Character Omission,webx.com,64.68.121.205,US,UNITED STATES,,com,
Character Omission,weex.com,50.63.202.17,US,UNITED STATES,,com,
Character Repeat,webbex.com,208.91.196.175,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Repeat,webeex.com,,?,,com,
Character Repeat,webexx.com,184.168.221.18,ES,SPAIN,mailstore1.secureserver.net,com,
Character Repeat,weebex.com,23.250.76.217,,,com,
Character Repeat,wwebex.com,103.224.212.226,,mx92.mb5p.com,com,
Character Swap,ewbex.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Swap,wbeex.com,162.215.252.78,,us2.mx2.mailhostbox.com,com,
Character Swap,webxe.com,69.172.201.153,D≥,,,com,
Character Swap,weebx.com,185.53.179.8,,mail.h-email.net,com,
Character Replacement,eebex.com,50.63.202.4,US,UNITED STATES,,com,
Character Replacement,qebex.com,69.172.201.153,US,UNITED STATES,,com,
Character Replacement,webec.com,,?,ext2.spscommerce.net,com,
Character Replacement,webez.com,67.225.164.209,US,UNITED STATES,asp.reflexion.net,com,
Character Replacement,webrx.com,12.13.211.113,US,UNITED STATES,,com,
Character Replacement,webwx.com,68.178.213.61,US,UNITED STATES,,com,
Character Replacement,wenex.com,184.168.221.31,US,UNITED STATES,smtp.secureserver.net,com,
Character Replacement,wevex.com,192.254.235.162,,wevex.com,com,
Character Replacement,wrbex.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Replacement,wwbex.com,141.8.224.239,CH,SWITZERLAND,,com,
Character Insertion,weberx.com,52.71.185.125,JP,JAPAN,,com,
Character Insertion,webewx.com,141.8.224.195,CA,CANADA,,com,
Character Insertion,webexc.com,174.143.45.98,US,UNITED STATES,mx2.emailsrvr.com,com,
Character Insertion,webexz.com,,?,,com,
Character Insertion,webnex.com,205.178.145.135,US,UNITED STATES,p.webcom.ctmail.com,com,
Character Insertion,webvex.com,204.11.56.48,,,com,
Character Insertion,werbex.com,66.45.246.141,ç,,,com,
Character Insertion,wewbex.com,69.162.80.53,US,UNITED STATES,,com,
Character Insertion,wqebex.com,,?,,com,
Missing Dot,webexcom.com,81.177.141.223,RU,RUSSIAN FEDERATION,emx.mail.ru,com,
Missing Dot,wwwwebex.com,141.8.224.93,CH,SWITZERLAND,,com,
Singular or Pluralise,webexes.com,,?,,com,
Vowel Swap,wabax.com,,?,,com,
Vowel Swap,wibix.com,209.99.64.44,US,UNITED STATES,,com,
Vowel Swap,wobox.com,103.27.109.156,,,com,
Vowel Swap,wubux.com,54.183.99.63,US,UNITED STATES,,com,
Bit Flipping,7ebex.com,,?,,com,
Bit Flipping,gebex.com,121.254.178.234,KR,KOREA REPUBLIC OF,,com,
Bit Flipping,sebex.com,72.52.4.119,NZ,NEW ZEALAND,localhost,com,
Bit Flipping,uebex.com,188.138.96.51,DE,GERMANY,mail.uebex.com,com,
Bit Flipping,vebex.com,184.168.221.96,US,UNITED STATES,0,com,
Bit Flipping,wabex.com,66.33.210.34,RO,ROMANIA,mx1.sub5.homie.mail.dreamhost.com,com,
Bit Flipping,wdbex.com,,?,,com,
Bit Flipping,webax.com,46.101.239.117,RU,RUSSIAN FEDERATION,mail.webax.com,com,
Bit Flipping,webdx.com,52.32.215.222,US,UNITED STATES,aspmx.l.google.com,com,
Bit Flipping,webe8.com,116.204.15.130,CN,CHINA,,com,
Bit Flipping,webeh.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,webep.com,,?,,com,
Bit Flipping,webey.com,162.251.86.187,,,com,
Bit Flipping,webgx.com,192.195.77.26,,mx01.1and1.com,com,
Bit Flipping,webmx.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Bit Flipping,webux.com,184.168.27.83,US,UNITED STATES,webux-com.mail.protection.outlook.com,com,
Bit Flipping,wecex.com,47.52.126.105,CA,CANADA,,com,
Bit Flipping,wefex.com,72.52.4.120,US,UNITED STATES,localhost,com,
Bit Flipping,wejex.com,52.73.71.92,US,UNITED STATES,,com,
Bit Flipping,werex.com,192.99.245.53,,werex.com,com,
Bit Flipping,wgbex.com,,?,,com,
Bit Flipping,wmbex.com,,?,,com,
Bit Flipping,wubex.com,216.104.165.94,US,UNITED STATES,mx2.daemonmail.net,com,
Homoglyphs,vvebex.com,,?,,com,
Wrong TLD,webex.ca,64.68.121.205,US,UNITED STATES,,ca,
Wrong TLD,webex.ch,205.144.171.156,US,UNITED STATES,igw05.site4now.net,ch,
Wrong TLD,webex.de,64.68.121.205,US,UNITED STATES,,de,
Wrong TLD,webex.edu,,?,,edu,
Wrong TLD,webex.es,64.68.121.205,US,UNITED STATES,,es,
Wrong TLD,webex.fr,64.68.121.205,US,UNITED STATES,,fr,
Wrong TLD,webex.it,46.28.2.43,IT,ITALY,mail.webex.it,it,
Wrong TLD,webex.jp,183.77.252.201,JP,JAPAN,,jp,
Wrong TLD,webex.net,209.250.78.44,US,UNITED STATES,mailgate1.webex.net,net,
Wrong TLD,webex.nl,64.68.121.205,US,UNITED STATES,webex.com.s8a2.psmtp.com,nl,
Wrong TLD,webex.no,216.239.36.21,US,UNITED STATES,,no,
Wrong TLD,webex.org,,?,,org,
Wrong TLD,webex.ru,,?,,ru,
Wrong TLD,webex.se,46.30.213.73,DK,DENMARK,mxcluster1.one.com,se,
Wrong TLD,webex.us,209.250.78.19,US,UNITED STATES,,us,

