Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,wesernunion.com,109.201.135.34,NL,NETHERLANDS,,com,
Character Omission,westenunion.com,208.73.211.165,ES,SPAIN,,com,
Character Omission,westernnion.com,109.201.135.34,CA,CANADA,,com,
Character Omission,westernuion.com,103.224.182.212,,,com,
Character Omission,westernunin.com,109.201.135.34,NL,NETHERLANDS,,com,
Character Omission,westernunio.com,109.201.135.34,US,UNITED STATES,,com,
Character Omission,westernunion.cm,103.224.182.243,,mx92.mb5p.com,cm,
Character Omission,westernunon.com,103.224.182.238,,mx92.m1bp.com,com,
Character Omission,westerunion.com,,?,,com,
Character Omission,westrnunion.com,109.201.135.34,US,UNITED STATES,,com,
Character Omission,weternunion.com,69.162.80.56,US,UNITED STATES,,com,
Character Omission,wsternunion.com,158.69.225.39,US,UNITED STATES,,com,
Character Repeat,weesternunion.com,185.53.178.7,,,com,
Character Repeat,wessternunion.com,103.224.182.251,,mx92.m1bp.com,com,
Character Repeat,westeernunion.com,54.246.80.42,US,UNITED STATES,,com,
Character Repeat,westernnunion.com,203.78.142.12,IN,INDIA,,com,
Character Repeat,westernuniion.com,103.224.182.214,,mx92.m1bp.com,com,
Character Repeat,westernunionn.com,67.227.226.241,ID,INDONESIA,mx156.hostedmxserver.com,com,
Character Repeat,westernunioon.com,54.246.80.42,IN,INDIA,,com,
Character Repeat,westernunnion.com,192.184.12.62,,mx92.mb5p.com,com,
Character Repeat,westernuunion.com,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Repeat,westerrnunion.com,67.227.226.241,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Repeat,westternunion.com,103.224.182.251,,mx92.mb5p.com,com,
Character Repeat,wwesternunion.com,103.224.182.251,,mx92.mb5p.com,com,
Character Swap,ewsternunion.com,,?,,com,
Character Swap,wesetrnunion.com,,?,,com,
Character Swap,westenrunion.com,103.224.182.251,,park-mx.above.com,com,
Character Swap,westernnuion.com,208.91.196.113,VG,VIRGIN ISLANDS (BRITISH),mail.b-io.co,com,
Character Swap,westernuinon.com,103.224.182.238,,park-mx.above.com,com,
Character Swap,westernunino.com,103.224.182.251,,mx92.m1bp.com,com,
Character Swap,westernunoin.com,,?,,com,
Character Swap,westerunnion.com,185.53.178.7,,mail.h-email.net,com,
Character Swap,westrenunion.com,69.162.80.53,US,UNITED STATES,,com,
Character Swap,wetsernunion.com,103.224.182.238,,mx92.m1bp.com,com,
Character Swap,wseternunion.com,103.224.182.251,,mx92.m1bp.com,com,
Character Replacement,eesternunion.com,103.224.182.253,,mx92.m1bp.com,com,
Character Replacement,qesternunion.com,,?,,com,
Character Replacement,weaternunion.com,208.91.196.68,GB,UNITED KINGDOM,,com,
Character Replacement,wedternunion.com,199.115.115.116,US,UNITED STATES,,com,
Character Replacement,wesrernunion.com,103.224.182.250,,mx92.mb5p.com,com,
Character Replacement,westeenunion.com,158.69.143.113,US,UNITED STATES,,com,
Character Replacement,westerbunion.com,103.224.182.239,,park-mx.above.com,com,
Character Replacement,westermunion.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Replacement,westerninion.com,109.201.135.34,NL,NETHERLANDS,,com,
Character Replacement,westernubion.com,103.224.182.253,,mx92.m1bp.com,com,
Character Replacement,westernumion.com,185.53.178.9,,mail.h-email.net,com,
Character Replacement,westernuniin.com,198.50.233.234,,,com,
Character Replacement,westernuniob.com,199.115.115.116,US,UNITED STATES,,com,
Character Replacement,westernuniom.com,72.52.4.120,PH,PHILIPPINES,localhost,com,
Character Replacement,westernunipn.com,,?,,com,
Character Replacement,westernunoon.com,172.107.8.68,,,com,
Character Replacement,westernunuon.com,103.224.182.251,,mx92.mb5p.com,com,
Character Replacement,westernynion.com,95.211.117.215,«s,,,com,
Character Replacement,westetnunion.com,158.69.143.112,US,UNITED STATES,,com,
Character Replacement,westrrnunion.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Replacement,westwrnunion.com,103.224.182.251,,mx92.m1bp.com,com,
Character Replacement,wesyernunion.com,69.162.80.54,US,UNITED STATES,,com,
Character Replacement,wrsternunion.com,184.168.221.104,US,UNITED STATES,,com,
Character Replacement,wwsternunion.com,,?,,com,
Character Insertion,wersternunion.com,109.201.135.34,NL,NETHERLANDS,,com,
Character Insertion,wesaternunion.com,,?,,com,
Character Insertion,wesdternunion.com,,?,,com,
Character Insertion,westerenunion.com,,?,,com,
Character Insertion,westernbunion.com,,?,,com,
Character Insertion,westernmunion.com,,?,,com,
Character Insertion,westernuinion.com,158.69.225.39,US,UNITED STATES,,com,
Character Insertion,westernunbion.com,,?,,com,
Character Insertion,westernunioin.com,103.224.182.214,,mx92.m1bp.com,com,
Character Insertion,westernunionb.com,,?,,com,
Character Insertion,westernunionm.com,,?,,com,
Character Insertion,westernuniopn.com,,?,,com,
Character Insertion,westernuniuon.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Insertion,westernunmion.com,,?,,com,
Character Insertion,westernuynion.com,,?,,com,
Character Insertion,westertnunion.com,,?,,com,
Character Insertion,westewrnunion.com,,?,,com,
Character Insertion,westrernunion.com,103.224.182.214,,mx92.mb5p.com,com,
Character Insertion,westyernunion.com,,?,,com,
Character Insertion,wewsternunion.com,158.69.143.112,US,UNITED STATES,,com,
