Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,wh.int,,?,,int,
Character Omission,who.in,199.59.242.150,CN,CHINA,mx76.m2bp.com,in,
Character Omission,who.it,,?,,it,
Character Omission,wo.int,,?,,int,
Character Repeat,whho.int,,?,,int,
Character Repeat,whoo.int,,?,,int,
Character Repeat,wwho.int,,?,,int,
Character Swap,hwo.int,,?,,int,
Character Swap,woh.int,,?,,int,
Character Replacement,eho.int,,?,,int,
Character Replacement,qho.int,,?,,int,
Character Replacement,wgo.int,,?,,int,
Character Replacement,whi.int,,?,,int,
Character Replacement,whp.int,,?,,int,
Character Replacement,wjo.int,,?,,int,
Character Insertion,weho.int,,?,,int,
Character Insertion,whgo.int,,?,,int,
Character Insertion,whjo.int,,?,,int,
Character Insertion,whoi.int,,?,,int,
Character Insertion,whop.int,,?,,int,
Character Insertion,wqho.int,,?,,int,
Missing Dot,whoint.com,67.55.92.183,US,UNITED STATES,mx7.whoint.com,com,
Missing Dot,wwwwho.int,,?,,int,
Singular or Pluralise,whos.int,,?,,int,
Vowel Swap,wha.int,,?,,int,
Vowel Swap,whe.int,,?,,int,
Vowel Swap,whu.int,,?,,int,
Homophones,whoe.int,,?,,int,
Bit Flipping,7ho.int,,?,,int,
Bit Flipping,gho.int,,?,,int,
Bit Flipping,sho.int,,?,,int,
Bit Flipping,uho.int,,?,,int,
Bit Flipping,vho.int,,?,,int,
Bit Flipping,whg.int,,?,,int,
Bit Flipping,whk.int,,?,,int,
Bit Flipping,whm.int,,?,,int,
Bit Flipping,whn.int,,?,,int,
Bit Flipping,wio.int,,?,,int,
Bit Flipping,wlo.int,,?,,int,
Bit Flipping,wxo.int,,?,,int,
Homoglyphs,vvho.int,,?,,int,
Homoglyphs,wh0.int,,?,,int,
Wrong TLD,who.ca,54.221.207.100,US,UNITED STATES,mx94.mb1p.com,ca,
Wrong TLD,who.ch,,?,,ch,
Wrong TLD,who.com,52.95.131.35,US,UNITED STATES,au-smtp-inbound-1.mimecast.com,com,
Wrong TLD,who.de,217.160.223.78,DE,GERMANY,mx01.kundenserver.de,de,
Wrong TLD,who.edu,,?,,edu,
Wrong TLD,who.es,,?,,es,
Wrong TLD,who.fr,72.52.4.120,US,UNITED STATES,localhost,fr,
Wrong TLD,who.jp,202.181.99.55,JP,JAPAN,who.jp,jp,
Wrong TLD,who.net,141.8.224.143,CH,SWITZERLAND,mx00.mail.com,net,
Wrong TLD,who.nl,212.204.243.14,NL,NETHERLANDS,,nl,
Wrong TLD,who.no,89.221.243.251,SE,SWEDEN,who.no,no,
Wrong TLD,who.org,,?,,org,
Wrong TLD,who.ru,31.177.67.124,RU,RUSSIAN FEDERATION,,ru,
Wrong TLD,who.se,,?,,se,
Wrong TLD,who.us,69.172.201.153,DE,GERMANY,,us,

