Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,wikionary.org,103.224.212.222,,mx92.m1bp.com,org,
Character Omission,wiktinary.org,,?,,org,
Character Omission,wiktioary.org,50.63.202.84,US,UNITED STATES,mailstore1.secureserver.net,org,
Character Omission,wiktionar.org,192.184.12.62,,mx92.m1bp.com,org,
Character Omission,wiktionay.org,,?,,org,
Character Omission,wiktionry.org,,?,,org,
Character Omission,wiktonary.org,184.168.221.93,US,UNITED STATES,mailstore1.secureserver.net,org,
Character Omission,witionary.org,104.28.9.200,,,org,
Character Omission,wktionary.org,,?,,org,
Character Repeat,wiiktionary.org,,?,,org,
Character Repeat,wikktionary.org,,?,,org,
Character Repeat,wiktiionary.org,,?,,org,
Character Repeat,wiktionaary.org,,?,,org,
Character Repeat,wiktionarry.org,,?,,org,
Character Repeat,wiktionaryy.org,,?,,org,
Character Repeat,wiktionnary.org,208.91.196.152,VG,VIRGIN ISLANDS (BRITISH),,org,
Character Repeat,wiktioonary.org,,?,,org,
Character Repeat,wikttionary.org,,?,,org,
Character Repeat,wwiktionary.org,,?,,org,
Character Swap,iwktionary.org,,?,,org,
Character Swap,wikitonary.org,,?,,org,
Character Swap,wiktinoary.org,,?,,org,
Character Swap,wiktioanry.org,,?,,org,
Character Swap,wiktionayr.org,,?,,org,
Character Swap,wiktionray.org,,?,,org,
Character Swap,wiktoinary.org,50.63.202.76,2@,,mailstore1.secureserver.net,org,
Character Swap,witkionary.org,192.184.12.62,,park-mx.above.com,org,
Character Swap,wkitionary.org,,?,,org,
Character Replacement,eiktionary.org,,?,,org,
Character Replacement,qiktionary.org,,?,,org,
Character Replacement,wijtionary.org,,?,,org,
Character Replacement,wikrionary.org,,?,,org,
Character Replacement,wiktiinary.org,,?,,org,
Character Replacement,wiktiobary.org,,?,,org,
Character Replacement,wiktiomary.org,,?,,org,
Character Replacement,wiktionaey.org,,?,,org,
Character Replacement,wiktionart.org,,?,,org,
Character Replacement,wiktionaru.org,,?,,org,
Character Replacement,wiktionaty.org,,?,,org,
Character Replacement,wiktionsry.org,,?,,org,
Character Replacement,wiktipnary.org,,?,,org,
Character Replacement,wiktoonary.org,,?,,org,
Character Replacement,wiktuonary.org,,?,,org,
Character Replacement,wikyionary.org,,?,,org,
Character Replacement,wiltionary.org,,?,,org,
Character Replacement,woktionary.org,,?,,org,
Character Replacement,wuktionary.org,,?,,org,
Character Insertion,weiktionary.org,,?,,org,
Character Insertion,wikjtionary.org,,?,,org,
Character Insertion,wikltionary.org,,?,,org,
Character Insertion,wiktioinary.org,,?,,org,
Character Insertion,wiktionarey.org,185.53.178.9,,mail.h-email.net,org,
Character Insertion,wiktionarty.org,,?,,org,
Character Insertion,wiktionaryt.org,,?,,org,
Character Insertion,wiktionaryu.org,,?,,org,
Character Insertion,wiktionasry.org,,?,,org,
Character Insertion,wiktionbary.org,,?,,org,
Character Insertion,wiktionmary.org,,?,,org,
Character Insertion,wiktiopnary.org,,?,,org,
Character Insertion,wiktiuonary.org,,?,,org,
Character Insertion,wiktrionary.org,,?,,org,
Character Insertion,wiktyionary.org,,?,,org,
Character Insertion,wioktionary.org,,?,,org,
Character Insertion,wiuktionary.org,,?,,org,
Character Insertion,wqiktionary.org,,?,,org,
Missing Dot,wiktionaryorg.com,,?,,com,
Missing Dot,wwwwiktionary.org,192.64.119.87,,eforward3.registrar-servers.com,org,
Singular or Pluralise,wiktionaries.org,,?,,org,
Vowel Swap,waktaonary.org,,?,,org,
Vowel Swap,wekteonary.org,,?,,org,
Vowel Swap,wiktionery.org,185.53.178.7,,mail.h-email.net,org,
Vowel Swap,wiktioniry.org,,?,,org,
Vowel Swap,wiktionory.org,,?,,org,
Vowel Swap,wiktionury.org,,?,,org,
Vowel Swap,woktoonary.org,,?,,org,
Vowel Swap,wuktuonary.org,,?,,org,
Homophones,wayektayeonary.org,,?,,org,
Homophones,weyekteyeonary.org,,?,,org,
Bit Flipping,7iktionary.org,,?,,org,
Bit Flipping,giktionary.org,,?,,org,
Bit Flipping,siktionary.org,,?,,org,
Bit Flipping,uiktionary.org,,?,,org,
Bit Flipping,viktionary.org,,?,,org,
Bit Flipping,waktionary.org,,?,,org,
Bit Flipping,whktionary.org,,?,,org,
Bit Flipping,wictionary.org,209.15.13.134,US,UNITED STATES,mail.b-io.co,org,
Bit Flipping,wiitionary.org,,?,,org,
Bit Flipping,wik4ionary.org,,?,,org,
Bit Flipping,wikdionary.org,,?,,org,
Bit Flipping,wikpionary.org,,?,,org,
Bit Flipping,wiktaonary.org,,?,,org,
Bit Flipping,wikthonary.org,,?,,org,
Bit Flipping,wiktignary.org,,?,,org,
Bit Flipping,wiktiknary.org,,?,,org,
Bit Flipping,wiktimnary.org,,?,,org,
Bit Flipping,wiktinnary.org,,?,,org,
Bit Flipping,wiktio.ary.org,,?,,org,
Bit Flipping,wiktiofary.org,,?,,org,
Bit Flipping,wiktiojary.org,,?,,org,
Bit Flipping,wiktiolary.org,,?,,org,
Bit Flipping,wiktiona2y.org,,?,,org,
Bit Flipping,wiktionaby.org,,?,,org,
Bit Flipping,wiktionapy.org,,?,,org,
Bit Flipping,wiktionar9.org,,?,,org,
Bit Flipping,wiktionari.org,,?,,org,
Bit Flipping,wiktionarq.org,,?,,org,
Bit Flipping,wiktionarx.org,,?,,org,
Bit Flipping,wiktionasy.org,,?,,org,
Bit Flipping,wiktionavy.org,,?,,org,
Bit Flipping,wiktionazy.org,,?,,org,
Bit Flipping,wiktioncry.org,,?,,org,
Bit Flipping,wiktionqry.org,,?,,org,
Bit Flipping,wiktiooary.org,,?,,org,
Bit Flipping,wiktkonary.org,,?,,org,
Bit Flipping,wiktmonary.org,,?,,org,
Bit Flipping,wiktyonary.org,,?,,org,
Bit Flipping,wikuionary.org,,?,,org,
Bit Flipping,wikvionary.org,,?,,org,
Bit Flipping,wiotionary.org,,?,,org,
Bit Flipping,wkktionary.org,,?,,org,
Bit Flipping,wmktionary.org,,?,,org,
Bit Flipping,wyktionary.org,,?,,org,
Homoglyphs,vviktionary.org,,?,,org,
Homoglyphs,wikti0nary.org,,?,,org,
Homoglyphs,wiktlonary.org,,?,,org,
Homoglyphs,wlktionary.org,,?,,org,
Homoglyphs,wlktlonary.org,,?,,org,
Wrong TLD,wiktionary.ca,,?,,ca,
Wrong TLD,wiktionary.ch,185.89.196.105,,,ch,
Wrong TLD,wiktionary.com,208.80.154.224,US,UNITED STATES,mx1001.wikimedia.org,com,
Wrong TLD,wiktionary.de,134.255.240.58,DE,GERMANY,mx1.securemail.name,de,
Wrong TLD,wiktionary.edu,,?,,edu,
Wrong TLD,wiktionary.es,,?,,es,
Wrong TLD,wiktionary.fr,217.70.184.38,FR,FRANCE,,fr,
Wrong TLD,wiktionary.it,217.12.160.28,IT,ITALY,wiktionary.it,it,
Wrong TLD,wiktionary.jp,,?,,jp,
Wrong TLD,wiktionary.net,,?,,net,
Wrong TLD,wiktionary.nl,,?,,nl,
Wrong TLD,wiktionary.no,194.63.248.52,US,UNITED STATES,,no,
Wrong TLD,wiktionary.ru,,?,,ru,
Wrong TLD,wiktionary.se,185.53.178.7,,mail.h-email.net,se,
Wrong TLD,wiktionary.us,,?,,us,

