Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,wiards.com,104.24.117.192,,wiards-com.mail.protection.outlook.com,com,
Character Omission,wizads.com,52.23.4.114,US,UNITED STATES,wizads.com,com,
Character Omission,wizard.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Omission,wizards.cm,,?,,cm,
Character Omission,wizars.com,67.227.226.241,KR,KOREA REPUBLIC OF,mx174.mb5p.com,com,
Character Omission,wizrds.com,52.71.185.125,US,UNITED STATES,,com,
Character Omission,wzards.com,103.224.182.247,,mx92.m1bp.com,com,
Character Repeat,wiizards.com,,?,,com,
Character Repeat,wizaards.com,,?,,com,
Character Repeat,wizardds.com,,?,,com,
Character Repeat,wizardss.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Character Repeat,wizarrds.com,,?,,com,
Character Repeat,wizzards.com,69.172.201.153,US,UNITED STATES,,com,
Character Repeat,wwizards.com,52.71.185.125,US,UNITED STATES,,com,
Character Swap,iwzards.com,,?,,com,
Character Swap,wiazrds.com,,?,,com,
Character Swap,wizadrs.com,,?,,com,
Character Swap,wizarsd.com,,?,,com,
Character Swap,wizrads.com,103.224.182.243,,mx92.m1bp.com,com,
Character Swap,wziards.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Replacement,eizards.com,,?,,com,
Character Replacement,qizards.com,,?,,com,
Character Replacement,wixards.com,,?,,com,
Character Replacement,wizaeds.com,184.168.221.104,Ä),,,com,
Character Replacement,wizarda.com,54.183.99.63,E­,,,com,
Character Replacement,wizardd.com,54.183.99.63,US,UNITED STATES,,com,
Character Replacement,wizarfs.com,,?,,com,
Character Replacement,wizarss.com,,?,,com,
Character Replacement,wizatds.com,,?,,com,
Character Replacement,wizsrds.com,,?,,com,
Character Replacement,wozards.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Replacement,wuzards.com,,?,,com,
Character Insertion,weizards.com,,?,,com,
Character Insertion,wiozards.com,,?,,com,
Character Insertion,wiuzards.com,,?,,com,
Character Insertion,wizardfs.com,,?,,com,
Character Insertion,wizardsa.com,,?,,com,
Character Insertion,wizardsd.com,,?,,com,
Character Insertion,wizareds.com,,?,,com,
Character Insertion,wizartds.com,,?,,com,
Character Insertion,wizasrds.com,,?,,com,
Character Insertion,wizxards.com,,?,,com,
Character Insertion,wqizards.com,,?,,com,
Missing Dot,wizardscom.com,,?,,com,
Missing Dot,wwwwizards.com,209.15.13.134,Bß,,mail.b-io.co,com,
Vowel Swap,wazards.com,,?,,com,
Vowel Swap,wezards.com,66.221.117.28,Ø¢,,wezards.com,com,
Vowel Swap,wizerds.com,216.157.88.21,US,UNITED STATES,,com,
Vowel Swap,wizirds.com,67.227.226.241,CA,CANADA,mx174.mb5p.com,com,
Vowel Swap,wizords.com,52.73.71.92,PR,PUERTO RICO,,com,
Vowel Swap,wizurds.com,,?,,com,
Homophones,wayezards.com,,?,,com,
Homophones,weyezards.com,,?,,com,
Bit Flipping,7izards.com,,?,,com,
Bit Flipping,gizards.com,,?,,com,
Bit Flipping,sizards.com,,?,,com,
Bit Flipping,uizards.com,184.168.221.45,US,UNITED STATES,mailstore1.secureserver.net,com,
Bit Flipping,vizards.com,,?,,com,
Bit Flipping,whzards.com,,?,,com,
Bit Flipping,wijards.com,,?,,com,
Bit Flipping,wirards.com,,?,,com,
Bit Flipping,wiza2ds.com,,?,,com,
Bit Flipping,wizabds.com,,?,,com,
Bit Flipping,wizapds.com,,?,,com,
Bit Flipping,wizard3.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,wizardc.com,196.41.130.142,ZA,SOUTH AFRICA,corpmx.worldonline.co.za,com,
Bit Flipping,wizardq.com,,?,,com,
Bit Flipping,wizardr.com,46.23.69.44,GB,UNITED KINGDOM,mx.wizardr.com.cust.a.hostedemail.com,com,
Bit Flipping,wizardw.com,,?,,com,
Bit Flipping,wizares.com,,?,,com,
Bit Flipping,wizarls.com,,?,,com,
Bit Flipping,wizarts.com,172.217.9.211,US,UNITED STATES,,com,
Bit Flipping,wizasds.com,,?,,com,
Bit Flipping,wizavds.com,,?,,com,
Bit Flipping,wizazds.com,,?,,com,
Bit Flipping,wizcrds.com,,?,,com,
Bit Flipping,wizqrds.com,,?,,com,
Bit Flipping,wkzards.com,,?,,com,
Bit Flipping,wmzards.com,,?,,com,
Bit Flipping,wyzards.com,50.63.202.37,US,UNITED STATES,mailstore1.secureserver.net,com,
Homoglyphs,vvizards.com,,?,,com,
Homoglyphs,wizarcls.com,,?,,com,
Homoglyphs,wlzards.com,,?,,com,
Wrong TLD,wizards.ca,205.207.27.65,CA,CANADA,mail1.amalgamatedservices.com,ca,
Wrong TLD,wizards.ch,217.70.186.113,FR,FRANCE,mta-gw.infomaniak.ch,ch,
Wrong TLD,wizards.de,78.47.191.98,DK,DENMARK,mail.wizards.de,de,
Wrong TLD,wizards.edu,,?,,edu,
