Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,woldbank.org,208.91.196.152,VG,VIRGIN ISLANDS (BRITISH),,org,
Character Omission,wordbank.org,207.244.67.214,AR,ARGENTINA,,org,
Character Omission,worlbank.org,209.126.123.13,US,UNITED STATES,,org,
Character Omission,worldank.org,216.157.88.24,US,UNITED STATES,,org,
Character Omission,worldbak.org,185.53.178.9,,mail.h-email.net,org,
Character Omission,worldban.org,192.64.147.196,,,org,
Character Omission,worldbnk.org,,?,,org,
Character Omission,wrldbank.org,199.59.242.150,CN,CHINA,mx76.m2bp.com,org,
Character Repeat,woorldbank.org,,?,,org,
Character Repeat,worldbaank.org,,?,,org,
Character Repeat,worldbankk.org,,?,,org,
Character Repeat,worldbannk.org,,?,,org,
Character Repeat,worldbbank.org,,?,,org,
Character Repeat,worlddbank.org,,?,,org,
Character Repeat,worlldbank.org,,?,,org,
Character Repeat,worrldbank.org,199.59.242.150,CN,CHINA,mx76.mb1p.com,org,
Character Repeat,wworldbank.org,,?,,org,
Character Swap,owrldbank.org,,?,,org,
Character Swap,wolrdbank.org,69.162.80.60,UA,UKRAINE,,org,
Character Swap,wordlbank.org,208.91.196.152,VG,VIRGIN ISLANDS (BRITISH),,org,
Character Swap,worlbdank.org,,?,,org,
Character Swap,worldabnk.org,,?,,org,
Character Swap,worldbakn.org,,?,,org,
Character Swap,worldbnak.org,,?,,org,
Character Swap,wroldbank.org,172.107.8.82,,,org,
Character Replacement,eorldbank.org,,?,,org,
Character Replacement,qorldbank.org,,?,,org,
Character Replacement,wirldbank.org,,?,,org,
Character Replacement,woeldbank.org,,?,,org,
Character Replacement,workdbank.org,,?,,org,
Character Replacement,worldbabk.org,,?,,org,
Character Replacement,worldbamk.org,185.53.178.7,,mail.h-email.net,org,
Character Replacement,worldbanj.org,,?,,org,
Character Replacement,worldbanl.org,,?,,org,
Character Replacement,worldbsnk.org,,?,,org,
Character Replacement,worldnank.org,69.64.147.242,US,UNITED STATES,mail.b-io.co,org,
Character Replacement,worldvank.org,,?,,org,
Character Replacement,worlfbank.org,,?,,org,
Character Replacement,worlsbank.org,,?,,org,
Character Replacement,wotldbank.org,,?,,org,
Character Replacement,wprldbank.org,,?,,org,
Character Insertion,weorldbank.org,,?,,org,
Character Insertion,woirldbank.org,,?,,org,
Character Insertion,woprldbank.org,,?,,org,
Character Insertion,woreldbank.org,,?,,org,
Character Insertion,worldbanbk.org,,?,,org,
Character Insertion,worldbankj.org,,?,,org,
Character Insertion,worldbankl.org,,?,,org,
Character Insertion,worldbanmk.org,,?,,org,
Character Insertion,worldbasnk.org,,?,,org,
Character Insertion,worldbnank.org,,?,,org,
Character Insertion,worldbvank.org,,?,,org,
Character Insertion,worldfbank.org,,?,,org,
Character Insertion,worldsbank.org,50.63.202.43,CA,CANADA,smtp.secureserver.net,org,
Character Insertion,worlkdbank.org,,?,,org,
Character Insertion,wortldbank.org,,?,,org,
Character Insertion,wqorldbank.org,,?,,org,
Missing Dot,worldbankorg.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Missing Dot,wwwworldbank.org,67.227.226.241,US,UNITED STATES,mx156.hostedmxserver.com,org,
Singular or Pluralise,worldbanks.org,69.172.201.153,US,UNITED STATES,,org,
Vowel Swap,worldbenk.org,,?,,org,
Vowel Swap,worldbink.org,,?,,org,
Vowel Swap,worldbonk.org,,?,,org,
Vowel Swap,worldbunk.org,188.64.185.63,GB,UNITED KINGDOM,worldbunk.org,org,
Homophones,whirledbank.org,64.13.232.143,US,UNITED STATES,mail.whirledbank.org,org,
Bit Flipping,7orldbank.org,,?,,org,
Bit Flipping,gorldbank.org,,?,,org,
Bit Flipping,sorldbank.org,,?,,org,
Bit Flipping,uorldbank.org,,?,,org,
Bit Flipping,vorldbank.org,,?,,org,
Bit Flipping,wgrldbank.org,,?,,org,
Bit Flipping,wkrldbank.org,,?,,org,
Bit Flipping,wmrldbank.org,,?,,org,
Bit Flipping,wnrldbank.org,,?,,org,
Bit Flipping,wo2ldbank.org,,?,,org,
Bit Flipping,wobldbank.org,,?,,org,
Bit Flipping,wopldbank.org,,?,,org,
Bit Flipping,worddbank.org,,?,,org,
Bit Flipping,worhdbank.org,,?,,org,
Bit Flipping,worldba.k.org,50.63.46.1,US,UNITED STATES,,org,
Bit Flipping,worldbafk.org,,?,,org,
Bit Flipping,worldbajk.org,,?,,org,
Bit Flipping,worldbalk.org,,?,,org,
Bit Flipping,worldbanc.org,69.172.201.153,US,UNITED STATES,,org,
Bit Flipping,worldbani.org,,?,,org,
Bit Flipping,worldbano.org,,?,,org,
Bit Flipping,worldbaok.org,,?,,org,
Bit Flipping,worldbcnk.org,,?,,org,
Bit Flipping,worldbqnk.org,,?,,org,
Bit Flipping,worldcank.org,,?,,org,
Bit Flipping,worldfank.org,,?,,org,
Bit Flipping,worldjank.org,,?,,org,
Bit Flipping,worldrank.org,,?,,org,
Bit Flipping,worlebank.org,,?,,org,
Bit Flipping,worllbank.org,,?,,org,
Bit Flipping,worltbank.org,,?,,org,
Bit Flipping,wormdbank.org,,?,,org,
Bit Flipping,worndbank.org,,?,,org,
Bit Flipping,wosldbank.org,,?,,org,
Bit Flipping,wovldbank.org,,?,,org,
Bit Flipping,wozldbank.org,,?,,org,
Homoglyphs,vvorldbank.org,,?,,org,
Homoglyphs,w0rldbank.org,,?,,org,
Homoglyphs,wor1dbank.org,,?,,org,
Homoglyphs,worlclbank.org,,?,,org,
Wrong TLD,worldbank.ca,,?,,ca,
Wrong TLD,worldbank.ch,185.53.179.7,,mail.h-email.net,ch,
Wrong TLD,worldbank.com,54.86.194.156,IL,ISRAEL,wbapiron01.worldbank.org,com,
Wrong TLD,worldbank.de,185.53.178.7,,,de,
Wrong TLD,worldbank.edu,,?,,edu,
Wrong TLD,worldbank.es,,?,,es,
Wrong TLD,worldbank.fr,72.52.4.120,US,UNITED STATES,localhost,fr,
Wrong TLD,worldbank.it,185.53.178.7,,mail.h-email.net,it,
Wrong TLD,worldbank.jp,,?,,jp,
Wrong TLD,worldbank.net,199.59.242.150,CN,CHINA,mx76.mb1p.com,net,
Wrong TLD,worldbank.nl,37.97.135.129,RO,ROMANIA,mx186.m2bp.com,nl,
Wrong TLD,worldbank.no,,?,,no,
Wrong TLD,worldbank.ru,90.156.201.98,RU,RUSSIAN FEDERATION,,ru,
Wrong TLD,worldbank.se,184.168.221.58,US,UNITED STATES,smtp.secureserver.net,se,
Wrong TLD,worldbank.us,50.63.202.6,US,UNITED STATES,smtp.secureserver.net,us,

