Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,woldofwarcraft.com,209.99.64.18,US,UNITED STATES,,com,
Character Omission,wordofwarcraft.com,,?,,com,
Character Omission,worldfwarcraft.com,,?,,com,
Character Omission,worldofarcraft.com,,?,,com,
Character Omission,worldofwacraft.com,72.52.4.120,US,UNITED STATES,localhost,com,
Character Omission,worldofwarcaft.com,158.69.143.112,US,UNITED STATES,,com,
Character Omission,worldofwarcraf.com,69.162.80.56,US,UNITED STATES,,com,
Character Omission,worldofwarcraft.cm,,?,,cm,
Character Omission,worldofwarcrat.com,199.191.50.73,,,com,
Character Omission,worldofwarcrft.com,208.91.196.175,CA,CANADA,,com,
Character Omission,worldofwarraft.com,81.171.22.5,NL,NETHERLANDS,,com,
Character Omission,worldofwrcraft.com,199.191.50.73,,,com,
Character Omission,worldowarcraft.com,216.157.88.24,US,UNITED STATES,,com,
Character Omission,worlofwarcraft.com,,?,,com,
Character Omission,wrldofwarcraft.com,104.151.209.190,,,com,
Character Repeat,woorldofwarcraft.com,,?,,com,
Character Repeat,worlddofwarcraft.com,,?,,com,
Character Repeat,worldoffwarcraft.com,,?,,com,
Character Repeat,worldofwaarcraft.com,,?,,com,
Character Repeat,worldofwarccraft.com,,?,,com,
Character Repeat,worldofwarcraaft.com,,?,,com,
Character Repeat,worldofwarcrafft.com,,?,,com,
Character Repeat,worldofwarcraftt.com,,?,,com,
Character Repeat,worldofwarcrraft.com,,?,,com,
Character Repeat,worldofwarrcraft.com,,?,,com,
Character Repeat,worldofwwarcraft.com,,?,,com,
Character Repeat,worldoofwarcraft.com,,?,,com,
Character Repeat,worlldofwarcraft.com,,?,,com,
Character Repeat,worrldofwarcraft.com,,?,,com,
Character Repeat,wworldofwarcraft.com,,?,,com,
Character Swap,owrldofwarcraft.com,,?,,com,
Character Swap,wolrdofwarcraft.com,69.162.80.54,US,UNITED STATES,,com,
Character Swap,wordlofwarcraft.com,199.191.50.73,,,com,
Character Swap,worldfowarcraft.com,,?,,com,
Character Swap,worldofawrcraft.com,,?,,com,
Character Swap,worldofwacrraft.com,,?,,com,
Character Swap,worldofwarcarft.com,103.224.212.222,,mx92.mb5p.com,com,
Character Swap,worldofwarcratf.com,54.217.222.113,US,UNITED STATES,mail.h-email.net,com,
Character Swap,worldofwarcrfat.com,,?,,com,
Character Swap,worldofwarrcaft.com,,?,,com,
Character Swap,worldofwracraft.com,103.224.182.248,,mx92.m1bp.com,com,
Character Swap,worldowfarcraft.com,,?,,com,
Character Swap,worlodfwarcraft.com,,?,,com,
Character Swap,wroldofwarcraft.com,,?,,com,
Character Replacement,eorldofwarcraft.com,,?,,com,
Character Replacement,qorldofwarcraft.com,,?,,com,
Character Replacement,wirldofwarcraft.com,,?,,com,
Character Replacement,woeldofwarcraft.com,,?,,com,
Character Replacement,workdofwarcraft.com,103.224.212.222,,mx92.mb5p.com,com,
Character Replacement,worldifwarcraft.com,,?,,com,
