Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,x.com,160.153.63.10,US,UNITED STATES,,com,
Character Omission,xe.cm,199.59.242.150,CN,CHINA,mx76.m2bp.com,cm,
Character Repeat,xee.com,66.155.18.248,US,UNITED STATES,aspmx3.googlemail.com,com,
Character Repeat,xxe.com,94.130.9.145,UA,UKRAINE,xxe.com,com,
Character Swap,ex.com,69.172.201.153,US,UNITED STATES,,com,
Character Replacement,ce.com,185.53.178.7,,mail.h-email.net,com,
Character Replacement,xr.com,127.0.0.1,ZZ,RESERVED,,com,
Character Replacement,xw.com,192.64.119.109,,,com,
Character Replacement,ze.com,206.172.31.179,DO,DOMINICAN REPUBLIC,mx1.dnsmadeeasy.com,com,
Character Insertion,xce.com,97.107.178.40,CA,CANADA,smtp2.lgisp.net,com,
Character Insertion,xer.com,69.172.201.153,US,UNITED STATES,,com,
Character Insertion,xew.com,72.52.4.120,US,UNITED STATES,localhost,com,
Character Insertion,xze.com,,?,,com,
Missing Dot,wwwxe.com,192.64.147.208,,,com,
Missing Dot,xecom.com,72.52.4.120,US,UNITED STATES,localhost,com,
Singular or Pluralise,xes.com,,?,,com,
Vowel Swap,xa.com,50.63.202.51,US,UNITED STATES,alt2.aspmx.l.google.com,com,
Vowel Swap,xi.com,50.63.202.14,US,UNITED STATES,mailstore1.secureserver.net,com,
Vowel Swap,xo.com,54.243.132.219,US,UNITED STATES,xo-com.mail.protection.outlook.com,com,
Vowel Swap,xu.com,117.25.144.178,CN,CHINA,mxbiz1.qq.com,com,
Bit Flipping,8e.com,27.109.124.235,,,com,
Bit Flipping,he.com,216.218.186.2,CA,CANADA,mx0.he.com,com,
Bit Flipping,pe.com,192.0.66.2,,aspmx3.googlemail.com,com,
Bit Flipping,xd.com,59.110.145.227,CN,CHINA,aspmx2.googlemail.com,com,
Bit Flipping,xg.com,199.181.132.250,US,UNITED STATES,,com,
Bit Flipping,xm.com,162.13.76.94,GB,UNITED KINGDOM,aspmx.l.google.com,com,
Bit Flipping,ye.com,47.52.135.124,CA,CANADA,mxbiz2.qq.com,com,
Wrong TLD,xe.ca,35.167.156.157,US,UNITED STATES,mail2.xe.net,ca,
Wrong TLD,xe.ch,,?,,ch,
Wrong TLD,xe.de,103.224.182.251,,mx92.m1bp.com,de,
Wrong TLD,xe.edu,,?,,edu,
Wrong TLD,xe.es,,?,,es,
Wrong TLD,xe.fr,95.142.101.112,NL,NETHERLANDS,mx01.nexthal.com,fr,
Wrong TLD,xe.it,,?,,it,
Wrong TLD,xe.jp,,?,,jp,
Wrong TLD,xe.net,35.167.156.157,US,UNITED STATES,aspmx.l.google.com,net,
Wrong TLD,xe.nl,85.92.140.136,NL,NETHERLANDS,mail.dh-group.nl,nl,
Wrong TLD,xe.no,51.175.132.127,GB,UNITED KINGDOM,mail.xe.no,no,
Wrong TLD,xe.org,184.168.221.34,US,UNITED STATES,in2-smtp.messagingengine.com,org,
Wrong TLD,xe.ru,82.98.86.175,DE,GERMANY,,ru,
Wrong TLD,xe.se,,?,alt2.aspmx.l.google.com,se,
Wrong TLD,xe.us,,?,,us,

