Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,zmato.com,107.20.167.19,MG,MADAGASCAR,69239984b995404bb7e34468bb7198.pamx1.hotmail.com,com,
Character Omission,zoato.com,72.52.4.121,US,UNITED STATES,localhost,com,
Character Omission,zomao.com,72.52.4.121,US,UNITED STATES,localhost,com,
Character Omission,zomat.com,184.168.221.44,US,UNITED STATES,smtp.secureserver.net,com,
Character Omission,zomato.cm,199.59.242.150,CN,CHINA,mx76.mb1p.com,cm,
Character Omission,zomto.com,,?,,com,
Character Repeat,zomaato.com,199.73.55.35,US,UNITED STATES,mail.101domain.com,com,
Character Repeat,zomatoo.com,107.160.39.28,,,com,
Character Repeat,zomatto.com,199.59.242.150,EX,,mx76.mb1p.com,com,
Character Repeat,zommato.com,45.33.9.234,,mail.mxproc.com,com,
Character Repeat,zoomato.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Repeat,zzomato.com,,?,,com,
Character Swap,ozmato.com,,?,,com,
Character Swap,zmoato.com,,?,,com,
Character Swap,zoamto.com,68.178.213.61,US,UNITED STATES,,com,
Character Swap,zomaot.com,107.160.39.27,,,com,
Character Swap,zomtao.com,,?,,com,
Character Replacement,xomato.com,50.63.202.9,JP,JAPAN,,com,
Character Replacement,zimato.com,50.63.202.6,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Replacement,zomaro.com,69.172.201.153,US,UNITED STATES,,com,
Character Replacement,zomati.com,104.24.106.105,,dc-0fb6e4cb81f0.zomati.com,com,
Character Replacement,zomatp.com,,?,,com,
Character Replacement,zomayo.com,,?,,com,
Character Replacement,zomsto.com,107.160.39.29,,,com,
Character Replacement,zonato.com,195.225.171.30,IT,ITALY,,com,
Character Replacement,zpmato.com,45.33.9.234,,mail.mxproc.com,com,
Character Insertion,zoimato.com,,?,,com,
Character Insertion,zomasto.com,,?,,com,
Character Insertion,zomatoi.com,,?,,com,
Character Insertion,zomatop.com,95.183.53.20,NO,NORWAY,,com,
Character Insertion,zomatro.com,,?,,com,
Character Insertion,zomatyo.com,,?,,com,
Character Insertion,zomnato.com,,?,,com,
Character Insertion,zopmato.com,,?,,com,
Character Insertion,zxomato.com,,?,,com,
Missing Dot,wwwzomato.com,,?,,com,
Missing Dot,zomatocom.com,,?,,com,
Singular or Pluralise,zomatos.com,,?,,com,
Vowel Swap,zometo.com,91.195.240.101,DE,GERMANY,mail.zometo.com,com,
Vowel Swap,zomito.com,54.183.99.63,US,UNITED STATES,,com,
Vowel Swap,zomoto.com,178.22.232.92,NL,NETHERLANDS,sb02.villah.net,com,
Vowel Swap,zomuto.com,,?,,com,
Homophones,zomatteo.com,,?,,com,
Homophones,zomatwo.com,,?,,com,
Bit Flipping,jomato.com,199.73.55.35,US,UNITED STATES,mail.101domain.com,com,
Bit Flipping,romato.com,72.52.4.119,US,UNITED STATES,localhost,com,
Bit Flipping,zgmato.com,,?,,com,
Bit Flipping,zkmato.com,,?,,com,
Bit Flipping,zmmato.com,,?,,com,
Bit Flipping,znmato.com,,?,,com,
Bit Flipping,zo-ato.com,,?,,com,
Bit Flipping,zoeato.com,,?,,com,
Bit Flipping,zoiato.com,,?,,com,
Bit Flipping,zolato.com,23.23.212.13,US,UNITED STATES,,com,
Bit Flipping,zoma4o.com,,?,,com,
Bit Flipping,zomado.com,,?,,com,
Bit Flipping,zomapo.com,199.34.228.100,US,UNITED STATES,mailstore1.secureserver.net,com,
Bit Flipping,zomatg.com,,?,,com,
Bit Flipping,zomatk.com,,?,,com,
Bit Flipping,zomatm.com,,?,,com,
Bit Flipping,zomatn.com,,?,,com,
Bit Flipping,zomauo.com,,?,,com,
Bit Flipping,zomavo.com,,?,,com,
Bit Flipping,zomcto.com,,?,,com,
Bit Flipping,zomqto.com,,?,,com,
Bit Flipping,zooato.com,,?,,com,
Homoglyphs,z0mat0.com,,?,,com,
Homoglyphs,z0mato.com,,?,,com,
Homoglyphs,zomat0.com,,?,,com,
Homoglyphs,zornato.com,,?,,com,
Wrong TLD,zomato.ca,50.63.202.43,US,UNITED STATES,smtp.secureserver.net,ca,
Wrong TLD,zomato.ch,199.73.55.35,US,UNITED STATES,mail.101domain.com,ch,
Wrong TLD,zomato.de,,?,,de,
Wrong TLD,zomato.edu,,?,,edu,
Wrong TLD,zomato.es,199.73.55.35,US,UNITED STATES,mail.rwgusa.net,es,
Wrong TLD,zomato.fr,,?,,fr,
Wrong TLD,zomato.it,199.73.55.35,US,UNITED STATES,mail.101domain.com,it,
Wrong TLD,zomato.jp,199.73.55.35,US,UNITED STATES,mail.101domain.com,jp,
Wrong TLD,zomato.net,199.73.55.35,US,UNITED STATES,mail.101domain.com,net,
Wrong TLD,zomato.nl,,?,,nl,
Wrong TLD,zomato.no,199.73.55.35,US,UNITED STATES,mail.101domain.com,no,
Wrong TLD,zomato.org,199.73.55.35,ÇI,,mail.101domain.com,org,
Wrong TLD,zomato.ru,199.73.55.35,US,UNITED STATES,mail.101domain.com,ru,
Wrong TLD,zomato.se,199.73.55.35,US,UNITED STATES,mail.101domain.com,se,
Wrong TLD,zomato.us,54.197.177.98,US,UNITED STATES,inbound-smtp.eu-west-1.amazonaws.com,us,

