Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,baie.baidu.com,,?,,com,
Character Omission,baik.baidu.com,,?,,com,
Character Omission,baike.aidu.com,,?,,com,
Character Omission,baike.badu.com,184.154.126.180,SG,SINGAPORE,,com,
Character Omission,baike.baid.com,50.117.120.251,US,UNITED STATES,mail.skrimple.com,com,
Character Omission,baike.baidu.cm,47.88.136.144,AL,ALBANIA,,cm,
Character Omission,baike.baiu.com,,?,,com,
Character Omission,baike.bidu.com,47.88.136.144,DE,GERMANY,,com,
Character Omission,baikebaidu.com,198.56.221.60,,,com,
Character Omission,bake.baidu.com,,?,,com,
Character Omission,bike.baidu.com,103.235.46.232,,,com,
Character Repeat,baaike.baidu.com,,?,,com,
Character Repeat,baiike.baidu.com,,?,,com,
Character Repeat,baike.baaidu.com,67.21.83.125,CN,CHINA,,com,
Character Repeat,baike.baiddu.com,192.69.199.28,,,com,
Character Repeat,baike.baiduu.com,50.117.120.251,US,UNITED STATES,mail.skrimple.com,com,
Character Repeat,baike.baiidu.com,,?,,com,
Character Repeat,baike.bbaidu.com,,?,,com,
Character Repeat,baikee.baidu.com,,?,,com,
Character Repeat,baikke.baidu.com,,?,,com,
Character Repeat,bbaike.baidu.com,,?,,com,
Character Swap,abike.baidu.com,,?,,com,
Character Swap,baiek.baidu.com,,?,,com,
Character Swap,baik.ebaidu.com,,?,,com,
Character Swap,baike.abidu.com,67.227.226.241,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Swap,baike.badiu.com,50.117.120.251,US,UNITED STATES,mail.skrimple.com,com,
Character Swap,baike.baiud.com,103.51.144.90,,,com,
Character Swap,baike.biadu.com,50.117.120.251,US,UNITED STATES,mail.skrimple.com,com,
Character Swap,baikeb.aidu.com,,?,,com,
Character Swap,bakie.baidu.com,,?,,com,
Character Swap,biake.baidu.com,,?,,com,
Character Replacement,baije.baidu.com,,?,,com,
Character Replacement,baike.baidi.com,50.117.120.251,US,UNITED STATES,mail.skrimple.com,com,
Character Replacement,baike.baidy.com,61.92.24.83,H5,,,com,
Character Replacement,baike.baifu.com,23.234.4.153,,,com,
Character Replacement,baike.baisu.com,50.117.120.251,US,UNITED STATES,mail.skrimple.com,com,
Character Replacement,baike.baodu.com,,?,,com,
Character Replacement,baike.baudu.com,50.117.120.251,US,UNITED STATES,mail.skrimple.com,com,
Character Replacement,baike.bsidu.com,184.154.126.180,US,UNITED STATES,,com,
