Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,blg.e-gold.com,,?,,com,
Character Omission,blo.e-gold.com,,?,,com,
Character Omission,blog.-gold.com,,?,,com,
Character Omission,blog.e-gld.com,,?,,com,
Character Omission,blog.e-god.com,68.178.213.61,US,UNITED STATES,,com,
Character Omission,blog.e-gol.com,,?,,com,
Character Omission,blog.e-gold.cm,,?,,cm,
Character Omission,blog.e-old.com,192.64.147.201,,,com,
Character Omission,blog.egold.com,,?,,com,
Character Omission,bloge-gold.com,,?,,com,
Character Omission,bog.e-gold.com,,?,,com,
Character Repeat,bblog.e-gold.com,,?,,com,
Character Repeat,bllog.e-gold.com,,?,,com,
Character Repeat,blog.e--gold.com,,?,,com,
Character Repeat,blog.e-ggold.com,,?,,com,
Character Repeat,blog.e-goldd.com,,?,,com,
Character Repeat,blog.e-golld.com,,?,,com,
Character Repeat,blog.e-goold.com,,?,,com,
Character Repeat,blog.ee-gold.com,,?,,com,
Character Repeat,blogg.e-gold.com,,?,,com,
Character Repeat,bloog.e-gold.com,,?,,com,
Character Swap,blgo.e-gold.com,,?,,com,
Character Swap,blo.ge-gold.com,,?,,com,
Character Swap,blog.-egold.com,,?,,com,
Character Swap,blog.e-glod.com,,?,,com,
Character Swap,blog.e-godl.com,,?,,com,
Character Swap,blog.e-ogld.com,,?,,com,
Character Swap,blog.eg-old.com,,?,,com,
Character Swap,bloge.-gold.com,,?,,com,
Character Swap,bolg.e-gold.com,,?,,com,
Character Swap,lbog.e-gold.com,,?,,com,
Character Replacement,bkog.e-gold.com,,?,,com,
Character Replacement,blig.e-gold.com,,?,,com,
Character Replacement,blof.e-gold.com,,?,,com,
Character Replacement,blog.e-fold.com,,?,,com,
Character Replacement,blog.e-gild.com,,?,,com,
Character Replacement,blog.e-gokd.com,,?,,com,
Character Replacement,blog.e-golf.com,,?,,com,
Character Replacement,blog.e-gols.com,,?,,com,
Character Replacement,blog.e-gpld.com,,?,,com,
Character Replacement,blog.e-hold.com,,?,,com,
Character Replacement,blog.e0gold.com,,?,,com,
Character Replacement,blog.r-gold.com,,?,,com,
Character Replacement,blog.w-gold.com,185.53.178.9,,mail.h-email.net,com,
Character Replacement,bloh.e-gold.com,,?,,com,
Character Replacement,blpg.e-gold.com,,?,,com,
Character Replacement,nlog.e-gold.com,,?,,com,
Character Replacement,vlog.e-gold.com,,?,,com,
Character Insertion,blkog.e-gold.com,,?,,com,
Character Insertion,blog.e-0gold.com,,?,,com,
Character Insertion,blog.e-gfold.com,,?,,com,
Character Insertion,blog.e-ghold.com,,?,,com,
Character Insertion,blog.e-goild.com,,?,,com,
Character Insertion,blog.e-goldf.com,,?,,com,
Character Insertion,blog.e-golds.com,72.52.4.119,US,UNITED STATES,localhost,com,
Character Insertion,blog.e-golkd.com,,?,,com,
Character Insertion,blog.e-gopld.com,,?,,com,
Character Insertion,blog.er-gold.com,,?,,com,
Character Insertion,blog.ew-gold.com,,?,,com,
Character Insertion,blogf.e-gold.com,,?,,com,
Character Insertion,blogh.e-gold.com,,?,,com,
Character Insertion,bloig.e-gold.com,,?,,com,
Character Insertion,blopg.e-gold.com,,?,,com,
Character Insertion,bnlog.e-gold.com,,?,,com,
Character Insertion,bvlog.e-gold.com,,?,,com,
Missing Dot,wwwblog.e-gold.com,,?,,com,
Singular or Pluralise,e-gold.com,216.146.46.10,US,UNITED STATES,mail.g-sr.com,com,
Singular or Pluralise,e-golds.com,72.52.4.119,US,UNITED STATES,localhost,com,
Vowel Swap,blog.a-gold.com,,?,,com,
Vowel Swap,blog.i-gold.com,98.124.245.24,H5,,mail.b-io.co,com,
Vowel Swap,blog.o-gold.com,185.53.179.8,,mail.h-email.net,com,
Vowel Swap,blog.u-gold.com,,?,,com,
Homophones,blowg.e-gold.com,,?,,com,
Bit Flipping,bdog.e-gold.com,,?,,com,
Bit Flipping,bhog.e-gold.com,,?,,com,
Bit Flipping,blgg.e-gold.com,,?,,com,
Bit Flipping,blkg.e-gold.com,,?,,com,
Bit Flipping,blmg.e-gold.com,,?,,com,
Bit Flipping,blng.e-gold.com,,?,,com,
Bit Flipping,bloc.e-gold.com,,?,,com,
Bit Flipping,bloe.e-gold.com,,?,,com,
Bit Flipping,blog.d-gold.com,,?,,com,
Bit Flipping,blog.e-cold.com,68.178.213.61,US,UNITED STATES,,com,
Bit Flipping,blog.e-eold.com,,?,,com,
Bit Flipping,blog.e-ggld.com,,?,,com,
Bit Flipping,blog.e-gkld.com,,?,,com,
Bit Flipping,blog.e-gmld.com,,?,,com,
Bit Flipping,blog.e-gnld.com,,?,,com,
Bit Flipping,blog.e-godd.com,,?,,com,
Bit Flipping,blog.e-gohd.com,,?,,com,
Bit Flipping,blog.e-gole.com,,?,,com,
Bit Flipping,blog.e-goll.com,,?,,com,
Bit Flipping,blog.e-golt.com,,?,,com,
Bit Flipping,blog.e-gomd.com,,?,,com,
Bit Flipping,blog.e-gond.com,,?,,com,
Bit Flipping,blog.e-oold.com,,?,,com,
Bit Flipping,blog.e-wold.com,46.30.213.68,DK,DENMARK,,com,
Bit Flipping,blog.emgold.com,,?,,com,
Bit Flipping,blog.g-gold.com,,?,,com,
Bit Flipping,blog.m-gold.com,74.208.15.160,US,UNITED STATES,74.208.15.160.m-gold.com,com,
Bit Flipping,blogne-gold.com,,?,,com,
Bit Flipping,bloo.e-gold.com,,?,,com,
