Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,blg.sina.com.cn,,?,,cn,
Character Omission,blo.sina.com.cn,,?,,cn,
Character Omission,blog.ina.com.cn,,?,,cn,
Character Omission,blog.sia.com.cn,23.234.4.151,,,cn,
Character Omission,blog.sin.com.cn,,?,,cn,
Character Omission,blog.sina.cm.cn,182.61.97.11,RU,RUSSIAN FEDERATION,,cn,
Character Omission,blog.sina.co.cn,,?,,cn,
Character Omission,blog.sina.om.cn,,?,,cn,
Character Omission,blog.sinacom.cn,50.117.120.251,US,UNITED STATES,mail.skrimple.com,cn,
Character Omission,blog.sna.com.cn,,?,,cn,
Character Omission,blogsina.com.cn,47.89.58.141,RO,ROMANIA,,cn,
Character Omission,bog.sina.com.cn,,?,,cn,
Character Repeat,bblog.sina.com.cn,,?,,cn,
Character Repeat,bllog.sina.com.cn,,?,,cn,
Character Repeat,blog.siina.com.cn,52.69.166.231,US,UNITED STATES,,cn,
Character Repeat,blog.sina.ccom.cn,,?,,cn,
Character Repeat,blog.sina.comm.cn,52.69.166.231,US,UNITED STATES,,cn,
Character Repeat,blog.sina.coom.cn,103.232.215.129,,mail.skrimple.com,cn,
Character Repeat,blog.sinaa.com.cn,47.89.58.32,US,UNITED STATES,,cn,
Character Repeat,blog.sinna.com.cn,52.69.166.231,US,UNITED STATES,,cn,
Character Repeat,blog.ssina.com.cn,52.69.166.231,US,UNITED STATES,,cn,
Character Repeat,blogg.sina.com.cn,,?,,cn,
Character Repeat,bloog.sina.com.cn,,?,,cn,
Character Swap,blgo.sina.com.cn,,?,,cn,
Character Swap,blo.gsina.com.cn,,?,,cn,
Character Swap,blog.isna.com.cn,50.117.120.251,US,UNITED STATES,mail.skrimple.com,cn,
Character Swap,blog.sian.com.cn,50.117.120.251,US,UNITED STATES,mail.skrimple.com,cn,
Character Swap,blog.sin.acom.cn,106.15.46.172,CN,CHINA,,cn,
Character Swap,blog.sina.cmo.cn,50.117.120.251,US,UNITED STATES,mail.skrimple.com,cn,
Character Swap,blog.sina.com.nc,,?,,nc,
Character Swap,blog.sina.ocm.cn,50.117.120.251,US,UNITED STATES,mail.skrimple.com,cn,
Character Swap,blog.sinac.om.cn,,?,,cn,
Character Swap,blog.snia.com.cn,23.234.4.153,,,cn,
Character Swap,blogs.ina.com.cn,,?,,cn,
Character Swap,bolg.sina.com.cn,,?,,cn,
Character Swap,lbog.sina.com.cn,,?,,cn,
Character Replacement,bkog.sina.com.cn,,?,,cn,
Character Replacement,blig.sina.com.cn,,?,,cn,
Character Replacement,blof.sina.com.cn,,?,,cn,
Character Replacement,blog.aina.com.cn,52.69.166.231,US,UNITED STATES,,cn,
Character Replacement,blog.dina.com.cn,,?,,cn,
Character Replacement,blog.siba.com.cn,204.16.199.200,US,UNITED STATES,,cn,
Character Replacement,blog.sima.com.cn,,?,,cn,
Character Replacement,blog.sina.cim.cn,,?,,cn,
Character Replacement,blog.sina.com.cm,104.129.5.141,,,cm,
Character Replacement,blog.sina.com.vn,162.243.10.151,,,vn,
Character Replacement,blog.sina.con.cn,50.117.120.251,US,UNITED STATES,mail.skrimple.com,cn,
Character Replacement,blog.sina.cpm.cn,103.232.215.129,,mail.skrimple.com,cn,
Character Replacement,blog.sina.vom.cn,103.232.215.129,,mail.skrimple.com,cn,
Character Replacement,blog.sina.xom.cn,103.232.215.129,,mail.skrimple.com,cn,
Character Replacement,blog.sins.com.cn,52.69.166.231,US,UNITED STATES,,cn,
Character Replacement,blog.sona.com.cn,,?,,cn,
Character Replacement,blog.suna.com.cn,,?,,cn,
Character Replacement,bloh.sina.com.cn,,?,,cn,
Character Replacement,blpg.sina.com.cn,,?,,cn,
Character Replacement,nlog.sina.com.cn,,?,,cn,
Character Replacement,vlog.sina.com.cn,,?,,cn,
Character Insertion,blkog.sina.com.cn,,?,,cn,
Character Insertion,blog.saina.com.cn,,?,,cn,
Character Insertion,blog.sdina.com.cn,,?,,cn,
Character Insertion,blog.sina.coim.cn,101.201.73.96,CN,CHINA,,cn,
Character Insertion,blog.sina.comn.cn,218.30.103.40,2u,,,cn,
Character Insertion,blog.sina.copm.cn,199.59.242.150,CN,CHINA,,cn,
Character Insertion,blog.sina.cvom.cn,104.160.171.90,,,cn,
