Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,cieseerx.ist.psu.edu,,?,,edu,
Character Omission,citeeerx.ist.psu.edu,,?,,edu,
Character Omission,citeseer.ist.psu.edu,130.203.136.95,US,UNITED STATES,,edu,
Character Omission,citeseerx.is.psu.edu,,?,,edu,
Character Omission,citeseerx.ist.ps.edu,104.196.163.46,,,edu,
Character Omission,citeseerx.ist.psu.eu,72.52.4.119,US,UNITED STATES,localhost,eu,
Character Omission,citeseerx.ist.pu.edu,,?,,edu,
Character Omission,citeseerx.ist.su.edu,,?,,edu,
Character Omission,citeseerx.istpsu.edu,,?,,edu,
Character Omission,citeseerx.it.psu.edu,,?,,edu,
Character Omission,citeseerx.st.psu.edu,,?,,edu,
Character Omission,citeseerxist.psu.edu,,?,,edu,
Character Omission,citeseex.ist.psu.edu,,?,,edu,
Character Omission,citeserx.ist.psu.edu,,?,,edu,
Character Omission,citseerx.ist.psu.edu,,?,,edu,
Character Omission,cteseerx.ist.psu.edu,,?,,edu,
Character Repeat,cciteseerx.ist.psu.edu,,?,,edu,
Character Repeat,ciiteseerx.ist.psu.edu,,?,,edu,
Character Repeat,citeeseerx.ist.psu.edu,,?,,edu,
Character Repeat,citeseeerx.ist.psu.edu,,?,,edu,
Character Repeat,citeseerrx.ist.psu.edu,,?,,edu,
Character Repeat,citeseerx.iist.psu.edu,,?,,edu,
Character Repeat,citeseerx.isst.psu.edu,,?,,edu,
Character Repeat,citeseerx.ist.ppsu.edu,,?,,edu,
Character Repeat,citeseerx.ist.pssu.edu,,?,,edu,
Character Repeat,citeseerx.ist.psuu.edu,,?,,edu,
Character Repeat,citeseerx.istt.psu.edu,,?,,edu,
Character Repeat,citeseerxx.ist.psu.edu,,?,,edu,
Character Repeat,citesseerx.ist.psu.edu,,?,,edu,
Character Repeat,citteseerx.ist.psu.edu,,?,,edu,
Character Swap,cietseerx.ist.psu.edu,,?,,edu,
Character Swap,citeeserx.ist.psu.edu,,?,,edu,
Character Swap,citeseer.xist.psu.edu,,?,,edu,
Character Swap,citeseerx.is.tpsu.edu,,?,,edu,
Character Swap,citeseerx.ist.pus.edu,,?,,edu,
Character Swap,citeseerx.ist.spu.edu,,?,,edu,
Character Swap,citeseerx.istp.su.edu,,?,,edu,
Character Swap,citeseerx.its.psu.edu,,?,,edu,
Character Swap,citeseerx.sit.psu.edu,,?,,edu,
Character Swap,citeseerxi.st.psu.edu,,?,,edu,
Character Swap,citeseexr.ist.psu.edu,,?,,edu,
Character Swap,citeserex.ist.psu.edu,,?,,edu,
Character Swap,citseeerx.ist.psu.edu,,?,,edu,
Character Swap,ctieseerx.ist.psu.edu,,?,,edu,
Character Swap,icteseerx.ist.psu.edu,,?,,edu,
Character Replacement,cireseerx.ist.psu.edu,,?,,edu,
Character Replacement,citeaeerx.ist.psu.edu,,?,,edu,
Character Replacement,citedeerx.ist.psu.edu,,?,,edu,
Character Replacement,citeseeex.ist.psu.edu,,?,,edu,
Character Replacement,citeseerc.ist.psu.edu,,?,,edu,
