Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,ecnomictimes.indiatimes.com,,?,,com,
Character Omission,econmictimes.indiatimes.com,,?,,com,
Character Omission,econoictimes.indiatimes.com,,?,,com,
Character Omission,economctimes.indiatimes.com,,?,,com,
Character Omission,economicimes.indiatimes.com,,?,,com,
Character Omission,economicties.indiatimes.com,,?,,com,
Character Omission,economictime.indiatimes.com,,?,,com,
Character Omission,economictimes.idiatimes.com,208.73.211.177,US,UNITED STATES,,com,
Character Omission,economictimes.indatimes.com,103.224.182.218,,mx92.mb5p.com,com,
Character Omission,economictimes.indiaimes.com,72.52.178.23,US,UNITED STATES,allmail.parklogic.com,com,
Character Omission,economictimes.indiaties.com,69.172.201.153,US,UNITED STATES,,com,
Character Omission,economictimes.indiatime.com,205.178.189.129,US,UNITED STATES,,com,
Character Omission,economictimes.indiatimes.cm,185.53.178.7,,,cm,
Character Omission,economictimes.indiatims.com,141.8.224.169,CH,SWITZERLAND,,com,
Character Omission,economictimes.indiatmes.com,208.73.211.165,US,UNITED STATES,,com,
Character Omission,economictimes.inditimes.com,69.162.80.55,US,UNITED STATES,,com,
Character Omission,economictimes.iniatimes.com,208.73.210.202,US,UNITED STATES,,com,
Character Omission,economictimes.ndiatimes.com,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Omission,economictimesindiatimes.com,199.191.50.17,,,com,
Character Omission,economictims.indiatimes.com,,?,,com,
Character Omission,economictmes.indiatimes.com,,?,,com,
Character Omission,economitimes.indiatimes.com,,?,,com,
Character Omission,ecoomictimes.indiatimes.com,,?,,com,
Character Omission,eonomictimes.indiatimes.com,,?,,com,
Character Repeat,ecconomictimes.indiatimes.com,,?,,com,
Character Repeat,econnomictimes.indiatimes.com,,?,,com,
Character Repeat,economicctimes.indiatimes.com,,?,,com,
Character Repeat,economictiimes.indiatimes.com,,?,,com,
Character Repeat,economictimees.indiatimes.com,,?,,com,
Character Repeat,economictimes.iindiatimes.com,,?,,com,
Character Repeat,economictimes.inddiatimes.com,199.59.242.150,US,UNITED STATES,,com,
Character Repeat,economictimes.indiaatimes.com,185.53.179.6,,mail.h-email.net,com,
Character Repeat,economictimes.indiatiimes.com,,?,,com,
Character Repeat,economictimes.indiatimees.com,,?,,com,
Character Repeat,economictimes.indiatimess.com,103.224.212.222,,mx92.m1bp.com,com,
Character Repeat,economictimes.indiatimmes.com,199.191.50.73,,,com,
Character Repeat,economictimes.indiattimes.com,,?,,com,
Character Repeat,economictimes.indiiatimes.com,199.191.50.73,,,com,
Character Repeat,economictimes.inndiatimes.com,213.247.47.190,NL,NETHERLANDS,,com,
Character Repeat,economictimess.indiatimes.com,,?,,com,
Character Repeat,economictimmes.indiatimes.com,,?,,com,
Character Repeat,economicttimes.indiatimes.com,,?,,com,
Character Repeat,economiictimes.indiatimes.com,,?,,com,
Character Repeat,econommictimes.indiatimes.com,,?,,com,
Character Repeat,econoomictimes.indiatimes.com,,?,,com,
Character Repeat,ecoonomictimes.indiatimes.com,,?,,com,
Character Repeat,eeconomictimes.indiatimes.com,,?,,com,
Character Swap,ceonomictimes.indiatimes.com,,?,,com,
Character Swap,ecnoomictimes.indiatimes.com,,?,,com,
Character Swap,econmoictimes.indiatimes.com,,?,,com,
Character Swap,econoimctimes.indiatimes.com,,?,,com,
Character Swap,economcitimes.indiatimes.com,,?,,com,
Character Swap,economicitmes.indiatimes.com,,?,,com,
Character Swap,economictiems.indiatimes.com,,?,,com,
Character Swap,economictime.sindiatimes.com,103.224.212.222,,mx92.m1bp.com,com,
Character Swap,economictimes.idniatimes.com,141.8.224.195,CH,SWITZERLAND,,com,
Character Swap,economictimes.indaitimes.com,185.53.178.9,,mail.h-email.net,com,
Character Swap,economictimes.indiaitmes.com,208.73.210.202,US,UNITED STATES,,com,
Character Swap,economictimes.indiatiems.com,208.73.211.177,US,UNITED STATES,,com,
Character Swap,economictimes.indiatimse.com,,?,,com,
Character Swap,economictimes.indiatmies.com,,?,,com,
Character Swap,economictimes.inditaimes.com,,?,,com,
Character Swap,economictimes.inidatimes.com,,?,,com,
Character Swap,economictimes.nidiatimes.com,141.8.224.195,CH,SWITZERLAND,,com,
Character Swap,economictimesi.ndiatimes.com,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Swap,economictimse.indiatimes.com,,?,,com,
Character Swap,economictmies.indiatimes.com,,?,,com,
Character Swap,economitcimes.indiatimes.com,,?,,com,
Character Swap,ecoonmictimes.indiatimes.com,,?,,com,
Character Swap,eocnomictimes.indiatimes.com,,?,,com,
Character Replacement,ecinomictimes.indiatimes.com,,?,,com,
Character Replacement,ecobomictimes.indiatimes.com,,?,,com,
Character Replacement,ecomomictimes.indiatimes.com,,?,,com,
Character Replacement,econimictimes.indiatimes.com,,?,,com,
Character Replacement,economicrimes.indiatimes.com,,?,,com,
Character Replacement,economictimea.indiatimes.com,,?,,com,
Character Replacement,economictimed.indiatimes.com,,?,,com,
Character Replacement,economictimes.ibdiatimes.com,,?,,com,
Character Replacement,economictimes.imdiatimes.com,199.59.242.150,CN,CHINA,,com,
Character Replacement,economictimes.indiarimes.com,173.239.5.6,US,UNITED STATES,,com,
Character Replacement,economictimes.indiatimea.com,103.224.212.222,,mx92.mb5p.com,com,
Character Replacement,economictimes.indiatimed.com,,?,,com,
Character Replacement,economictimes.indiatimrs.com,,?,,com,
Character Replacement,economictimes.indiatimws.com,,?,,com,
Character Replacement,economictimes.indiatines.com,67.55.92.182,US,UNITED STATES,,com,
Character Replacement,economictimes.indiatomes.com,,?,,com,
Character Replacement,economictimes.indiatumes.com,,?,,com,
Character Replacement,economictimes.indiayimes.com,,?,,com,
Character Replacement,economictimes.indistimes.com,199.191.50.73,,,com,
Character Replacement,economictimes.indoatimes.com,,?,,com,
Character Replacement,economictimes.induatimes.com,,?,,com,
Character Replacement,economictimes.infiatimes.com,,?,,com,
Character Replacement,economictimes.insiatimes.com,103.224.182.240,,mx92.m1bp.com,com,
Character Replacement,economictimes.ondiatimes.com,184.168.221.104,US,UNITED STATES,,com,
Character Replacement,economictimes.undiatimes.com,184.168.221.104,DO,DOMINICAN REPUBLIC,,com,
Character Replacement,economictimrs.indiatimes.com,,?,,com,
Character Replacement,economictimws.indiatimes.com,,?,,com,
Character Replacement,economictines.indiatimes.com,,?,,com,
Character Replacement,economictomes.indiatimes.com,,?,,com,
Character Replacement,economictumes.indiatimes.com,,?,,com,
Character Replacement,economicyimes.indiatimes.com,,?,,com,
Character Replacement,economivtimes.indiatimes.com,,?,,com,
Character Replacement,economixtimes.indiatimes.com,,?,,com,
Character Replacement,economoctimes.indiatimes.com,,?,,com,
Character Replacement,economuctimes.indiatimes.com,,?,,com,
Character Replacement,econonictimes.indiatimes.com,,?,,com,
Character Replacement,econpmictimes.indiatimes.com,,?,,com,
Character Replacement,ecpnomictimes.indiatimes.com,,?,,com,
Character Replacement,evonomictimes.indiatimes.com,,?,,com,
Character Replacement,exonomictimes.indiatimes.com,,?,,com,
Character Replacement,rconomictimes.indiatimes.com,,?,,com,
Character Replacement,wconomictimes.indiatimes.com,,?,,com,
Character Insertion,ecoinomictimes.indiatimes.com,,?,,com,
Character Insertion,econbomictimes.indiatimes.com,,?,,com,
Character Insertion,econmomictimes.indiatimes.com,,?,,com,
Character Insertion,econoimictimes.indiatimes.com,,?,,com,
Character Insertion,economictimers.indiatimes.com,,?,,com,
Character Insertion,economictimes.inbdiatimes.com,,?,,com,
Character Insertion,economictimes.indfiatimes.com,,?,,com,
Character Insertion,economictimes.indiastimes.com,52.71.185.125,US,UNITED STATES,,com,
Character Insertion,economictimes.indiatimers.com,,?,,com,
Character Insertion,economictimes.indiatimesa.com,,?,,com,
Character Insertion,economictimes.indiatimesd.com,,?,,com,
Character Insertion,economictimes.indiatimews.com,,?,,com,
Character Insertion,economictimes.indiatimnes.com,,?,,com,
Character Insertion,economictimes.indiatiomes.com,,?,,com,
Character Insertion,economictimes.indiatiumes.com,,?,,com,
Character Insertion,economictimes.indiatrimes.com,,?,,com,
Character Insertion,economictimes.indiatyimes.com,,?,,com,
Character Insertion,economictimes.indioatimes.com,,?,,com,
Character Insertion,economictimes.indiuatimes.com,68.178.213.61,US,UNITED STATES,,com,
