Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,fafa.ed.gov,,?,,gov,
Character Omission,fafs.ed.gov,,?,,gov,
Character Omission,fafsa.d.gov,,?,,gov,
Character Omission,fafsa.e.gov,,?,,gov,
Character Omission,fafsaed.gov,,?,,gov,
Character Omission,fasa.ed.gov,,?,,gov,
Character Omission,ffsa.ed.gov,,?,,gov,
Character Repeat,faafsa.ed.gov,,?,,gov,
Character Repeat,faffsa.ed.gov,,?,,gov,
Character Repeat,fafsa.edd.gov,,?,,gov,
Character Repeat,fafsa.eed.gov,,?,,gov,
Character Repeat,fafsaa.ed.gov,,?,,gov,
Character Repeat,fafssa.ed.gov,,?,,gov,
Character Repeat,ffafsa.ed.gov,,?,,gov,
Character Swap,affsa.ed.gov,,?,,gov,
Character Swap,fafas.ed.gov,,?,,gov,
Character Swap,fafs.aed.gov,,?,,gov,
Character Swap,fafsa.de.gov,,?,,gov,
Character Swap,fafsae.d.gov,,?,,gov,
Character Swap,fasfa.ed.gov,,?,,gov,
Character Swap,ffasa.ed.gov,,?,,gov,
Character Replacement,dafsa.ed.gov,,?,,gov,
Character Replacement,fadsa.ed.gov,,?,,gov,
Character Replacement,fafaa.ed.gov,,?,,gov,
Character Replacement,fafda.ed.gov,,?,,gov,
Character Replacement,fafsa.ef.gov,,?,,gov,
Character Replacement,fafsa.es.gov,,?,,gov,
Character Replacement,fafsa.rd.gov,,?,,gov,
Character Replacement,fafsa.wd.gov,,?,,gov,
Character Replacement,fafss.ed.gov,,?,,gov,
Character Replacement,fagsa.ed.gov,,?,,gov,
Character Replacement,fsfsa.ed.gov,,?,,gov,
Character Replacement,gafsa.ed.gov,,?,,gov,
Character Insertion,fafdsa.ed.gov,,?,,gov,
Character Insertion,fafgsa.ed.gov,,?,,gov,
Character Insertion,fafsa.edf.gov,,?,,gov,
Character Insertion,fafsa.eds.gov,,?,,gov,
Character Insertion,fafsa.erd.gov,,?,,gov,
Character Insertion,fafsa.ewd.gov,,?,,gov,
Character Insertion,fafsas.ed.gov,,?,,gov,
Character Insertion,fafsda.ed.gov,,?,,gov,
Character Insertion,fasfsa.ed.gov,,?,,gov,
Character Insertion,fdafsa.ed.gov,,?,,gov,
Character Insertion,fgafsa.ed.gov,,?,,gov,
Missing Dot,wwwfafsa.ed.gov,,?,,gov,
Singular or Pluralise,ed.gov,165.224.212.35,US,UNITED STATES,ed-gov.mail.protection.outlook.com,gov,
Singular or Pluralise,eds.gov,,?,,gov,
Vowel Swap,fafsa.ad.gov,,?,,gov,
Vowel Swap,fafsa.id.gov,,?,,gov,
Vowel Swap,fafsa.od.gov,,?,,gov,
Vowel Swap,fafsa.ud.gov,,?,,gov,
Vowel Swap,fefse.ed.gov,,?,,gov,
Vowel Swap,fifsi.ed.gov,,?,,gov,
Vowel Swap,fofso.ed.gov,,?,,gov,
Vowel Swap,fufsu.ed.gov,,?,,gov,
Bit Flipping,bafsa.ed.gov,,?,,gov,
Bit Flipping,fabsa.ed.gov,,?,,gov,
Bit Flipping,faf3a.ed.gov,,?,,gov,
Bit Flipping,fafca.ed.gov,,?,,gov,
Bit Flipping,fafqa.ed.gov,,?,,gov,
Bit Flipping,fafra.ed.gov,,?,,gov,
Bit Flipping,fafsa.dd.gov,,?,,gov,
Bit Flipping,fafsa.ee.gov,,?,,gov,
Bit Flipping,fafsa.el.gov,,?,,gov,
Bit Flipping,fafsa.et.gov,,?,,gov,
Bit Flipping,fafsa.gd.gov,,?,,gov,
Bit Flipping,fafsa.md.gov,,?,,gov,
Bit Flipping,fafsaned.gov,,?,,gov,
Bit Flipping,fafsc.ed.gov,,?,,gov,
Bit Flipping,fafse.ed.gov,,?,,gov,
Bit Flipping,fafsi.ed.gov,,?,,gov,
Bit Flipping,fafsq.ed.gov,,?,,gov,
Bit Flipping,fafwa.ed.gov,,?,,gov,
Bit Flipping,fansa.ed.gov,,?,,gov,
Bit Flipping,favsa.ed.gov,,?,,gov,
Bit Flipping,fcfsa.ed.gov,,?,,gov,
Bit Flipping,fefsa.ed.gov,,?,,gov,
Bit Flipping,fifsa.ed.gov,,?,,gov,
Bit Flipping,fqfsa.ed.gov,,?,,gov,
Bit Flipping,nafsa.ed.gov,,?,,gov,
Bit Flipping,vafsa.ed.gov,,?,,gov,
Homoglyphs,fafsa.ecl.gov,,?,,gov,
Wrong TLD,ed.ca,72.55.128.95,CA,CANADA,ed-ca.mail.protection.outlook.com,ca,
Wrong TLD,ed.ch,,?,,ch,
Wrong TLD,ed.com,209.68.45.164,US,UNITED STATES,mailwash27.pair.com,com,
Wrong TLD,ed.de,212.89.130.229,IE,IRELAND,mx1.eurodata.de,de,
Wrong TLD,ed.edu,,?,,edu,
Wrong TLD,ed.es,,?,,es,
Wrong TLD,ed.fr,,?,,fr,
Wrong TLD,ed.it,,?,,it,
Wrong TLD,ed.jp,,?,,jp,
Wrong TLD,ed.net,50.63.202.32,US,UNITED STATES,smtp.secureserver.net,net,
Wrong TLD,ed.nl,165.254.45.192,US,UNITED STATES,alt2.aspmx.l.google.com,nl,
Wrong TLD,ed.no,185.53.178.6,,,no,
Wrong TLD,ed.org,50.56.53.41,US,UNITED STATES,us-smtp-inbound-2.mimecast.com,org,
Wrong TLD,ed.ru,91.230.208.122,RU,RUSSIAN FEDERATION,mail.ed.ru,ru,
Wrong TLD,ed.se,193.13.74.146,SE,SWEDEN,mail.ed.se,se,
Wrong TLD,ed.us,,?,,us,

