Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,foms.netsuite.com,,?,,com,
Character Omission,form.netsuite.com,,?,,com,
Character Omission,forms.etsuite.com,185.53.178.6,,mail.h-email.net,com,
Character Omission,forms.nesuite.com,,?,,com,
Character Omission,forms.netsite.com,,?,,com,
Character Omission,forms.netsuie.com,67.55.92.184,US,UNITED STATES,,com,
Character Omission,forms.netsuit.com,216.157.88.23,H5,,,com,
Character Omission,forms.netsuite.cm,72.52.179.174,US,UNITED STATES,mx156.hostedmxserver.com,cm,
Character Omission,forms.netsute.com,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Omission,forms.netuite.com,67.55.121.97,US,UNITED STATES,,com,
Character Omission,forms.ntsuite.com,,?,,com,
Character Omission,formsnetsuite.com,,?,,com,
Character Omission,fors.netsuite.com,,?,,com,
Character Omission,frms.netsuite.com,,?,,com,
Character Repeat,fforms.netsuite.com,,?,,com,
Character Repeat,foorms.netsuite.com,,?,,com,
Character Repeat,formms.netsuite.com,,?,,com,
Character Repeat,forms.neetsuite.com,,?,,com,
Character Repeat,forms.netssuite.com,52.71.185.125,US,UNITED STATES,,com,
Character Repeat,forms.netsuiite.com,,?,,com,
Character Repeat,forms.netsuitee.com,,?,,com,
Character Repeat,forms.netsuitte.com,,?,,com,
Character Repeat,forms.netsuuite.com,,?,,com,
Character Repeat,forms.nettsuite.com,,?,,com,
Character Repeat,forms.nnetsuite.com,,?,,com,
Character Repeat,formss.netsuite.com,,?,,com,
Character Repeat,forrms.netsuite.com,,?,,com,
Character Swap,fomrs.netsuite.com,,?,,com,
Character Swap,form.snetsuite.com,,?,,com,
Character Swap,forms.entsuite.com,,?,,com,
Character Swap,forms.nestuite.com,69.162.80.55,US,UNITED STATES,,com,
Character Swap,forms.netsiute.com,69.172.201.153,US,UNITED STATES,,com,
Character Swap,forms.netsuiet.com,,?,,com,
Character Swap,forms.netsutie.com,,?,,com,
Character Swap,forms.netusite.com,173.239.22.42,US,UNITED STATES,,com,
Character Swap,forms.ntesuite.com,,?,,com,
Character Swap,formsn.etsuite.com,185.53.178.6,,mail.h-email.net,com,
Character Swap,forsm.netsuite.com,,?,,com,
Character Swap,froms.netsuite.com,,?,,com,
Character Swap,ofrms.netsuite.com,,?,,com,
Character Replacement,dorms.netsuite.com,,?,,com,
Character Replacement,firms.netsuite.com,,?,,com,
Character Replacement,foems.netsuite.com,,?,,com,
Character Replacement,forma.netsuite.com,,?,,com,
Character Replacement,formd.netsuite.com,,?,,com,
Character Replacement,forms.betsuite.com,109.68.33.25,GB,UNITED KINGDOM,,com,
Character Replacement,forms.metsuite.com,,?,,com,
Character Replacement,forms.nersuite.com,,?,,com,
Character Replacement,forms.netauite.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Replacement,forms.netduite.com,,?,,com,
Character Replacement,forms.netsiite.com,,?,,com,
Character Replacement,forms.netsuire.com,,?,,com,
Character Replacement,forms.netsuitr.com,185.53.178.7,,,com,
Character Replacement,forms.netsuitw.com,,?,,com,
Character Replacement,forms.netsuiye.com,,?,,com,
Character Replacement,forms.netsuote.com,,?,,com,
Character Replacement,forms.netsuute.com,,?,,com,
Character Replacement,forms.netsyite.com,,?,,com,
Character Replacement,forms.neysuite.com,,?,,com,
Character Replacement,forms.nrtsuite.com,,?,,com,
Character Replacement,forms.nwtsuite.com,141.8.224.169,CH,SWITZERLAND,,com,
Character Replacement,forns.netsuite.com,,?,,com,
Character Replacement,fotms.netsuite.com,,?,,com,
Character Replacement,fprms.netsuite.com,,?,,com,
Character Replacement,gorms.netsuite.com,,?,,com,
Character Insertion,fdorms.netsuite.com,,?,,com,
Character Insertion,fgorms.netsuite.com,,?,,com,
Character Insertion,foirms.netsuite.com,,?,,com,
Character Insertion,foprms.netsuite.com,,?,,com,
Character Insertion,forems.netsuite.com,,?,,com,
Character Insertion,formns.netsuite.com,,?,,com,
Character Insertion,forms.nbetsuite.com,,?,,com,
Character Insertion,forms.nertsuite.com,,?,,com,
Character Insertion,forms.netrsuite.com,,?,,com,
Character Insertion,forms.netsauite.com,,?,,com,
Character Insertion,forms.netsduite.com,,?,,com,
Character Insertion,forms.netsuiote.com,,?,,com,
Character Insertion,forms.netsuiter.com,,?,,com,
Character Insertion,forms.netsuitew.com,,?,,com,
Character Insertion,forms.netsuitre.com,,?,,com,
Character Insertion,forms.netsuitye.com,,?,,com,
Character Insertion,forms.netsuiute.com,,?,,com,
Character Insertion,forms.netsuyite.com,,?,,com,
Character Insertion,forms.netysuite.com,,?,,com,
Character Insertion,forms.newtsuite.com,,?,,com,
Character Insertion,forms.nmetsuite.com,,?,,com,
Character Insertion,formsa.netsuite.com,,?,,com,
Character Insertion,formsd.netsuite.com,,?,,com,
Character Insertion,fortms.netsuite.com,,?,,com,
Missing Dot,wwwforms.netsuite.com,,?,,com,
Singular or Pluralise,netsuite.com,167.216.129.12,US,UNITED STATES,us-smtp-inbound-2.mimecast.com,com,
Singular or Pluralise,netsuites.com,209.99.64.45,US,UNITED STATES,,com,
Vowel Swap,forms.natsuita.com,,?,,com,
Vowel Swap,forms.netsaite.com,,?,,com,
Vowel Swap,forms.netseite.com,,?,,com,
Vowel Swap,forms.netsoite.com,,?,,com,
Vowel Swap,forms.netsuate.com,,?,,com,
Vowel Swap,forms.netsuete.com,,?,,com,
Vowel Swap,forms.nitsuiti.com,,?,,com,
Vowel Swap,forms.notsuito.com,,?,,com,
Vowel Swap,forms.nutsuitu.com,,?,,com,
Homophones,foarms.netsuite.com,,?,,com,
Homophones,forms.netsuayete.com,,?,,com,
Homophones,forms.netsueyete.com,,?,,com,
Homophones,forms.netsweet.com,72.52.10.14,US,UNITED STATES,,com,
Homophones,fourms.netsuite.com,,?,,com,
Bit Flipping,borms.netsuite.com,,?,,com,
Bit Flipping,fgrms.netsuite.com,,?,,com,
Bit Flipping,fkrms.netsuite.com,,?,,com,
Bit Flipping,fmrms.netsuite.com,,?,,com,
Bit Flipping,fnrms.netsuite.com,,?,,com,
Bit Flipping,fo2ms.netsuite.com,,?,,com,
Bit Flipping,fobms.netsuite.com,,?,,com,
Bit Flipping,fopms.netsuite.com,,?,,com,
Bit Flipping,for-s.netsuite.com,,?,,com,
Bit Flipping,fores.netsuite.com,,?,,com,
Bit Flipping,foris.netsuite.com,,?,,com,
Bit Flipping,forls.netsuite.com,,?,,com,
Bit Flipping,form3.netsuite.com,,?,,com,
Bit Flipping,formc.netsuite.com,,?,,com,
Bit Flipping,formq.netsuite.com,,?,,com,
Bit Flipping,formr.netsuite.com,,?,,com,
Bit Flipping,forms.fetsuite.com,,?,,com,
Bit Flipping,forms.jetsuite.com,,?,,com,
Bit Flipping,forms.letsuite.com,,?,,com,
Bit Flipping,forms.natsuite.com,,?,,com,
Bit Flipping,forms.ndtsuite.com,,?,,com,
Bit Flipping,forms.ne4suite.com,,?,,com,
Bit Flipping,forms.nedsuite.com,,?,,com,
Bit Flipping,forms.nepsuite.com,,?,,com,
Bit Flipping,forms.net3uite.com,,?,,com,
Bit Flipping,forms.netcuite.com,,?,,com,
Bit Flipping,forms.netquite.com,47.91.229.49,Ë,,,com,
Bit Flipping,forms.netruite.com,,?,,com,
Bit Flipping,forms.nets5ite.com,,?,,com,
Bit Flipping,forms.netsqite.com,,?,,com,
Bit Flipping,forms.netstite.com,,?,,com,
Bit Flipping,forms.netsuhte.com,,?,,com,
Bit Flipping,forms.netsui4e.com,,?,,com,
Bit Flipping,forms.netsuide.com,,?,,com,
Bit Flipping,forms.netsuipe.com,,?,,com,
Bit Flipping,forms.netsuita.com,,?,,com,
Bit Flipping,forms.netsuitd.com,,?,,com,
Bit Flipping,forms.netsuitg.com,,?,,com,
Bit Flipping,forms.netsuitm.com,,?,,com,
Bit Flipping,forms.netsuitu.com,,?,,com,
Bit Flipping,forms.netsuiue.com,,?,,com,
Bit Flipping,forms.netsuive.com,,?,,com,
Bit Flipping,forms.netsukte.com,,?,,com,
Bit Flipping,forms.netsumte.com,,?,,com,
Bit Flipping,forms.netsuyte.com,,?,,com,
Bit Flipping,forms.netswite.com,,?,,com,
Bit Flipping,forms.netwuite.com,158.69.143.112,US,UNITED STATES,,com,
Bit Flipping,forms.neusuite.com,,?,,com,
Bit Flipping,forms.nevsuite.com,,?,,com,
Bit Flipping,forms.ngtsuite.com,,?,,com,
Bit Flipping,forms.nmtsuite.com,,?,,com,
Bit Flipping,forms.nutsuite.com,68.178.213.61,US,UNITED STATES,,com,
Bit Flipping,forms.oetsuite.com,,?,,com,
Bit Flipping,formsnnetsuite.com,,?,,com,
Bit Flipping,formw.netsuite.com,,?,,com,
Bit Flipping,foros.netsuite.com,,?,,com,
Bit Flipping,fosms.netsuite.com,,?,,com,
Bit Flipping,fovms.netsuite.com,,?,,com,
Bit Flipping,fozms.netsuite.com,,?,,com,
Bit Flipping,norms.netsuite.com,,?,,com,
Bit Flipping,vorms.netsuite.com,,?,,com,
Homoglyphs,f0rms.netsuite.com,,?,,com,
Homoglyphs,forms.netsulte.com,,?,,com,
Homoglyphs,forrns.netsuite.com,,?,,com,
Wrong TLD,netsuite.ca,,?,,ca,
Wrong TLD,netsuite.ch,194.150.248.172,CH,SWITZERLAND,mx01.tophost.ch,ch,
Wrong TLD,netsuite.de,,?,,de,
Wrong TLD,netsuite.edu,,?,,edu,
Wrong TLD,netsuite.es,185.26.230.129,,relay1.netnames.net,es,
Wrong TLD,netsuite.fr,185.65.56.178,,,fr,
Wrong TLD,netsuite.it,203.27.227.220,AU,AUSTRALIA,mx.dnsassurance.com,it,
Wrong TLD,netsuite.jp,167.216.129.12,US,UNITED STATES,service95-us.mimecast.com,jp,
Wrong TLD,netsuite.net,72.52.4.122,US,UNITED STATES,localhost,net,
Wrong TLD,netsuite.nl,167.216.129.12,US,UNITED STATES,relay2.netnames.net,nl,
Wrong TLD,netsuite.no,,?,,no,
Wrong TLD,netsuite.org,185.26.230.129,,,org,
Wrong TLD,netsuite.ru,89.111.176.193,RU,RUSSIAN FEDERATION,mx.cm.hc.ru,ru,
Wrong TLD,netsuite.se,,?,,se,
Wrong TLD,netsuite.us,69.172.201.153,US,UNITED STATES,,us,

