Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,ha.360.cn,,?,,cn,
Character Omission,hao.30.cn,47.90.82.159,CA,CANADA,,cn,
Character Omission,hao.36.cn,183.3.221.153,CN,CHINA,,cn,
Character Omission,hao.60.cn,47.90.82.159,CA,CANADA,,cn,
Character Omission,hao360.cn,204.128.60.208,US,UNITED STATES,mxbiz2.qq.com,cn,
Character Omission,ho.360.cn,,?,,cn,
Character Repeat,haao.360.cn,,?,,cn,
Character Repeat,hao.3360.cn,,?,,cn,
Character Repeat,hao.3600.cn,101.132.125.79,CN,CHINA,,cn,
Character Repeat,hao.3660.cn,,?,,cn,
Character Repeat,haoo.360.cn,,?,,cn,
Character Repeat,hhao.360.cn,,?,,cn,
Character Swap,aho.360.cn,,?,,cn,
Character Swap,ha.o360.cn,45.78.12.236,,,cn,
Character Swap,hao.306.cn,,?,,cn,
Character Swap,hao.360.nc,,?,,nc,
Character Swap,hao.630.cn,115.29.140.51,CN,CHINA,,cn,
Character Swap,hao3.60.cn,47.90.82.159,CA,CANADA,,cn,
Character Swap,hoa.360.cn,,?,,cn,
Character Replacement,gao.360.cn,,?,,cn,
Character Replacement,hai.360.cn,,?,,cn,
Character Replacement,hao.260.cn,50.117.120.251,US,UNITED STATES,mail.skrimple.com,cn,
Character Replacement,hao.350.cn,23.234.4.153,,,cn,
Character Replacement,hao.36-.cn,,?,,cn,
Character Replacement,hao.360.cm,47.88.136.144,CA,CANADA,,cm,
Character Replacement,hao.360.vn,74.117.114.71,KY,CAYMAN ISLANDS,,vn,
Character Replacement,hao.369.cn,,?,,cn,
Character Replacement,hao.370.cn,,?,,cn,
Character Replacement,hao.460.cn,,?,,cn,
Character Replacement,hap.360.cn,,?,,cn,
Character Replacement,hso.360.cn,,?,,cn,
Character Replacement,jao.360.cn,,?,,cn,
Character Insertion,hao.3260.cn,103.232.215.129,,mail.skrimple.com,cn,
Character Insertion,hao.3460.cn,,?,,cn,
Character Insertion,hao.360-.cn,,?,,cn,
Character Insertion,hao.3609.cn,52.69.166.231,US,UNITED STATES,,cn,
Character Insertion,hao.3650.cn,116.255.212.198,CN,CHINA,,cn,
Character Insertion,hao.3670.cn,23.234.4.151,,,cn,
Character Insertion,haoi.360.cn,,?,,cn,
Character Insertion,haop.360.cn,,?,,cn,
Character Insertion,haso.360.cn,,?,,cn,
Character Insertion,hgao.360.cn,,?,,cn,
Character Insertion,hjao.360.cn,,?,,cn,
Missing Dot,wwwhao.360.cn,,?,,cn,
Singular or Pluralise,360.cn,36.110.213.49,CN,CHINA,tfw.qihoo.net,cn,
Singular or Pluralise,360s.cn,203.78.142.12,IN,INDIA,,cn,
Vowel Swap,haa.360.cn,,?,,cn,
Vowel Swap,hae.360.cn,,?,,cn,
Vowel Swap,hau.360.cn,,?,,cn,
Vowel Swap,heo.360.cn,,?,,cn,
Vowel Swap,hio.360.cn,,?,,cn,
Vowel Swap,hoo.360.cn,,?,,cn,
Vowel Swap,huo.360.cn,,?,,cn,
Bit Flipping,hag.360.cn,,?,,cn,
Bit Flipping,hak.360.cn,,?,,cn,
Bit Flipping,ham.360.cn,,?,,cn,
Bit Flipping,han.360.cn,,?,,cn,
Bit Flipping,hao.160.cn,106.15.92.200,CN,CHINA,,cn,
Bit Flipping,hao.320.cn,210.83.225.173,CN,CHINA,,cn,
Bit Flipping,hao.340.cn,,?,,cn,
Bit Flipping,hao.360.an,,?,,an,
Bit Flipping,hao.360.bn,,?,,bn,
Bit Flipping,hao.360.cf,,?,,cf,
Bit Flipping,hao.360.cl,72.52.4.121,US,UNITED STATES,localhost,cl,
Bit Flipping,hao.360.kn,,?,,kn,
Bit Flipping,hao.360.sn,,?,,sn,
Bit Flipping,hao.361.cn,,?,,cn,
Bit Flipping,hao.362.cn,59.188.9.44,HK,HONG KONG,,cn,
Bit Flipping,hao.364.cn,103.80.25.102,,,cn,
Bit Flipping,hao.368.cn,170.178.178.55,US,UNITED STATES,,cn,
Bit Flipping,hao.36p.cn,,?,,cn,
Bit Flipping,hao.3v0.cn,23.234.27.209,,,cn,
Bit Flipping,hao.760.cn,,?,,cn,
Bit Flipping,hao.s60.cn,,?,,cn,
Bit Flipping,haon360.cn,,?,,cn,
Bit Flipping,hco.360.cn,,?,,cn,
Bit Flipping,hqo.360.cn,,?,,cn,
Bit Flipping,iao.360.cn,,?,,cn,
Bit Flipping,lao.360.cn,,?,,cn,
Bit Flipping,xao.360.cn,,?,,cn,
Homoglyphs,ha0.360.cn,,?,,cn,
Homoglyphs,hao.36o.cn,111.68.12.194,HK,HONG KONG,,cn,
Wrong TLD,360.ca,77.104.139.214,RO,ROMANIA,alt1.aspmx.l.google.com,ca,
Wrong TLD,360.ch,128.65.198.18,ES,SPAIN,aspmx.l.google.com,ch,
Wrong TLD,360.com,180.163.251.93,CN,CHINA,mail.ex.360.cn,com,
Wrong TLD,360.de,185.26.230.129,,relay2.netnames.net,de,
Wrong TLD,360.edu,,?,,edu,
Wrong TLD,360.es,185.26.230.129,,relay2.netnames.net,es,
