Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,mai.google.com,,?,,com,
Character Omission,mail.gogle.com,,?,,com,
Character Omission,mail.googe.com,162.243.10.151,,,com,
Character Omission,mail.googl.com,,?,,com,
Character Omission,mail.google.cm,,?,,cm,
Character Omission,mail.goole.com,,?,,com,
Character Omission,mail.oogle.com,204.9.184.9,US,UNITED STATES,,com,
Character Omission,mailgoogle.com,216.105.44.200,US,UNITED STATES,mailgoogle.com,com,
Character Omission,mal.google.com,,?,,com,
Character Omission,mil.google.com,,?,,com,
Character Repeat,maail.google.com,,?,,com,
Character Repeat,maiil.google.com,,?,,com,
Character Repeat,mail.ggoogle.com,,?,,com,
Character Repeat,mail.googgle.com,,?,,com,
Character Repeat,mail.googlee.com,,?,,com,
Character Repeat,mail.googlle.com,54.221.207.100,US,UNITED STATES,,com,
Character Repeat,mail.gooogle.com,,?,,com,
Character Repeat,maill.google.com,,?,,com,
Character Repeat,mmail.google.com,,?,,com,
Character Swap,amil.google.com,,?,,com,
Character Swap,mai.lgoogle.com,69.162.80.58,US,UNITED STATES,,com,
Character Swap,mail.gogole.com,,?,,com,
Character Swap,mail.googel.com,,?,,com,
Character Swap,mail.goolge.com,,?,,com,
Character Swap,mail.ogogle.com,,?,,com,
Character Swap,mailg.oogle.com,204.9.184.9,US,UNITED STATES,,com,
Character Swap,mali.google.com,,?,,com,
Character Swap,mial.google.com,,?,,com,
Character Replacement,maik.google.com,,?,,com,
Character Replacement,mail.foogle.com,172.217.9.211,US,UNITED STATES,,com,
Character Replacement,mail.giogle.com,52.87.31.142,US,UNITED STATES,,com,
Character Replacement,mail.goigle.com,149.202.120.42,AR,ARGENTINA,,com,
Character Replacement,mail.goofle.com,192.185.39.34,,,com,
Character Replacement,mail.googke.com,,?,,com,
Character Replacement,mail.googlr.com,,?,,com,
Character Replacement,mail.googlw.com,,?,,com,
Character Replacement,mail.goohle.com,184.154.126.179,US,UNITED STATES,,com,
Character Replacement,mail.gopgle.com,69.162.80.60,DE,GERMANY,,com,
Character Replacement,mail.gpogle.com,149.202.120.47,DE,GERMANY,,com,
Character Replacement,mail.hoogle.com,107.180.25.196,,,com,
Character Replacement,maol.google.com,,?,,com,
Character Replacement,maul.google.com,,?,,com,
Character Replacement,msil.google.com,,?,,com,
Character Replacement,nail.google.com,,?,,com,
Double Character Replacement,mail.giigle.com,198.50.233.234,,,com,
Double Character Replacement,mail.gppgle.com,,?,,com,
Character Insertion,mail.gfoogle.com,,?,,com,
Character Insertion,mail.ghoogle.com,,?,,com,
Character Insertion,mail.goiogle.com,,?,,com,
Character Insertion,mail.googfle.com,192.184.12.62,,mx92.m1bp.com,com,
Character Insertion,mail.googhle.com,158.69.143.113,GB,UNITED KINGDOM,,com,
Character Insertion,mail.googler.com,,?,,com,
Character Insertion,mail.googlew.com,98.124.199.73,US,UNITED STATES,,com,
Character Insertion,mail.googlke.com,98.124.199.15,US,UNITED STATES,,com,
Character Insertion,mail.gooigle.com,,?,,com,
