Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,mai.qq.com,,?,,com,
Character Omission,mail.q.com,206.152.134.79,US,UNITED STATES,,com,
Character Omission,mail.qq.cm,47.88.136.144,CA,CANADA,,cm,
Character Omission,mailqq.com,45.113.195.20,,,com,
Character Omission,mal.qq.com,,?,,com,
Character Omission,mil.qq.com,192.70.187.41,US,UNITED STATES,,com,
Character Repeat,maail.qq.com,,?,,com,
Character Repeat,maiil.qq.com,,?,,com,
Character Repeat,mail.qqq.com,,?,,com,
Character Repeat,maill.qq.com,,?,,com,
Character Repeat,mmail.qq.com,,?,,com,
Character Swap,amil.qq.com,,?,,com,
Character Swap,mai.lqq.com,,?,,com,
Character Swap,mailq.q.com,,?,,com,
Character Swap,mali.qq.com,,?,,com,
Character Swap,mial.qq.com,,?,,com,
Character Replacement,maik.qq.com,,?,,com,
Character Replacement,mail.qw.com,206.197.47.11,JP,JAPAN,,com,
Character Replacement,mail.wq.com,,?,,com,
Character Replacement,maol.qq.com,,?,,com,
Character Replacement,maul.qq.com,,?,,com,
Character Replacement,msil.qq.com,,?,,com,
Character Replacement,nail.qq.com,,?,,com,
Double Character Replacement,mail.ww.com,,?,,com,
Character Insertion,mail.qqw.com,123.125.50.215,CN,CHINA,qiye163mx02.mxmail.netease.com,com,
Character Insertion,mail.qwq.com,103.224.182.212,,,com,
Character Insertion,mailk.qq.com,,?,,com,
Character Insertion,maiol.qq.com,,?,,com,
Character Insertion,maiul.qq.com,,?,,com,
Character Insertion,masil.qq.com,,?,,com,
Character Insertion,mnail.qq.com,,?,,com,
Missing Dot,wwwmail.qq.com,,?,,com,
Singular or Pluralise,qq.com,61.135.157.156,CN,CHINA,mx3.qq.com,com,
Singular or Pluralise,qqs.com,69.172.201.153,US,UNITED STATES,,com,
Vowel Swap,maal.qq.com,,?,,com,
Vowel Swap,mael.qq.com,,?,,com,
Vowel Swap,meil.qq.com,,?,,com,
Vowel Swap,miil.qq.com,,?,,com,
Vowel Swap,moil.qq.com,,?,,com,
Vowel Swap,muil.qq.com,,?,,com,
Homophones,maayel.qq.com,,?,,com,
Homophones,maeyel.qq.com,,?,,com,
Homophones,male.qq.com,,?,,com,
Bit Flipping,-ail.qq.com,,?,,com,
Bit Flipping,eail.qq.com,,?,,com,
Bit Flipping,iail.qq.com,,?,,com,
Bit Flipping,lail.qq.com,,?,,com,
Bit Flipping,mahl.qq.com,,?,,com,
Bit Flipping,maid.qq.com,,?,,com,
Bit Flipping,maih.qq.com,,?,,com,
Bit Flipping,mail.1q.com,97.74.135.143,US,UNITED STATES,,com,
Bit Flipping,mail.aq.com,,?,,com,
Bit Flipping,mail.pq.com,,?,,com,
Bit Flipping,mail.q1.com,125.88.151.115,CN,CHINA,,com,
Bit Flipping,mail.qa.com,,?,,com,
Bit Flipping,mail.qp.com,199.59.242.150,CN,CHINA,,com,
Bit Flipping,mail.qs.com,46.51.190.194,IE,IRELAND,,com,
Bit Flipping,mail.qu.com,83.140.162.134,SE,SWEDEN,,com,
Bit Flipping,mail.qy.com,,?,,com,
Bit Flipping,mail.sq.com,,?,,com,
Bit Flipping,mail.uq.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,mail.yq.com,,?,,com,
Bit Flipping,mailnqq.com,,?,,com,
Bit Flipping,maim.qq.com,,?,,com,
Bit Flipping,main.qq.com,,?,,com,
Bit Flipping,makl.qq.com,,?,,com,
Bit Flipping,maml.qq.com,,?,,com,
Bit Flipping,mayl.qq.com,,?,,com,
Bit Flipping,mcil.qq.com,,?,,com,
Bit Flipping,mqil.qq.com,,?,,com,
Bit Flipping,oail.qq.com,,?,,com,
Homoglyphs,mai1.qq.com,,?,,com,
Homoglyphs,mall.qq.com,203.205.158.38,CN,CHINA,,com,
Homoglyphs,rnail.qq.com,,?,,com,
Wrong TLD,qq.ca,141.8.226.57,CH,SWITZERLAND,,ca,
Wrong TLD,qq.ch,,?,,ch,
Wrong TLD,qq.de,,?,,de,
Wrong TLD,qq.edu,,?,,edu,
Wrong TLD,qq.es,,?,,es,
Wrong TLD,qq.fr,95.142.101.112,US,UNITED STATES,mx02.nexthal.com,fr,
Wrong TLD,qq.it,,?,,it,
Wrong TLD,qq.jp,,?,,jp,
Wrong TLD,qq.net,119.147.106.136,кн,,,net,
Wrong TLD,qq.nl,185.53.179.7,,mail.h-email.net,nl,
Wrong TLD,qq.no,217.116.80.12,NO,NORWAY,forward2.registrar.no,no,
Wrong TLD,qq.org,72.52.4.119,US,UNITED STATES,localhost,org,
Wrong TLD,qq.ru,94.79.19.88,RU,RUSSIAN FEDERATION,mail.qq.ru,ru,
Wrong TLD,qq.se,,?,,se,
Wrong TLD,qq.us,,?,,us,

