Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,mney.cnn.com,,?,,com,
Character Omission,moey.cnn.com,,?,,com,
Character Omission,mone.cnn.com,,?,,com,
Character Omission,money.cn.com,,?,,com,
Character Omission,money.cnn.cm,165.160.15.20,UA,UKRAINE,,cm,
Character Omission,money.nn.com,,?,,com,
Character Omission,moneycnn.com,72.52.10.14,E≠,,,com,
Character Omission,mony.cnn.com,,?,,com,
Character Repeat,mmoney.cnn.com,,?,,com,
Character Repeat,moneey.cnn.com,,?,,com,
Character Repeat,money.ccnn.com,199.59.242.150,CN,CHINA,,com,
Character Repeat,money.cnnn.com,,?,,com,
Character Repeat,moneyy.cnn.com,,?,,com,
Character Repeat,monney.cnn.com,,?,,com,
Character Repeat,mooney.cnn.com,,?,,com,
Character Swap,mnoey.cnn.com,,?,,com,
Character Swap,moeny.cnn.com,,?,,com,
Character Swap,mone.ycnn.com,69.172.201.153,US,UNITED STATES,,com,
Character Swap,money.ncn.com,,?,,com,
Character Swap,moneyc.nn.com,,?,,com,
Character Swap,monye.cnn.com,,?,,com,
Character Swap,omney.cnn.com,,?,,com,
Character Replacement,miney.cnn.com,,?,,com,
Character Replacement,mobey.cnn.com,,?,,com,
Character Replacement,momey.cnn.com,,?,,com,
Character Replacement,monet.cnn.com,,?,,com,
Character Replacement,moneu.cnn.com,,?,,com,
Character Replacement,money.cbn.com,,?,,com,
Character Replacement,money.cmn.com,,?,,com,
Character Replacement,money.cnb.com,,?,,com,
Character Replacement,money.cnm.com,,?,,com,
Character Replacement,money.vnn.com,72.52.4.120,US,UNITED STATES,localhost,com,
Character Replacement,money.xnn.com,69.172.201.153,US,UNITED STATES,,com,
Character Replacement,monry.cnn.com,,?,,com,
Character Replacement,monwy.cnn.com,,?,,com,
Character Replacement,mpney.cnn.com,,?,,com,
Character Replacement,noney.cnn.com,,?,,com,
Double Character Replacement,money.cbb.com,,?,,com,
Double Character Replacement,money.cmm.com,,?,,com,
Character Insertion,mnoney.cnn.com,,?,,com,
Character Insertion,moiney.cnn.com,,?,,com,
Character Insertion,monbey.cnn.com,,?,,com,
Character Insertion,monery.cnn.com,,?,,com,
Character Insertion,monewy.cnn.com,,?,,com,
Character Insertion,money.cnbn.com,167.114.156.214,US,UNITED STATES,,com,
Character Insertion,money.cnmn.com,47.89.194.64,CA,CANADA,,com,
