Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,nbi.nlm.nih.gov,,?,,gov,
Character Omission,ncb.nlm.nih.gov,,?,,gov,
Character Omission,ncbi.lm.nih.gov,,?,,gov,
Character Omission,ncbi.nl.nih.gov,,?,,gov,
Character Omission,ncbi.nlm.ih.gov,,?,,gov,
Character Omission,ncbi.nlm.nh.gov,,?,,gov,
Character Omission,ncbi.nlm.ni.gov,,?,,gov,
Character Omission,ncbi.nlmnih.gov,,?,,gov,
Character Omission,ncbi.nm.nih.gov,,?,,gov,
Character Omission,ncbinlm.nih.gov,,?,,gov,
Character Omission,nci.nlm.nih.gov,,?,,gov,
Character Repeat,ncbbi.nlm.nih.gov,,?,,gov,
Character Repeat,ncbi.nllm.nih.gov,,?,,gov,
Character Repeat,ncbi.nlm.nihh.gov,,?,,gov,
Character Repeat,ncbi.nlm.niih.gov,,?,,gov,
Character Repeat,ncbi.nlm.nnih.gov,,?,,gov,
Character Repeat,ncbi.nlmm.nih.gov,,?,,gov,
Character Repeat,ncbi.nnlm.nih.gov,,?,,gov,
Character Repeat,ncbii.nlm.nih.gov,,?,,gov,
Character Repeat,nccbi.nlm.nih.gov,,?,,gov,
Character Repeat,nncbi.nlm.nih.gov,,?,,gov,
Character Swap,cnbi.nlm.nih.gov,,?,,gov,
Character Swap,nbci.nlm.nih.gov,,?,,gov,
Character Swap,ncb.inlm.nih.gov,,?,,gov,
Character Swap,ncbi.lnm.nih.gov,,?,,gov,
Character Swap,ncbi.nl.mnih.gov,,?,,gov,
Character Swap,ncbi.nlm.inh.gov,,?,,gov,
Character Swap,ncbi.nlm.nhi.gov,,?,,gov,
Character Swap,ncbi.nlmn.ih.gov,,?,,gov,
Character Swap,ncbi.nml.nih.gov,,?,,gov,
Character Swap,ncbin.lm.nih.gov,,?,,gov,
Character Swap,ncib.nlm.nih.gov,,?,,gov,
Character Replacement,bcbi.nlm.nih.gov,,?,,gov,
Character Replacement,mcbi.nlm.nih.gov,,?,,gov,
Character Replacement,ncbi.blm.nih.gov,,?,,gov,
Character Replacement,ncbi.mlm.nih.gov,,?,,gov,
Character Replacement,ncbi.nkm.nih.gov,,?,,gov,
Character Replacement,ncbi.nlm.bih.gov,,?,,gov,
Character Replacement,ncbi.nlm.mih.gov,,?,,gov,
Character Replacement,ncbi.nlm.nig.gov,,?,,gov,
Character Replacement,ncbi.nlm.nij.gov,,?,,gov,
Character Replacement,ncbi.nlm.noh.gov,,?,,gov,
