Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,nchd.nih.gov,,?,,gov,
Character Omission,nicd.nih.gov,,?,,gov,
Character Omission,nich.nih.gov,,?,,gov,
Character Omission,nichd.ih.gov,,?,,gov,
Character Omission,nichd.nh.gov,,?,,gov,
Character Omission,nichd.ni.gov,,?,,gov,
Character Omission,nichdnih.gov,,?,,gov,
Character Omission,nihd.nih.gov,,?,,gov,
Character Repeat,nicchd.nih.gov,,?,,gov,
Character Repeat,nichd.nihh.gov,,?,,gov,
Character Repeat,nichd.niih.gov,,?,,gov,
Character Repeat,nichd.nnih.gov,,?,,gov,
Character Repeat,nichdd.nih.gov,,?,,gov,
Character Repeat,nichhd.nih.gov,,?,,gov,
Character Repeat,niichd.nih.gov,,?,,gov,
Character Repeat,nnichd.nih.gov,,?,,gov,
Character Swap,inchd.nih.gov,,?,,gov,
Character Swap,ncihd.nih.gov,,?,,gov,
Character Swap,nicdh.nih.gov,,?,,gov,
Character Swap,nich.dnih.gov,,?,,gov,
Character Swap,nichd.inh.gov,,?,,gov,
Character Swap,nichd.nhi.gov,,?,,gov,
Character Swap,nichdn.ih.gov,,?,,gov,
Character Swap,nihcd.nih.gov,,?,,gov,
Character Replacement,bichd.nih.gov,,?,,gov,
Character Replacement,michd.nih.gov,,?,,gov,
Character Replacement,nicgd.nih.gov,,?,,gov,
Character Replacement,nichd.bih.gov,,?,,gov,
Character Replacement,nichd.mih.gov,,?,,gov,
Character Replacement,nichd.nig.gov,,?,,gov,
Character Replacement,nichd.nij.gov,,?,,gov,
Character Replacement,nichd.noh.gov,,?,,gov,
Character Replacement,nichd.nuh.gov,,?,,gov,
Character Replacement,nichf.nih.gov,,?,,gov,
Character Replacement,nichs.nih.gov,,?,,gov,
Character Replacement,nicjd.nih.gov,,?,,gov,
Character Replacement,nivhd.nih.gov,,?,,gov,
Character Replacement,nixhd.nih.gov,,?,,gov,
Character Replacement,nochd.nih.gov,,?,,gov,
Character Replacement,nuchd.nih.gov,,?,,gov,
Character Insertion,nbichd.nih.gov,,?,,gov,
Character Insertion,nichd.nbih.gov,,?,,gov,
Character Insertion,nichd.nihg.gov,,?,,gov,
Character Insertion,nichd.nihj.gov,,?,,gov,
Character Insertion,nichd.nioh.gov,,?,,gov,
Character Insertion,nichd.niuh.gov,,?,,gov,
Character Insertion,nichd.nmih.gov,,?,,gov,
Character Insertion,nichdf.nih.gov,,?,,gov,
Character Insertion,nichds.nih.gov,,?,,gov,
Character Insertion,nichgd.nih.gov,,?,,gov,
Character Insertion,nichjd.nih.gov,,?,,gov,
Character Insertion,nicvhd.nih.gov,,?,,gov,
Character Insertion,nicxhd.nih.gov,,?,,gov,
Character Insertion,niochd.nih.gov,,?,,gov,
Character Insertion,niuchd.nih.gov,,?,,gov,
Character Insertion,nmichd.nih.gov,,?,,gov,
Missing Dot,wwwnichd.nih.gov,,?,,gov,
Singular or Pluralise,nih.gov,54.235.145.223,DK,DENMARK,nihcesxwayb01.hub.nih.gov,gov,
Singular or Pluralise,nihs.gov,,?,,gov,
Vowel Swap,nachd.nah.gov,,?,,gov,
Vowel Swap,nechd.neh.gov,,?,,gov,
Vowel Swap,nochd.noh.gov,,?,,gov,
Vowel Swap,nuchd.nuh.gov,,?,,gov,
Homophones,nayechd.nayeh.gov,,?,,gov,
Homophones,neyechd.neyeh.gov,,?,,gov,
Bit Flipping,.ichd.nih.gov,,?,,gov,
Bit Flipping,fichd.nih.gov,,?,,gov,
Bit Flipping,jichd.nih.gov,,?,,gov,
Bit Flipping,lichd.nih.gov,,?,,gov,
Bit Flipping,nachd.nih.gov,,?,,gov,
Bit Flipping,nhchd.nih.gov,,?,,gov,
Bit Flipping,niahd.nih.gov,,?,,gov,
Bit Flipping,nibhd.nih.gov,,?,,gov,
Bit Flipping,nichd.fih.gov,,?,,gov,
Bit Flipping,nichd.jih.gov,,?,,gov,
Bit Flipping,nichd.lih.gov,,?,,gov,
Bit Flipping,nichd.nah.gov,,?,,gov,
Bit Flipping,nichd.nhh.gov,,?,,gov,
Bit Flipping,nichd.nii.gov,,?,,gov,
Bit Flipping,nichd.nil.gov,,?,,gov,
Bit Flipping,nichd.nix.gov,,?,,gov,
Bit Flipping,nichd.nkh.gov,,?,,gov,
Bit Flipping,nichd.nmh.gov,,?,,gov,
Bit Flipping,nichd.nyh.gov,,?,,gov,
Bit Flipping,nichd.oih.gov,,?,,gov,
Bit Flipping,nichdnnih.gov,,?,,gov,
Bit Flipping,niche.nih.gov,,?,,gov,
Bit Flipping,nichl.nih.gov,,?,,gov,
Bit Flipping,nicht.nih.gov,,?,,gov,
Bit Flipping,nicid.nih.gov,,?,,gov,
Bit Flipping,nicld.nih.gov,,?,,gov,
Bit Flipping,nicxd.nih.gov,,?,,gov,
Bit Flipping,nighd.nih.gov,,?,,gov,
Bit Flipping,nikhd.nih.gov,,?,,gov,
Bit Flipping,nishd.nih.gov,,?,,gov,
Bit Flipping,nkchd.nih.gov,,?,,gov,
Bit Flipping,nmchd.nih.gov,,?,,gov,
Bit Flipping,nychd.nih.gov,,?,,gov,
Bit Flipping,oichd.nih.gov,,?,,gov,
Homoglyphs,nichcl.nih.gov,,?,,gov,
Homoglyphs,nichd.nlh.gov,,?,,gov,
Homoglyphs,nlchd.nih.gov,,?,,gov,
Homoglyphs,nlchd.nlh.gov,,?,,gov,
Wrong TLD,nih.ca,144.217.8.75,ES,SPAIN,aspmx3.googlemail.com,ca,
Wrong TLD,nih.ch,72.52.4.90,US,UNITED STATES,mailgw.ns36.de,ch,
Wrong TLD,nih.com,54.235.145.223,US,UNITED STATES,nihcesxwayb01.hub.nih.gov,com,
Wrong TLD,nih.de,81.169.145.161,DE,GERMANY,smtp.rzone.de,de,
Wrong TLD,nih.edu,,?,,edu,
Wrong TLD,nih.es,72.52.4.122,US,UNITED STATES,localhost,es,
Wrong TLD,nih.fr,72.52.4.122,MÞ,,localhost,fr,
Wrong TLD,nih.it,69.172.201.153,US,UNITED STATES,,it,
Wrong TLD,nih.jp,,?,,jp,
Wrong TLD,nih.net,69.172.201.153,US,UNITED STATES,,net,
Wrong TLD,nih.nl,,?,mx-1.mf.surf.net,nl,
Wrong TLD,nih.no,158.36.215.234,NO,NORWAY,symgw01.nih.no,no,
Wrong TLD,nih.org,12.150.248.39,US,UNITED STATES,msgctr2.nih.org,org,
Wrong TLD,nih.ru,77.222.40.105,RU,RUSSIAN FEDERATION,mx2.spaceweb.ru,ru,
Wrong TLD,nih.se,109.74.4.246,SE,SWEDEN,mail.parking.se,se,
Wrong TLD,nih.us,,?,,us,

