Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,nddk.nih.gov,,?,,gov,
Character Omission,nidd.nih.gov,,?,,gov,
Character Omission,niddk.ih.gov,,?,,gov,
Character Omission,niddk.nh.gov,,?,,gov,
Character Omission,niddk.ni.gov,,?,,gov,
Character Omission,niddknih.gov,,?,,gov,
Character Omission,nidk.nih.gov,,?,,gov,
Character Repeat,nidddk.nih.gov,,?,,gov,
Character Repeat,niddk.nihh.gov,,?,,gov,
Character Repeat,niddk.niih.gov,,?,,gov,
Character Repeat,niddk.nnih.gov,,?,,gov,
Character Repeat,niddkk.nih.gov,,?,,gov,
Character Repeat,niiddk.nih.gov,,?,,gov,
Character Repeat,nniddk.nih.gov,,?,,gov,
Character Swap,inddk.nih.gov,,?,,gov,
Character Swap,ndidk.nih.gov,,?,,gov,
Character Swap,nidd.knih.gov,,?,,gov,
Character Swap,niddk.inh.gov,,?,,gov,
Character Swap,niddk.nhi.gov,,?,,gov,
Character Swap,niddkn.ih.gov,,?,,gov,
Character Swap,nidkd.nih.gov,,?,,gov,
Character Replacement,biddk.nih.gov,,?,,gov,
Character Replacement,middk.nih.gov,,?,,gov,
Character Replacement,niddj.nih.gov,,?,,gov,
Character Replacement,niddk.bih.gov,,?,,gov,
Character Replacement,niddk.mih.gov,,?,,gov,
Character Replacement,niddk.nig.gov,,?,,gov,
Character Replacement,niddk.nij.gov,,?,,gov,
Character Replacement,niddk.noh.gov,,?,,gov,
Character Replacement,niddk.nuh.gov,,?,,gov,
Character Replacement,niddl.nih.gov,,?,,gov,
Character Replacement,nidfk.nih.gov,,?,,gov,
Character Replacement,nidsk.nih.gov,,?,,gov,
Character Replacement,nifdk.nih.gov,,?,,gov,
Character Replacement,nisdk.nih.gov,,?,,gov,
Character Replacement,noddk.nih.gov,,?,,gov,
Character Replacement,nuddk.nih.gov,,?,,gov,
Double Character Replacement,niffk.nih.gov,,?,,gov,
Double Character Replacement,nissk.nih.gov,,?,,gov,
Character Insertion,nbiddk.nih.gov,,?,,gov,
Character Insertion,niddfk.nih.gov,,?,,gov,
Character Insertion,niddk.nbih.gov,,?,,gov,
Character Insertion,niddk.nihg.gov,,?,,gov,
Character Insertion,niddk.nihj.gov,,?,,gov,
Character Insertion,niddk.nioh.gov,,?,,gov,
Character Insertion,niddk.niuh.gov,,?,,gov,
Character Insertion,niddk.nmih.gov,,?,,gov,
Character Insertion,niddkj.nih.gov,,?,,gov,
Character Insertion,niddkl.nih.gov,,?,,gov,
Character Insertion,niddsk.nih.gov,,?,,gov,
Character Insertion,nidfdk.nih.gov,,?,,gov,
Character Insertion,nidsdk.nih.gov,,?,,gov,
Character Insertion,nioddk.nih.gov,,?,,gov,
Character Insertion,niuddk.nih.gov,,?,,gov,
Character Insertion,nmiddk.nih.gov,,?,,gov,
