Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,oline.citi.com,,?,,com,
Character Omission,onine.citi.com,,?,,com,
Character Omission,onlie.citi.com,,?,,com,
Character Omission,onlin.citi.com,,?,,com,
Character Omission,online.cii.com,75.126.102.249,US,UNITED STATES,,com,
Character Omission,online.cit.com,,?,,com,
Character Omission,online.citi.cm,,?,,cm,
Character Omission,online.cti.com,,?,,com,
Character Omission,online.iti.com,64.55.172.199,US,UNITED STATES,,com,
Character Omission,onlineciti.com,207.148.248.143,US,UNITED STATES,,com,
Character Omission,onlne.citi.com,,?,,com,
Character Repeat,onliine.citi.com,,?,,com,
Character Repeat,online.cciti.com,103.224.182.252,,mx92.mb5p.com,com,
Character Repeat,online.ciiti.com,158.69.143.113,US,UNITED STATES,,com,
Character Repeat,online.citii.com,185.53.178.8,,mail.h-email.net,com,
Character Repeat,online.citti.com,,?,,com,
Character Repeat,onlinee.citi.com,,?,,com,
Character Repeat,onlinne.citi.com,,?,,com,
Character Repeat,onlline.citi.com,,?,,com,
Character Repeat,onnline.citi.com,,?,,com,
Character Repeat,oonline.citi.com,,?,,com,
Character Swap,noline.citi.com,,?,,com,
Character Swap,olnine.citi.com,,?,,com,
Character Swap,onilne.citi.com,,?,,com,
Character Swap,onlien.citi.com,,?,,com,
Character Swap,onlin.eciti.com,67.207.216.211,US,UNITED STATES,,com,
Character Swap,online.ciit.com,69.172.201.153,US,UNITED STATES,,com,
Character Swap,online.ctii.com,206.40.233.165,US,UNITED STATES,,com,
Character Swap,online.icti.com,,?,,com,
Character Swap,onlinec.iti.com,,?,,com,
Character Swap,onlnie.citi.com,,?,,com,
Character Replacement,inline.citi.com,,?,,com,
Character Replacement,obline.citi.com,,?,,com,
Character Replacement,omline.citi.com,,?,,com,
Character Replacement,onkine.citi.com,,?,,com,
Character Replacement,onlibe.citi.com,,?,,com,
Character Replacement,onlime.citi.com,,?,,com,
Character Replacement,online.ciri.com,,?,,com,
Character Replacement,online.cito.com,,?,,com,
Character Replacement,online.citu.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Replacement,online.ciyi.com,,?,,com,
Character Replacement,online.coti.com,,?,,com,
Character Replacement,online.cuti.com,176.74.176.187,UA,UKRAINE,,com,
