Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,peronal.rbs.co.uk,,?,,co.uk,
Character Omission,persnal.rbs.co.uk,,?,,co.uk,
Character Omission,persoal.rbs.co.uk,,?,,co.uk,
Character Omission,persona.rbs.co.uk,,?,,co.uk,
Character Omission,personal.bs.co.uk,52.58.78.16,US,UNITED STATES,mail.mailer-host.com,co.uk,
Character Omission,personal.rb.co.uk,,?,,co.uk,
Character Omission,personal.rs.co.uk,,?,,co.uk,
Character Omission,personalrbs.co.uk,,?,,co.uk,
Character Omission,personl.rbs.co.uk,,?,,co.uk,
Character Omission,pesonal.rbs.co.uk,,?,,co.uk,
Character Omission,prsonal.rbs.co.uk,,?,,co.uk,
Character Repeat,peersonal.rbs.co.uk,,?,,co.uk,
Character Repeat,perrsonal.rbs.co.uk,,?,,co.uk,
Character Repeat,personaal.rbs.co.uk,,?,,co.uk,
Character Repeat,personal.rbbs.co.uk,83.170.69.51,GB,UNITED KINGDOM,mx.rbbs.co.uk.cust.a.hostedemail.com,co.uk,
Character Repeat,personal.rbss.co.uk,,?,,co.uk,
Character Repeat,personal.rrbs.co.uk,,?,,co.uk,
Character Repeat,personall.rbs.co.uk,,?,,co.uk,
Character Repeat,personnal.rbs.co.uk,,?,,co.uk,
Character Repeat,persoonal.rbs.co.uk,,?,,co.uk,
Character Repeat,perssonal.rbs.co.uk,,?,,co.uk,
Character Repeat,ppersonal.rbs.co.uk,,?,,co.uk,
Character Swap,eprsonal.rbs.co.uk,,?,,co.uk,
Character Swap,perosnal.rbs.co.uk,,?,,co.uk,
Character Swap,persnoal.rbs.co.uk,,?,,co.uk,
Character Swap,persoanl.rbs.co.uk,,?,,co.uk,
Character Swap,persona.lrbs.co.uk,,?,,co.uk,
Character Swap,personal.brs.co.uk,,?,,co.uk,
Character Swap,personal.rsb.co.uk,,?,,co.uk,
Character Swap,personalr.bs.co.uk,52.58.78.16,US,UNITED STATES,mail.mailer-host.com,co.uk,
Character Swap,personla.rbs.co.uk,,?,,co.uk,
Character Swap,pesronal.rbs.co.uk,,?,,co.uk,
Character Swap,presonal.rbs.co.uk,,?,,co.uk,
Character Replacement,oersonal.rbs.co.uk,,?,,co.uk,
Character Replacement,peesonal.rbs.co.uk,,?,,co.uk,
Character Replacement,peraonal.rbs.co.uk,,?,,co.uk,
Character Replacement,perdonal.rbs.co.uk,,?,,co.uk,
Character Replacement,persinal.rbs.co.uk,,?,,co.uk,
Character Replacement,persobal.rbs.co.uk,,?,,co.uk,
Character Replacement,persomal.rbs.co.uk,,?,,co.uk,
Character Replacement,personak.rbs.co.uk,,?,,co.uk,
Character Replacement,personal.ebs.co.uk,,?,,co.uk,
Character Replacement,personal.rba.co.uk,,?,,co.uk,
Character Replacement,personal.rbd.co.uk,77.68.43.120,GB,UNITED KINGDOM,,co.uk,
Character Replacement,personal.rns.co.uk,217.199.187.65,GB,UNITED KINGDOM,,co.uk,
Character Replacement,personal.rvs.co.uk,,?,,co.uk,
Character Replacement,personal.tbs.co.uk,,?,,co.uk,
Character Replacement,personsl.rbs.co.uk,,?,,co.uk,
Character Replacement,perspnal.rbs.co.uk,,?,,co.uk,
Character Replacement,petsonal.rbs.co.uk,,?,,co.uk,
Character Replacement,prrsonal.rbs.co.uk,,?,,co.uk,
Character Replacement,pwrsonal.rbs.co.uk,,?,,co.uk,
Character Insertion,peresonal.rbs.co.uk,,?,,co.uk,
Character Insertion,persaonal.rbs.co.uk,,?,,co.uk,
Character Insertion,persdonal.rbs.co.uk,,?,,co.uk,
Character Insertion,persoinal.rbs.co.uk,,?,,co.uk,
Character Insertion,personal.rbns.co.uk,,?,,co.uk,
Character Insertion,personal.rbsa.co.uk,,?,,co.uk,
Character Insertion,personal.rbsd.co.uk,216.21.239.197,US,UNITED STATES,,co.uk,
Character Insertion,personal.rbvs.co.uk,,?,,co.uk,
Character Insertion,personal.rebs.co.uk,139.59.181.152,AU,AUSTRALIA,,co.uk,
Character Insertion,personal.rtbs.co.uk,195.62.28.41,GB,UNITED KINGDOM,mail3.eqx.gridhost.co.uk,co.uk,
Character Insertion,personalk.rbs.co.uk,,?,,co.uk,
Character Insertion,personasl.rbs.co.uk,,?,,co.uk,
Character Insertion,personbal.rbs.co.uk,,?,,co.uk,
Character Insertion,personmal.rbs.co.uk,,?,,co.uk,
Character Insertion,persopnal.rbs.co.uk,,?,,co.uk,
Character Insertion,pertsonal.rbs.co.uk,,?,,co.uk,
Character Insertion,pewrsonal.rbs.co.uk,,?,,co.uk,
Character Insertion,poersonal.rbs.co.uk,,?,,co.uk,
Missing Dot,wwwpersonal.rbs.co.uk,,?,,co.uk,
Singular or Pluralise,rb.co.uk,165.160.15.20,US,UNITED STATES,,co.uk,
Singular or Pluralise,rbs.co.uk,155.136.80.222,GB,UNITED KINGDOM,mail01.rbs.com,co.uk,
Common Misspelling,personel.rbs.co.uk,,?,,co.uk,
Vowel Swap,parsonal.rbs.co.uk,,?,,co.uk,
Vowel Swap,personil.rbs.co.uk,,?,,co.uk,
Vowel Swap,personol.rbs.co.uk,,?,,co.uk,
Vowel Swap,personul.rbs.co.uk,,?,,co.uk,
Vowel Swap,pirsonal.rbs.co.uk,,?,,co.uk,
Vowel Swap,porsonal.rbs.co.uk,,?,,co.uk,
Vowel Swap,pursonal.rbs.co.uk,,?,,co.uk,
Homophones,persewnal.rbs.co.uk,,?,,co.uk,
Homophones,persownal.rbs.co.uk,,?,,co.uk,
Homophones,persunal.rbs.co.uk,,?,,co.uk,
Homophones,purrsonal.rbs.co.uk,,?,,co.uk,
Bit Flipping,0ersonal.rbs.co.uk,,?,,co.uk,
Bit Flipping,pdrsonal.rbs.co.uk,,?,,co.uk,
Bit Flipping,pe2sonal.rbs.co.uk,,?,,co.uk,
Bit Flipping,pebsonal.rbs.co.uk,,?,,co.uk,
Bit Flipping,pepsonal.rbs.co.uk,,?,,co.uk,
Bit Flipping,per3onal.rbs.co.uk,,?,,co.uk,
Bit Flipping,perconal.rbs.co.uk,,?,,co.uk,
Bit Flipping,perqonal.rbs.co.uk,,?,,co.uk,
Bit Flipping,perronal.rbs.co.uk,,?,,co.uk,
Bit Flipping,persgnal.rbs.co.uk,,?,,co.uk,
Bit Flipping,persknal.rbs.co.uk,,?,,co.uk,
Bit Flipping,persmnal.rbs.co.uk,,?,,co.uk,
Bit Flipping,persnnal.rbs.co.uk,,?,,co.uk,
Bit Flipping,perso.al.rbs.co.uk,,?,,co.uk,
Bit Flipping,persofal.rbs.co.uk,,?,,co.uk,
Bit Flipping,persojal.rbs.co.uk,,?,,co.uk,
Bit Flipping,persolal.rbs.co.uk,,?,,co.uk,
Bit Flipping,personad.rbs.co.uk,,?,,co.uk,
Bit Flipping,personah.rbs.co.uk,,?,,co.uk,
Bit Flipping,personal.2bs.co.uk,,?,,co.uk,
Bit Flipping,personal.bbs.co.uk,217.174.253.4,US,UNITED STATES,,co.uk,
Bit Flipping,personal.pbs.co.uk,94.136.40.103,CA,CANADA,,co.uk,
Bit Flipping,personal.rb3.co.uk,,?,,co.uk,
Bit Flipping,personal.rbc.co.uk,,?,,co.uk,
Bit Flipping,personal.rbq.co.uk,,?,,co.uk,
Bit Flipping,personal.rbr.co.uk,,?,cluster8.eu.messagelabs.com,co.uk,
Bit Flipping,personal.rbs.co.tk,,?,,tk,
Bit Flipping,personal.rbw.co.uk,,?,,co.uk,
Bit Flipping,personal.rcs.co.uk,185.53.178.8,,mail.h-email.net,co.uk,
Bit Flipping,personal.rfs.co.uk,,?,,co.uk,
Bit Flipping,personal.rjs.co.uk,,?,,co.uk,
Bit Flipping,personal.rrs.co.uk,,?,,co.uk,
Bit Flipping,personal.sbs.co.uk,,?,,co.uk,
Bit Flipping,personal.vbs.co.uk,,?,,co.uk,
Bit Flipping,personal.zbs.co.uk,,?,,co.uk,
Bit Flipping,personalnrbs.co.uk,,?,,co.uk,
Bit Flipping,personam.rbs.co.uk,,?,,co.uk,
Bit Flipping,personan.rbs.co.uk,,?,,co.uk,
Bit Flipping,personcl.rbs.co.uk,,?,,co.uk,
Bit Flipping,personql.rbs.co.uk,,?,,co.uk,
