Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,pos.japanpost.jp,,?,,jp,
Character Omission,post.apanpost.jp,,?,,jp,
Character Omission,post.jaanpost.jp,,?,,jp,
Character Omission,post.japanost.jp,,?,,jp,
Character Omission,post.japanpos.jp,,?,,jp,
Character Omission,post.japanpot.jp,,?,,jp,
Character Omission,post.japanpst.jp,,?,,jp,
Character Omission,post.japapost.jp,,?,,jp,
Character Omission,post.japnpost.jp,,?,,jp,
Character Omission,post.jpanpost.jp,,?,,jp,
Character Omission,postjapanpost.jp,72.52.4.119,US,UNITED STATES,localhost,jp,
Character Omission,pot.japanpost.jp,,?,,jp,
Character Omission,pst.japanpost.jp,,?,,jp,
Character Repeat,poost.japanpost.jp,,?,,jp,
Character Repeat,posst.japanpost.jp,,?,,jp,
Character Repeat,post.jaapanpost.jp,,?,,jp,
Character Repeat,post.japaanpost.jp,,?,,jp,
Character Repeat,post.japannpost.jp,,?,,jp,
Character Repeat,post.japanpoost.jp,,?,,jp,
Character Repeat,post.japanposst.jp,,?,,jp,
Character Repeat,post.japanpostt.jp,,?,,jp,
Character Repeat,post.japanppost.jp,,?,,jp,
Character Repeat,post.jappanpost.jp,,?,,jp,
Character Repeat,post.jjapanpost.jp,,?,,jp,
Character Repeat,postt.japanpost.jp,,?,,jp,
Character Repeat,ppost.japanpost.jp,,?,,jp,
Character Swap,opst.japanpost.jp,,?,,jp,
Character Swap,pos.tjapanpost.jp,,?,,jp,
Character Swap,post.ajpanpost.jp,,?,,jp,
Character Swap,post.jaapnpost.jp,,?,,jp,
Character Swap,post.japanopst.jp,,?,,jp,
Character Swap,post.japanpots.jp,,?,,jp,
Character Swap,post.japanpsot.jp,,?,,jp,
Character Swap,post.japapnost.jp,,?,,jp,
Character Swap,post.japnapost.jp,,?,,jp,
Character Swap,post.jpaanpost.jp,,?,,jp,
Character Swap,postj.apanpost.jp,,?,,jp,
Character Swap,pots.japanpost.jp,,?,,jp,
Character Swap,psot.japanpost.jp,,?,,jp,
Character Replacement,oost.japanpost.jp,,?,,jp,
Character Replacement,pist.japanpost.jp,,?,,jp,
Character Replacement,poat.japanpost.jp,,?,,jp,
Character Replacement,podt.japanpost.jp,,?,,jp,
Character Replacement,posr.japanpost.jp,,?,,jp,
Character Replacement,post.hapanpost.jp,,?,,jp,
Character Replacement,post.jaoanpost.jp,,?,,jp,
Character Replacement,post.japabpost.jp,,?,,jp,
Character Replacement,post.japampost.jp,,?,,jp,
Character Replacement,post.japanoost.jp,,?,,jp,
Character Replacement,post.japanpist.jp,,?,,jp,
Character Replacement,post.japanpoat.jp,,?,,jp,
Character Replacement,post.japanpodt.jp,,?,,jp,
Character Replacement,post.japanposr.jp,,?,,jp,
Character Replacement,post.japanpost.jo,,?,,jo,
Character Replacement,post.japanpost.kp,,?,,kp,
Character Replacement,post.japanposy.jp,,?,,jp,
Character Replacement,post.japanppst.jp,,?,,jp,
Character Replacement,post.japsnpost.jp,,?,,jp,
Character Replacement,post.jspanpost.jp,,?,,jp,
Character Replacement,post.kapanpost.jp,,?,,jp,
Character Replacement,posy.japanpost.jp,,?,,jp,
Character Replacement,ppst.japanpost.jp,,?,,jp,
Character Insertion,poist.japanpost.jp,,?,,jp,
Character Insertion,popst.japanpost.jp,,?,,jp,
Character Insertion,posat.japanpost.jp,,?,,jp,
Character Insertion,posdt.japanpost.jp,,?,,jp,
Character Insertion,post.japanbpost.jp,,?,,jp,
Character Insertion,post.japanmpost.jp,,?,,jp,
Character Insertion,post.japanpoist.jp,,?,,jp,
Character Insertion,post.japanpopst.jp,,?,,jp,
Character Insertion,post.japanposat.jp,,?,,jp,
Character Insertion,post.japanposdt.jp,,?,,jp,
Character Insertion,post.japanpostr.jp,,?,,jp,
Character Insertion,post.japanposty.jp,,?,,jp,
Character Insertion,post.japasnpost.jp,,?,,jp,
Character Insertion,post.japoanpost.jp,,?,,jp,
Character Insertion,post.jaspanpost.jp,,?,,jp,
Character Insertion,post.jhapanpost.jp,,?,,jp,
Character Insertion,post.jkapanpost.jp,,?,,jp,
Character Insertion,postr.japanpost.jp,,?,,jp,
Character Insertion,posty.japanpost.jp,,?,,jp,
Missing Dot,wwwpost.japanpost.jp,,?,,jp,
Singular or Pluralise,japanpost.jp,,?,,jp,
Singular or Pluralise,japanposts.jp,,?,,jp,
Vowel Swap,past.japanpast.jp,,?,,jp,
Vowel Swap,pest.japanpest.jp,,?,,jp,
