Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,scatch.mit.edu,,?,,edu,
Character Omission,scrach.mit.edu,,?,,edu,
Character Omission,scratc.mit.edu,,?,,edu,
Character Omission,scratch.it.edu,,?,,edu,
Character Omission,scratch.mi.edu,,?,,edu,
Character Omission,scratch.mit.eu,,?,,eu,
Character Omission,scratch.mt.edu,,?,,edu,
Character Omission,scratchmit.edu,,?,,edu,
Character Omission,scrath.mit.edu,,?,,edu,
Character Omission,scrtch.mit.edu,,?,,edu,
Character Omission,sratch.mit.edu,,?,,edu,
Character Repeat,sccratch.mit.edu,,?,,edu,
Character Repeat,scraatch.mit.edu,,?,,edu,
Character Repeat,scratcch.mit.edu,,?,,edu,
Character Repeat,scratch.miit.edu,,?,,edu,
Character Repeat,scratch.mitt.edu,,?,,edu,
Character Repeat,scratch.mmit.edu,,?,,edu,
Character Repeat,scratchh.mit.edu,,?,,edu,
Character Repeat,scrattch.mit.edu,,?,,edu,
Character Repeat,scrratch.mit.edu,,?,,edu,
Character Repeat,sscratch.mit.edu,,?,,edu,
Character Swap,csratch.mit.edu,,?,,edu,
Character Swap,scartch.mit.edu,,?,,edu,
Character Swap,scracth.mit.edu,,?,,edu,
Character Swap,scratc.hmit.edu,,?,,edu,
Character Swap,scratch.imt.edu,,?,,edu,
Character Swap,scratch.mti.edu,,?,,edu,
Character Swap,scratchm.it.edu,,?,,edu,
Character Swap,scrathc.mit.edu,,?,,edu,
Character Swap,scrtach.mit.edu,,?,,edu,
Character Swap,srcatch.mit.edu,,?,,edu,
Character Replacement,acratch.mit.edu,,?,,edu,
Character Replacement,dcratch.mit.edu,,?,,edu,
Character Replacement,sceatch.mit.edu,,?,,edu,
Character Replacement,scrarch.mit.edu,,?,,edu,
Character Replacement,scratcg.mit.edu,,?,,edu,
Character Replacement,scratch.mir.edu,,?,,edu,
Character Replacement,scratch.miy.edu,,?,,edu,
Character Replacement,scratch.mot.edu,,?,,edu,
Character Replacement,scratch.mut.edu,,?,,edu,
Character Replacement,scratch.nit.edu,,?,,edu,
Character Replacement,scratcj.mit.edu,,?,,edu,
Character Replacement,scratvh.mit.edu,,?,,edu,
Character Replacement,scratxh.mit.edu,,?,,edu,
Character Replacement,scraych.mit.edu,,?,,edu,
