Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,sorts.sohu.com,,?,,com,
Character Omission,spors.sohu.com,,?,,com,
Character Omission,sport.sohu.com,,?,,com,
Character Omission,sports.ohu.com,69.172.201.153,US,UNITED STATES,,com,
Character Omission,sports.shu.com,121.201.112.133,MA,MOROCCO,,com,
Character Omission,sports.soh.com,,?,,com,
Character Omission,sports.sohu.cm,,?,,cm,
Character Omission,sports.sou.com,,?,,com,
Character Omission,sportssohu.com,35.194.133.109,US,UNITED STATES,,com,
Character Omission,spots.sohu.com,,?,,com,
Character Omission,sprts.sohu.com,,?,,com,
Character Repeat,spoorts.sohu.com,,?,,com,
Character Repeat,sporrts.sohu.com,,?,,com,
Character Repeat,sports.sohhu.com,104.160.171.83,,,com,
Character Repeat,sports.sohuu.com,,?,,com,
Character Repeat,sports.soohu.com,67.227.167.29,US,UNITED STATES,,com,
Character Repeat,sports.ssohu.com,,?,,com,
Character Repeat,sportss.sohu.com,,?,,com,
Character Repeat,sportts.sohu.com,,?,,com,
Character Repeat,spports.sohu.com,,?,,com,
Character Repeat,ssports.sohu.com,,?,,com,
Character Swap,psorts.sohu.com,,?,,com,
Character Swap,soprts.sohu.com,,?,,com,
Character Swap,sporst.sohu.com,,?,,com,
Character Swap,sport.ssohu.com,,?,,com,
Character Swap,sports.oshu.com,176.74.176.187,US,UNITED STATES,,com,
Character Swap,sports.shou.com,204.74.211.183,US,UNITED STATES,,com,
Character Swap,sports.souh.com,184.154.126.180,US,UNITED STATES,,com,
Character Swap,sportss.ohu.com,69.172.201.153,JP,JAPAN,,com,
Character Swap,spotrs.sohu.com,,?,,com,
Character Swap,sprots.sohu.com,,?,,com,
Character Replacement,aports.sohu.com,,?,,com,
Character Replacement,dports.sohu.com,,?,,com,
Character Replacement,soorts.sohu.com,,?,,com,
Character Replacement,spirts.sohu.com,,?,,com,
Character Replacement,spoets.sohu.com,,?,,com,
Character Replacement,sporrs.sohu.com,,?,,com,
Character Replacement,sporta.sohu.com,,?,,com,
Character Replacement,sportd.sohu.com,,?,,com,
Character Replacement,sports.aohu.com,50.117.120.251,US,UNITED STATES,mail.skrimple.com,com,
Character Replacement,sports.dohu.com,185.53.179.6,,mail.h-email.net,com,
Character Replacement,sports.sihu.com,,?,,com,
Character Replacement,sports.sogu.com,,?,,com,
Character Replacement,sports.sohi.com,199.59.242.150,CN,CHINA,,com,
Character Replacement,sports.sohy.com,176.74.176.187,FR,FRANCE,,com,
Character Replacement,sports.soju.com,,?,,com,
Character Replacement,sports.sphu.com,72.9.105.30,US,UNITED STATES,,com,
Character Replacement,sporys.sohu.com,,?,,com,
Character Replacement,spotts.sohu.com,,?,,com,
Character Replacement,spprts.sohu.com,,?,,com,
Character Insertion,saports.sohu.com,,?,,com,
Character Insertion,sdports.sohu.com,,?,,com,
Character Insertion,spoirts.sohu.com,,?,,com,
Character Insertion,spoprts.sohu.com,,?,,com,
Character Insertion,sporets.sohu.com,,?,,com,
Character Insertion,sportrs.sohu.com,,?,,com,
Character Insertion,sports.saohu.com,74.117.114.119,KY,CAYMAN ISLANDS,,com,
Character Insertion,sports.sdohu.com,199.59.242.150,CN,CHINA,,com,
Character Insertion,sports.sohgu.com,,?,,com,
Character Insertion,sports.sohju.com,52.71.185.125,US,UNITED STATES,,com,
Character Insertion,sports.sohui.com,,?,,com,
Character Insertion,sports.sohuy.com,103.232.215.131,,mail.skrimple.com,com,
Character Insertion,sports.soihu.com,184.154.126.180,TH,THAILAND,,com,
Character Insertion,sports.sophu.com,52.73.71.92,US,UNITED STATES,,com,
Character Insertion,sportsa.sohu.com,,?,,com,
Character Insertion,sportsd.sohu.com,,?,,com,
Character Insertion,sportys.sohu.com,,?,,com,
Missing Dot,wwwsports.sohu.com,,?,,com,
Singular or Pluralise,sohu.com,123.125.116.16,CA,CANADA,sohumx2.sohu.com,com,
Singular or Pluralise,sohus.com,69.172.201.153,US,UNITED STATES,,com,
Vowel Swap,sports.soha.com,,?,,com,
Vowel Swap,sports.sohe.com,66.96.163.141,US,UNITED STATES,,com,
Vowel Swap,sports.soho.com,23.23.174.132,US,UNITED STATES,,com,
Homophones,spoarts.sohu.com,,?,,com,
Homophones,sports.sewhu.com,,?,,com,
Homophones,sports.soweu.com,,?,,com,
Homophones,sports.sowhu.com,,?,,com,
Bit Flipping,3ports.sohu.com,,?,,com,
Bit Flipping,cports.sohu.com,,?,,com,
Bit Flipping,qports.sohu.com,,?,,com,
Bit Flipping,rports.sohu.com,,?,,com,
Bit Flipping,s0orts.sohu.com,,?,,com,
Bit Flipping,spgrts.sohu.com,,?,,com,
Bit Flipping,spkrts.sohu.com,,?,,com,
Bit Flipping,spmrts.sohu.com,,?,,com,
Bit Flipping,spnrts.sohu.com,,?,,com,
Bit Flipping,spo2ts.sohu.com,,?,,com,
Bit Flipping,spobts.sohu.com,,?,,com,
Bit Flipping,spopts.sohu.com,,?,,com,
Bit Flipping,spor4s.sohu.com,,?,,com,
Bit Flipping,spords.sohu.com,,?,,com,
Bit Flipping,sporps.sohu.com,,?,,com,
Bit Flipping,sport3.sohu.com,,?,,com,
Bit Flipping,sportc.sohu.com,,?,,com,
Bit Flipping,sportq.sohu.com,,?,,com,
Bit Flipping,sportr.sohu.com,,?,,com,
Bit Flipping,sports.3ohu.com,,?,,com,
Bit Flipping,sports.cohu.com,,?,,com,
Bit Flipping,sports.qohu.com,104.160.171.79,,,com,
Bit Flipping,sports.rohu.com,,?,,com,
Bit Flipping,sports.sghu.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Bit Flipping,sports.skhu.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Bit Flipping,sports.smhu.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Bit Flipping,sports.snhu.com,185.53.179.7,,mail.h-email.net,com,
Bit Flipping,sports.soh5.com,,?,,com,
Bit Flipping,sports.sohq.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,sports.soht.com,185.53.178.8,,mail.h-email.net,com,
Bit Flipping,sports.sohw.com,50.117.120.251,US,UNITED STATES,mail.skrimple.com,com,
Bit Flipping,sports.soiu.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Bit Flipping,sports.solu.com,,?,,com,
Bit Flipping,sports.soxu.com,69.64.147.35,US,UNITED STATES,,com,
Bit Flipping,sports.wohu.com,103.59.164.125,,sports.wohu.com,com,
Bit Flipping,sportsnsohu.com,,?,,com,
Bit Flipping,sportw.sohu.com,,?,,com,
Bit Flipping,sporus.sohu.com,,?,,com,
Bit Flipping,sporvs.sohu.com,,?,,com,
Bit Flipping,sposts.sohu.com,,?,,com,
Bit Flipping,spovts.sohu.com,,?,,com,
Bit Flipping,spozts.sohu.com,,?,,com,
Bit Flipping,sqorts.sohu.com,,?,,com,
Bit Flipping,srorts.sohu.com,,?,,com,
Bit Flipping,storts.sohu.com,,?,,com,
Bit Flipping,sxorts.sohu.com,,?,,com,
Bit Flipping,wports.sohu.com,,?,,com,
Homoglyphs,sp0rts.s0hu.com,,?,,com,
Homoglyphs,sp0rts.sohu.com,,?,,com,
Homoglyphs,sports.s0hu.com,,?,,com,
Wrong TLD,sohu.ca,184.168.221.47,US,UNITED STATES,,ca,
Wrong TLD,sohu.ch,,?,,ch,
Wrong TLD,sohu.de,72.52.4.90,US,UNITED STATES,mailgw.ns36.de,de,
Wrong TLD,sohu.edu,,?,,edu,
Wrong TLD,sohu.es,217.13.124.102,ES,SPAIN,mail.sohu.es,es,
Wrong TLD,sohu.fr,185.98.131.46,,mail.sohu.fr,fr,
Wrong TLD,sohu.it,,?,,it,
Wrong TLD,sohu.jp,150.95.255.38,JP,JAPAN,,jp,
Wrong TLD,sohu.net,61.135.181.175,RU,RUSSIAN FEDERATION,mx.mail.sohu.net,net,
Wrong TLD,sohu.nl,46.17.3.112,NL,NETHERLANDS,mxb.mailgun.org,nl,
Wrong TLD,sohu.no,,?,,no,
Wrong TLD,sohu.org,61.135.181.175,CN,CHINA,,org,
Wrong TLD,sohu.ru,90.156.201.87,RU,RUSSIAN FEDERATION,mx1.masterhost.ru,ru,
Wrong TLD,sohu.se,195.74.38.63,SE,SWEDEN,mail2.sohu.se,se,
Wrong TLD,sohu.us,,?,mxdomain.qq.com,us,

