Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,spport.microsoft.com,,?,,com,
Character Omission,suport.microsoft.com,,?,,com,
Character Omission,suppor.microsoft.com,,?,,com,
Character Omission,support.icrosoft.com,,?,,com,
Character Omission,support.mcrosoft.com,199.59.242.150,RO,ROMANIA,,com,
Character Omission,support.micosoft.com,208.91.197.26,US,UNITED STATES,,com,
Character Omission,support.microoft.com,,?,,com,
Character Omission,support.microsft.com,,?,,com,
Character Omission,support.microsof.com,,?,,com,
Character Omission,support.microsoft.cm,,?,,cm,
Character Omission,support.microsot.com,40.84.199.233,US,UNITED STATES,,com,
Character Omission,support.micrsoft.com,,?,,com,
Character Omission,support.mirosoft.com,,?,,com,
Character Omission,supportmicrosoft.com,104.43.142.34,,,com,
Character Omission,suppot.microsoft.com,,?,,com,
Character Omission,supprt.microsoft.com,,?,,com,
Character Repeat,ssupport.microsoft.com,,?,,com,
Character Repeat,suppoort.microsoft.com,,?,,com,
Character Repeat,supporrt.microsoft.com,,?,,com,
Character Repeat,support.miccrosoft.com,,?,,com,
Character Repeat,support.microosoft.com,,?,,com,
Character Repeat,support.microsofft.com,,?,,com,
Character Repeat,support.microsoftt.com,208.73.211.165,CO,COLOMBIA,,com,
Character Repeat,support.microsooft.com,,?,,com,
Character Repeat,support.microssoft.com,,?,,com,
Character Repeat,support.micrrosoft.com,,?,,com,
Character Repeat,support.miicrosoft.com,,?,,com,
Character Repeat,support.mmicrosoft.com,,?,,com,
Character Repeat,supportt.microsoft.com,,?,,com,
Character Repeat,suppport.microsoft.com,,?,,com,
Character Repeat,suupport.microsoft.com,,?,,com,
Character Swap,spuport.microsoft.com,,?,,com,
Character Swap,supoprt.microsoft.com,,?,,com,
Character Swap,suppor.tmicrosoft.com,72.52.4.119,US,UNITED STATES,localhost,com,
Character Swap,support.imcrosoft.com,185.53.179.8,,mail.h-email.net,com,
Character Swap,support.mcirosoft.com,103.224.182.238,,mx92.mb5p.com,com,
Character Swap,support.micorsoft.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Swap,support.microosft.com,103.224.182.251,,mx92.mb5p.com,com,
Character Swap,support.microsfot.com,,?,,com,
Character Swap,support.microsotf.com,,?,,com,
Character Swap,support.micrsooft.com,208.73.211.165,US,UNITED STATES,,com,
Character Swap,support.mircosoft.com,,?,,com,
Character Swap,supportm.icrosoft.com,,?,,com,
Character Swap,suppotr.microsoft.com,,?,,com,
Character Swap,supprot.microsoft.com,,?,,com,
Character Swap,uspport.microsoft.com,,?,,com,
Character Replacement,aupport.microsoft.com,,?,,com,
Character Replacement,dupport.microsoft.com,,?,,com,
Character Replacement,sipport.microsoft.com,,?,,com,
Character Replacement,suoport.microsoft.com,,?,,com,
Character Replacement,supoort.microsoft.com,,?,,com,
Character Replacement,suppirt.microsoft.com,,?,,com,
Character Replacement,suppoet.microsoft.com,,?,,com,
Character Replacement,supporr.microsoft.com,,?,,com,
Character Replacement,support.miceosoft.com,,?,,com,
Character Replacement,support.micrisoft.com,,?,,com,
Character Replacement,support.microaoft.com,,?,,com,
Character Replacement,support.microdoft.com,,?,,com,
Character Replacement,support.microsift.com,,?,,com,
Character Replacement,support.microsodt.com,,?,,com,
Character Replacement,support.microsofr.com,,?,,com,
Character Replacement,support.microsofy.com,199.59.242.150,CN,CHINA,,com,
Character Replacement,support.microsogt.com,208.91.196.181,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Replacement,support.microspft.com,,?,,com,
Character Replacement,support.micrpsoft.com,76.74.212.106,US,UNITED STATES,,com,
Character Replacement,support.mictosoft.com,103.224.182.242,,mx92.mb5p.com,com,
Character Replacement,support.mivrosoft.com,103.224.182.217,,park-mx.above.com,com,
