Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,tiesofindia.indiatimes.com,,?,,com,
Character Omission,timeofindia.indiatimes.com,223.165.27.134,CA,CANADA,,com,
Character Omission,timesfindia.indiatimes.com,,?,,com,
Character Omission,timesofidia.indiatimes.com,,?,,com,
Character Omission,timesofinda.indiatimes.com,,?,,com,
Character Omission,timesofindi.indiatimes.com,,?,,com,
Character Omission,timesofindia.idiatimes.com,208.73.210.217,US,UNITED STATES,,com,
Character Omission,timesofindia.indatimes.com,103.224.182.218,,park-mx.above.com,com,
Character Omission,timesofindia.indiaimes.com,72.52.178.23,PH,PHILIPPINES,allmail.parklogic.com,com,
Character Omission,timesofindia.indiaties.com,69.172.201.153,US,UNITED STATES,,com,
Character Omission,timesofindia.indiatime.com,205.178.189.129,DE,GERMANY,,com,
Character Omission,timesofindia.indiatimes.cm,185.53.178.7,,,cm,
Character Omission,timesofindia.indiatims.com,141.8.224.169,CH,SWITZERLAND,,com,
Character Omission,timesofindia.indiatmes.com,208.73.211.165,IN,INDIA,,com,
Character Omission,timesofindia.inditimes.com,95.211.219.66,NL,NETHERLANDS,,com,
Character Omission,timesofindia.iniatimes.com,208.73.211.165,US,UNITED STATES,,com,
Character Omission,timesofindia.ndiatimes.com,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Omission,timesofindiaindiatimes.com,185.53.179.8,,mail.h-email.net,com,
Character Omission,timesofinia.indiatimes.com,,?,,com,
Character Omission,timesofndia.indiatimes.com,,?,,com,
Character Omission,timesoindia.indiatimes.com,,?,,com,
Character Omission,timsofindia.indiatimes.com,,?,,com,
Character Omission,tmesofindia.indiatimes.com,,?,,com,
Character Repeat,tiimesofindia.indiatimes.com,,?,,com,
Character Repeat,timeesofindia.indiatimes.com,,?,,com,
Character Repeat,timesoffindia.indiatimes.com,,?,,com,
Character Repeat,timesofiindia.indiatimes.com,,?,,com,
Character Repeat,timesofinddia.indiatimes.com,,?,,com,
Character Repeat,timesofindia.iindiatimes.com,,?,,com,
Character Repeat,timesofindia.inddiatimes.com,199.59.242.150,CN,CHINA,,com,
Character Repeat,timesofindia.indiaatimes.com,185.53.179.6,,mail.h-email.net,com,
Character Repeat,timesofindia.indiatiimes.com,,?,,com,
Character Repeat,timesofindia.indiatimees.com,,?,,com,
Character Repeat,timesofindia.indiatimess.com,103.224.212.222,,mx92.mb5p.com,com,
Character Repeat,timesofindia.indiatimmes.com,199.191.50.73,,,com,
Character Repeat,timesofindia.indiattimes.com,,?,,com,
Character Repeat,timesofindia.indiiatimes.com,199.191.50.73,,,com,
Character Repeat,timesofindia.inndiatimes.com,213.247.47.190,NL,NETHERLANDS,,com,
Character Repeat,timesofindiaa.indiatimes.com,,?,,com,
Character Repeat,timesofindiia.indiatimes.com,,?,,com,
Character Repeat,timesofinndia.indiatimes.com,,?,,com,
Character Repeat,timesoofindia.indiatimes.com,,?,,com,
Character Repeat,timessofindia.indiatimes.com,,?,,com,
Character Repeat,timmesofindia.indiatimes.com,,?,,com,
Character Repeat,ttimesofindia.indiatimes.com,,?,,com,
Character Swap,itmesofindia.indiatimes.com,,?,,com,
Character Swap,tiemsofindia.indiatimes.com,,?,,com,
Character Swap,timeosfindia.indiatimes.com,,?,,com,
Character Swap,timesfoindia.indiatimes.com,,?,,com,
Character Swap,timesofidnia.indiatimes.com,,?,,com,
Character Swap,timesofindai.indiatimes.com,,?,,com,
Character Swap,timesofindi.aindiatimes.com,,?,,com,
Character Swap,timesofindia.idniatimes.com,141.8.224.195,CH,SWITZERLAND,,com,
Character Swap,timesofindia.indaitimes.com,185.53.178.9,,mail.h-email.net,com,
Character Swap,timesofindia.indiaitmes.com,208.73.211.177,US,UNITED STATES,,com,
Character Swap,timesofindia.indiatiems.com,208.73.210.217,US,UNITED STATES,,com,
Character Swap,timesofindia.indiatimse.com,,?,,com,
Character Swap,timesofindia.indiatmies.com,,?,,com,
Character Swap,timesofindia.inditaimes.com,,?,,com,
Character Swap,timesofindia.inidatimes.com,,?,,com,
Character Swap,timesofindia.nidiatimes.com,141.8.224.195,CA,CANADA,,com,
Character Swap,timesofindiai.ndiatimes.com,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Swap,timesofinida.indiatimes.com,,?,,com,
Character Swap,timesofnidia.indiatimes.com,,?,,com,
Character Swap,timesoifndia.indiatimes.com,,?,,com,
Character Swap,timseofindia.indiatimes.com,,?,,com,
Character Swap,tmiesofindia.indiatimes.com,,?,,com,
Character Replacement,rimesofindia.indiatimes.com,,?,,com,
Character Replacement,timeaofindia.indiatimes.com,,?,,com,
Character Replacement,timedofindia.indiatimes.com,,?,,com,
Character Replacement,timesifindia.indiatimes.com,,?,,com,
Character Replacement,timesodindia.indiatimes.com,,?,,com,
Character Replacement,timesofibdia.indiatimes.com,,?,,com,
Character Replacement,timesofimdia.indiatimes.com,,?,,com,
Character Replacement,timesofindia.ibdiatimes.com,,?,,com,
Character Replacement,timesofindia.imdiatimes.com,199.59.242.150,UA,UKRAINE,,com,
Character Replacement,timesofindia.indiarimes.com,173.239.8.164,AT,AUSTRIA,,com,
Character Replacement,timesofindia.indiatimea.com,103.224.212.222,,park-mx.above.com,com,
Character Replacement,timesofindia.indiatimed.com,,?,,com,
Character Replacement,timesofindia.indiatimrs.com,,?,,com,
Character Replacement,timesofindia.indiatimws.com,,?,,com,
Character Replacement,timesofindia.indiatines.com,67.55.92.183,US,UNITED STATES,,com,
