Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,tanslate.google.com,,?,,com,
Character Omission,tranlate.google.com,,?,,com,
Character Omission,transate.google.com,,?,,com,
Character Omission,translae.google.com,,?,,com,
Character Omission,translat.google.com,,?,,com,
Character Omission,translate.gogle.com,172.217.9.195,US,UNITED STATES,,com,
Character Omission,translate.googe.com,162.243.10.151,,,com,
Character Omission,translate.googl.com,172.217.9.195,US,UNITED STATES,,com,
Character Omission,translate.google.cm,172.217.9.195,US,UNITED STATES,,cm,
Character Omission,translate.goole.com,,?,,com,
Character Omission,translate.oogle.com,204.9.184.9,US,UNITED STATES,,com,
Character Omission,translategoogle.com,76.74.212.106,US,UNITED STATES,,com,
Character Omission,translte.google.com,,?,,com,
Character Omission,traslate.google.com,,?,,com,
Character Omission,trnslate.google.com,,?,,com,
Character Repeat,traanslate.google.com,,?,,com,
Character Repeat,trannslate.google.com,,?,,com,
Character Repeat,translaate.google.com,,?,,com,
Character Repeat,translate.ggoogle.com,172.217.9.195,US,UNITED STATES,,com,
Character Repeat,translate.googgle.com,,?,,com,
Character Repeat,translate.googlee.com,172.217.9.195,ES,SPAIN,,com,
Character Repeat,translate.googlle.com,54.221.207.100,US,UNITED STATES,,com,
Character Repeat,translate.gooogle.com,172.217.9.195,US,UNITED STATES,,com,
Character Repeat,translatee.google.com,,?,,com,
Character Repeat,translatte.google.com,,?,,com,
Character Repeat,transllate.google.com,,?,,com,
Character Repeat,transslate.google.com,,?,,com,
Character Repeat,trranslate.google.com,,?,,com,
Character Repeat,ttranslate.google.com,,?,,com,
Character Swap,rtanslate.google.com,,?,,com,
Character Swap,tarnslate.google.com,,?,,com,
Character Swap,tranlsate.google.com,,?,,com,
Character Swap,transalte.google.com,,?,,com,
Character Swap,translaet.google.com,,?,,com,
Character Swap,translat.egoogle.com,5.22.149.135,DE,GERMANY,,com,
Character Swap,translate.gogole.com,172.217.9.195,US,UNITED STATES,,com,
Character Swap,translate.googel.com,172.217.9.195,US,UNITED STATES,,com,
Character Swap,translate.goolge.com,172.217.9.195,US,UNITED STATES,,com,
Character Swap,translate.ogogle.com,172.217.9.195,US,UNITED STATES,,com,
Character Swap,translateg.oogle.com,204.9.184.9,US,UNITED STATES,,com,
Character Swap,transltae.google.com,,?,,com,
Character Swap,trasnlate.google.com,,?,,com,
Character Swap,trnaslate.google.com,,?,,com,
Character Replacement,rranslate.google.com,,?,,com,
Character Replacement,teanslate.google.com,,?,,com,
Character Replacement,trabslate.google.com,,?,,com,
Character Replacement,tramslate.google.com,,?,,com,
Character Replacement,tranalate.google.com,,?,,com,
Character Replacement,trandlate.google.com,,?,,com,
Character Replacement,transkate.google.com,,?,,com,
Character Replacement,translare.google.com,,?,,com,
Character Replacement,translate.foogle.com,,?,,com,
Character Replacement,translate.giogle.com,52.87.31.142,US,UNITED STATES,,com,
Character Replacement,translate.goigle.com,158.69.145.48,US,UNITED STATES,,com,
Character Replacement,translate.goofle.com,,?,,com,
Character Replacement,translate.googke.com,,?,,com,
Character Replacement,translate.googlr.com,172.217.9.195,IT,ITALY,,com,
Character Replacement,translate.googlw.com,,?,,com,
Character Replacement,translate.goohle.com,184.154.126.180,US,UNITED STATES,,com,
Character Replacement,translate.gopgle.com,95.211.219.67,NL,NETHERLANDS,,com,
Character Replacement,translate.gpogle.com,158.69.225.39,US,UNITED STATES,,com,
Character Replacement,translate.hoogle.com,,?,,com,
Character Replacement,translatr.google.com,,?,,com,
Character Replacement,translatw.google.com,,?,,com,
Character Replacement,translaye.google.com,,?,,com,
Character Replacement,translste.google.com,,?,,com,
Character Replacement,trsnslate.google.com,,?,,com,
Character Replacement,ttanslate.google.com,,?,,com,
Character Replacement,yranslate.google.com,,?,,com,
Double Character Replacement,translate.giigle.com,198.50.233.234,,,com,
Double Character Replacement,translate.gppgle.com,172.217.9.195,US,UNITED STATES,,com,
Character Insertion,tranbslate.google.com,,?,,com,
Character Insertion,tranmslate.google.com,,?,,com,
Character Insertion,transalate.google.com,,?,,com,
Character Insertion,transdlate.google.com,,?,,com,
Character Insertion,translaste.google.com,,?,,com,
Character Insertion,translate.gfoogle.com,,?,,com,
Character Insertion,translate.ghoogle.com,,?,,com,
Character Insertion,translate.goiogle.com,,?,,com,
Character Insertion,translate.googfle.com,70.32.1.32,DE,GERMANY,park-mx.above.com,com,
Character Insertion,translate.googhle.com,158.69.143.113,US,UNITED STATES,,com,
