Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,tavel.state.gov,,?,,gov,
Character Omission,trael.state.gov,,?,,gov,
Character Omission,trave.state.gov,,?,,gov,
Character Omission,travel.sate.gov,,?,,gov,
Character Omission,travel.stae.gov,,?,,gov,
Character Omission,travel.stat.gov,,?,,gov,
Character Omission,travel.stte.gov,,?,,gov,
Character Omission,travel.tate.gov,,?,,gov,
Character Omission,travelstate.gov,,?,,gov,
Character Omission,travl.state.gov,,?,,gov,
Character Omission,trvel.state.gov,,?,,gov,
Character Repeat,traavel.state.gov,,?,,gov,
Character Repeat,traveel.state.gov,,?,,gov,
Character Repeat,travel.sstate.gov,,?,,gov,
Character Repeat,travel.staate.gov,,?,,gov,
Character Repeat,travel.statee.gov,,?,,gov,
Character Repeat,travel.statte.gov,,?,,gov,
Character Repeat,travel.sttate.gov,,?,,gov,
Character Repeat,travell.state.gov,,?,,gov,
Character Repeat,travvel.state.gov,,?,,gov,
Character Repeat,trravel.state.gov,,?,,gov,
Character Repeat,ttravel.state.gov,,?,,gov,
Character Swap,rtavel.state.gov,,?,,gov,
Character Swap,tarvel.state.gov,,?,,gov,
Character Swap,traevl.state.gov,,?,,gov,
Character Swap,trave.lstate.gov,,?,,gov,
Character Swap,travel.satte.gov,,?,,gov,
Character Swap,travel.staet.gov,,?,,gov,
Character Swap,travel.sttae.gov,,?,,gov,
Character Swap,travel.tsate.gov,,?,,gov,
Character Swap,travels.tate.gov,,?,,gov,
Character Swap,travle.state.gov,,?,,gov,
Character Swap,trvael.state.gov,,?,,gov,
Character Replacement,rravel.state.gov,,?,,gov,
Character Replacement,teavel.state.gov,,?,,gov,
Character Replacement,trabel.state.gov,,?,,gov,
Character Replacement,tracel.state.gov,,?,,gov,
Character Replacement,travek.state.gov,,?,,gov,
Character Replacement,travel.atate.gov,,?,,gov,
Character Replacement,travel.dtate.gov,,?,,gov,
Character Replacement,travel.srate.gov,,?,,gov,
Character Replacement,travel.stare.gov,,?,,gov,
Character Replacement,travel.statr.gov,,?,,gov,
Character Replacement,travel.statw.gov,,?,,gov,
Character Replacement,travel.staye.gov,,?,,gov,
Character Replacement,travel.stste.gov,,?,,gov,
Character Replacement,travel.syate.gov,,?,,gov,
Character Replacement,travrl.state.gov,,?,,gov,
Character Replacement,travwl.state.gov,,?,,gov,
Character Replacement,trsvel.state.gov,,?,,gov,
Character Replacement,ttavel.state.gov,,?,,gov,
Character Replacement,yravel.state.gov,,?,,gov,
Character Insertion,trasvel.state.gov,,?,,gov,
Character Insertion,travbel.state.gov,,?,,gov,
Character Insertion,travcel.state.gov,,?,,gov,
Character Insertion,travel.satate.gov,,?,,gov,
Character Insertion,travel.sdtate.gov,,?,,gov,
Character Insertion,travel.staste.gov,,?,,gov,
Character Insertion,travel.stater.gov,,?,,gov,
Character Insertion,travel.statew.gov,,?,,gov,
Character Insertion,travel.statre.gov,,?,,gov,
Character Insertion,travel.statye.gov,,?,,gov,
Character Insertion,travel.strate.gov,,?,,gov,
Character Insertion,travel.styate.gov,,?,,gov,
Character Insertion,travelk.state.gov,,?,,gov,
Character Insertion,traverl.state.gov,,?,,gov,
Character Insertion,travewl.state.gov,,?,,gov,
Character Insertion,treavel.state.gov,,?,,gov,
Character Insertion,trtavel.state.gov,,?,,gov,
Character Insertion,tyravel.state.gov,,?,,gov,
Missing Dot,wwwtravel.state.gov,,?,,gov,
Singular or Pluralise,state.gov,72.166.186.169,US,UNITED STATES,stimson.state.gov,gov,
Singular or Pluralise,states.gov,,?,,gov,
Vowel Swap,traval.stata.gov,,?,,gov,
Vowel Swap,travil.stati.gov,,?,,gov,
Vowel Swap,travol.stato.gov,,?,,gov,
Vowel Swap,travul.statu.gov,,?,,gov,
Vowel Swap,trevel.stete.gov,,?,,gov,
Vowel Swap,trivel.stite.gov,,?,,gov,
Vowel Swap,trovel.stote.gov,,?,,gov,
Vowel Swap,truvel.stute.gov,,?,,gov,
Homophones,travel.steight.gov,,?,,gov,
Bit Flipping,4ravel.state.gov,,?,,gov,
Bit Flipping,dravel.state.gov,,?,,gov,
Bit Flipping,pravel.state.gov,,?,,gov,
Bit Flipping,t2avel.state.gov,,?,,gov,
Bit Flipping,tbavel.state.gov,,?,,gov,
Bit Flipping,tpavel.state.gov,,?,,gov,
Bit Flipping,tra6el.state.gov,,?,,gov,
Bit Flipping,trafel.state.gov,,?,,gov,
Bit Flipping,trarel.state.gov,,?,,gov,
Bit Flipping,tratel.state.gov,,?,,gov,
Bit Flipping,traval.state.gov,,?,,gov,
Bit Flipping,travdl.state.gov,,?,,gov,
Bit Flipping,traved.state.gov,,?,,gov,
Bit Flipping,traveh.state.gov,,?,,gov,
Bit Flipping,travel.3tate.gov,,?,,gov,
Bit Flipping,travel.ctate.gov,,?,,gov,
Bit Flipping,travel.qtate.gov,,?,,gov,
Bit Flipping,travel.rtate.gov,,?,,gov,
Bit Flipping,travel.s4ate.gov,,?,,gov,
Bit Flipping,travel.sdate.gov,,?,,gov,
Bit Flipping,travel.spate.gov,,?,,gov,
Bit Flipping,travel.sta4e.gov,,?,,gov,
Bit Flipping,travel.stade.gov,,?,,gov,
Bit Flipping,travel.stape.gov,,?,,gov,
Bit Flipping,travel.stata.gov,,?,,gov,
Bit Flipping,travel.statd.gov,,?,,gov,
Bit Flipping,travel.statg.gov,,?,,gov,
Bit Flipping,travel.statm.gov,,?,,gov,
Bit Flipping,travel.statu.gov,,?,,gov,
Bit Flipping,travel.staue.gov,,?,,gov,
Bit Flipping,travel.stave.gov,,?,,gov,
Bit Flipping,travel.stcte.gov,,?,,gov,
Bit Flipping,travel.stete.gov,,?,,gov,
Bit Flipping,travel.stite.gov,,?,,gov,
Bit Flipping,travel.stqte.gov,,?,,gov,
Bit Flipping,travel.suate.gov,,?,,gov,
Bit Flipping,travel.svate.gov,,?,,gov,
Bit Flipping,travel.wtate.gov,,?,,gov,
Bit Flipping,travelnstate.gov,,?,,gov,
Bit Flipping,travem.state.gov,,?,,gov,
Bit Flipping,traven.state.gov,,?,,gov,
Bit Flipping,travgl.state.gov,,?,,gov,
Bit Flipping,travml.state.gov,,?,,gov,
Bit Flipping,travul.state.gov,,?,,gov,
Bit Flipping,trawel.state.gov,,?,,gov,
Bit Flipping,trcvel.state.gov,,?,,gov,
Bit Flipping,trevel.state.gov,,?,,gov,
Bit Flipping,trivel.state.gov,,?,,gov,
Bit Flipping,trqvel.state.gov,,?,,gov,
Bit Flipping,tsavel.state.gov,,?,,gov,
Bit Flipping,tvavel.state.gov,,?,,gov,
Bit Flipping,tzavel.state.gov,,?,,gov,
Bit Flipping,uravel.state.gov,,?,,gov,
Bit Flipping,vravel.state.gov,,?,,gov,
Homoglyphs,trave1.state.gov,,?,,gov,
Wrong TLD,state.ca,198.61.170.157,,state-ca.mail.protection.outlook.com,ca,
Wrong TLD,state.ch,,?,,ch,
Wrong TLD,state.com,52.84.125.202,US,UNITED STATES,alt4.aspmx.l.google.com,com,
Wrong TLD,state.de,212.162.15.211,GB,UNITED KINGDOM,mail.tro.net,de,
Wrong TLD,state.edu,,?,,edu,
Wrong TLD,state.es,184.95.38.200,US,UNITED STATES,mail.state.es,es,
Wrong TLD,state.fr,69.65.3.168,US,UNITED STATES,state.fr,fr,
Wrong TLD,state.it,54.231.169.71,US,UNITED STATES,alt2.aspmx.l.google.com,it,
Wrong TLD,state.jp,72.52.4.119,US,UNITED STATES,localhost,jp,
Wrong TLD,state.net,204.75.238.244,US,UNITED STATES,mq4.cerzan.com,net,
Wrong TLD,state.nl,,?,mms02.morethanjust.nl,nl,
Wrong TLD,state.no,198.185.159.136,,aspmx2.googlemail.com,no,
Wrong TLD,state.org,,?,,org,
Wrong TLD,state.ru,90.156.201.88,RU,RUSSIAN FEDERATION,,ru,
Wrong TLD,state.se,195.159.128.236,NO,NORWAY,xsyg-1.mx20.pef.luxsci.com,se,
Wrong TLD,state.us,,?,,us,

