Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,ua.visa.com,,?,,com,
Character Omission,us.visa.com,,?,,com,
Character Omission,usa.isa.com,192.33.251.22,CA,CANADA,,com,
Character Omission,usa.via.com,,?,,com,
Character Omission,usa.vis.com,,?,,com,
Character Omission,usa.visa.cm,,?,,cm,
Character Omission,usa.vsa.com,69.172.201.153,US,UNITED STATES,,com,
Character Omission,usavisa.com,77.104.152.115,RO,ROMANIA,mx1.emailsrvr.com,com,
Character Repeat,usa.viisa.com,67.227.226.241,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Repeat,usa.visaa.com,,?,,com,
Character Repeat,usa.vissa.com,,?,,com,
Character Repeat,usa.vvisa.com,192.64.147.196,,,com,
Character Repeat,usaa.visa.com,,?,,com,
Character Repeat,ussa.visa.com,,?,,com,
Character Repeat,uusa.visa.com,,?,,com,
Character Swap,sua.visa.com,,?,,com,
Character Swap,uas.visa.com,,?,,com,
Character Swap,us.avisa.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Character Swap,usa.ivsa.com,,?,,com,
Character Swap,usa.vias.com,,?,,com,
Character Swap,usa.vsia.com,69.172.201.153,US,UNITED STATES,,com,
Character Swap,usav.isa.com,192.33.251.22,US,UNITED STATES,,com,
Character Replacement,isa.visa.com,,?,,com,
Character Replacement,uaa.visa.com,,?,,com,
Character Replacement,uda.visa.com,,?,,com,
Character Replacement,usa.bisa.com,,?,,com,
Character Replacement,usa.cisa.com,,?,,com,
Character Replacement,usa.viaa.com,162.251.168.211,,mx.san.evacomm.com,com,
Character Replacement,usa.vida.com,,?,,com,
Character Replacement,usa.viss.com,,?,,com,
Character Replacement,usa.vosa.com,,?,,com,
Character Replacement,usa.vusa.com,,?,,com,
Character Replacement,uss.visa.com,,?,,com,
Character Replacement,ysa.visa.com,,?,,com,
Character Insertion,uisa.visa.com,,?,,com,
Character Insertion,usa.vbisa.com,143.95.252.46,US,UNITED STATES,,com,
Character Insertion,usa.vcisa.com,54.164.23.135,US,UNITED STATES,,com,
Character Insertion,usa.viosa.com,,?,,com,
Character Insertion,usa.visas.com,,?,,com,
Character Insertion,usa.visda.com,101.231.66.165,CN,CHINA,,com,
Character Insertion,usa.viusa.com,72.52.4.120,US,UNITED STATES,localhost,com,
Character Insertion,usas.visa.com,,?,,com,
Character Insertion,usda.visa.com,,?,,com,
Character Insertion,uysa.visa.com,,?,,com,
Missing Dot,wwwusa.visa.com,,?,,com,
Singular or Pluralise,visa.com,23.196.137.100,,portal3i.visa.com,com,
Singular or Pluralise,visas.com,198.55.101.21,,mail.webmagic.com,com,
Vowel Swap,usa.vasa.com,199.59.242.150,CN,CHINA,,com,
Vowel Swap,usa.vesa.com,,?,,com,
Vowel Swap,use.vise.com,,?,,com,
Vowel Swap,usi.visi.com,,?,,com,
Vowel Swap,uso.viso.com,23.23.86.44,CA,CANADA,0.0.0.0,com,
Vowel Swap,usu.visu.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Homophones,usa.vayesa.com,,?,,com,
Homophones,usa.veyesa.com,,?,,com,
Bit Flipping,5sa.visa.com,,?,,com,
Bit Flipping,esa.visa.com,,?,,com,
Bit Flipping,qsa.visa.com,,?,,com,
Bit Flipping,tsa.visa.com,,?,,com,
Bit Flipping,u3a.visa.com,,?,,com,
Bit Flipping,uca.visa.com,,?,,com,
Bit Flipping,uqa.visa.com,,?,,com,
Bit Flipping,ura.visa.com,,?,,com,
Bit Flipping,usa.6isa.com,,?,,com,
Bit Flipping,usa.fisa.com,,?,,com,
Bit Flipping,usa.risa.com,72.47.244.83,US,UNITED STATES,,com,
Bit Flipping,usa.tisa.com,71.18.130.246,CA,CANADA,,com,
Bit Flipping,usa.vhsa.com,,?,,com,
Bit Flipping,usa.vi3a.com,,?,,com,
Bit Flipping,usa.vica.com,,?,,com,
Bit Flipping,usa.viqa.com,69.172.201.153,CO,COLOMBIA,,com,
Bit Flipping,usa.vira.com,,?,,com,
Bit Flipping,usa.visc.com,185.53.179.8,,mail.h-email.net,com,
Bit Flipping,usa.vise.com,,?,,com,
Bit Flipping,usa.visi.com,,?,,com,
Bit Flipping,usa.visq.com,,?,,com,
Bit Flipping,usa.viwa.com,96.45.83.197,US,UNITED STATES,,com,
Bit Flipping,usa.vksa.com,,?,,com,
Bit Flipping,usa.vmsa.com,,?,,com,
Bit Flipping,usa.vysa.com,,?,,com,
Bit Flipping,usa.wisa.com,,?,,com,
Bit Flipping,usanvisa.com,,?,,com,
Bit Flipping,usc.visa.com,,?,,com,
Bit Flipping,use.visa.com,,?,,com,
Bit Flipping,usi.visa.com,,?,,com,
Bit Flipping,usq.visa.com,,?,,com,
Bit Flipping,uwa.visa.com,,?,,com,
Bit Flipping,wsa.visa.com,,?,,com,
Homoglyphs,usa.vlsa.com,,?,,com,
