Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,weku.baidu.com,,?,,com,
Character Omission,wenk.baidu.com,,?,,com,
Character Omission,wenku.aidu.com,,?,,com,
Character Omission,wenku.badu.com,184.154.126.180,US,UNITED STATES,,com,
Character Omission,wenku.baid.com,50.117.120.251,US,UNITED STATES,mail.skrimple.com,com,
Character Omission,wenku.baidu.cm,47.88.136.144,CA,CANADA,,cm,
Character Omission,wenku.baiu.com,,?,,com,
Character Omission,wenku.bidu.com,47.88.136.144,CA,CANADA,,com,
Character Omission,wenkubaidu.com,,?,,com,
Character Omission,wenu.baidu.com,,?,,com,
Character Omission,wnku.baidu.com,,?,,com,
Character Repeat,weenku.baidu.com,,?,,com,
Character Repeat,wenkku.baidu.com,,?,,com,
Character Repeat,wenku.baaidu.com,67.21.83.125,SG,SINGAPORE,,com,
Character Repeat,wenku.baiddu.com,192.69.199.28,,,com,
Character Repeat,wenku.baiduu.com,50.117.120.251,US,UNITED STATES,mail.skrimple.com,com,
Character Repeat,wenku.baiidu.com,,?,,com,
Character Repeat,wenku.bbaidu.com,,?,,com,
Character Repeat,wenkuu.baidu.com,,?,,com,
Character Repeat,wennku.baidu.com,,?,,com,
Character Repeat,wwenku.baidu.com,,?,,com,
Character Swap,ewnku.baidu.com,,?,,com,
Character Swap,weknu.baidu.com,,?,,com,
Character Swap,wenk.ubaidu.com,,?,,com,
Character Swap,wenku.abidu.com,69.170.135.92,US,UNITED STATES,allmail.parklogic.com,com,
Character Swap,wenku.badiu.com,50.117.120.251,US,UNITED STATES,mail.skrimple.com,com,
Character Swap,wenku.baiud.com,103.51.144.90,,,com,
Character Swap,wenku.biadu.com,50.117.120.251,US,UNITED STATES,mail.skrimple.com,com,
Character Swap,wenkub.aidu.com,,?,,com,
Character Swap,wenuk.baidu.com,,?,,com,
Character Swap,wneku.baidu.com,,?,,com,
Character Replacement,eenku.baidu.com,,?,,com,
Character Replacement,qenku.baidu.com,,?,,com,
Character Replacement,webku.baidu.com,,?,,com,
Character Replacement,wemku.baidu.com,,?,,com,
Character Replacement,wenju.baidu.com,,?,,com,
Character Replacement,wenki.baidu.com,,?,,com,
Character Replacement,wenku.baidi.com,50.117.120.251,US,UNITED STATES,mail.skrimple.com,com,
Character Replacement,wenku.baidy.com,61.92.24.83,HK,HONG KONG,,com,
Character Replacement,wenku.baifu.com,23.234.4.151,,,com,
Character Replacement,wenku.baisu.com,50.117.120.251,US,UNITED STATES,mail.skrimple.com,com,
Character Replacement,wenku.baodu.com,,?,,com,
Character Replacement,wenku.baudu.com,50.117.120.251,US,UNITED STATES,mail.skrimple.com,com,
Character Replacement,wenku.bsidu.com,184.154.126.180,US,UNITED STATES,,com,
Character Replacement,wenku.naidu.com,64.99.80.121,CA,CANADA,,com,
Character Replacement,wenku.vaidu.com,50.117.120.251,US,UNITED STATES,mail.skrimple.com,com,
Character Replacement,wenky.baidu.com,,?,,com,
Character Replacement,wenlu.baidu.com,,?,,com,
Character Replacement,wrnku.baidu.com,,?,,com,
Character Replacement,wwnku.baidu.com,,?,,com,
Character Insertion,wenbku.baidu.com,,?,,com,
Character Insertion,wenkju.baidu.com,,?,,com,
Character Insertion,wenklu.baidu.com,,?,,com,
Character Insertion,wenku.baidfu.com,61.92.24.83,JP,JAPAN,,com,
Character Insertion,wenku.baidsu.com,61.92.24.83,HK,HONG KONG,,com,
Character Insertion,wenku.baidui.com,113.106.94.163,CN,CHINA,,com,
Character Insertion,wenku.baiduy.com,61.92.24.83,RU,RUSSIAN FEDERATION,,com,
Character Insertion,wenku.baiodu.com,,?,,com,
Character Insertion,wenku.baiudu.com,67.198.170.21,US,UNITED STATES,,com,
Character Insertion,wenku.basidu.com,61.92.24.83,HK,HONG KONG,,com,
Character Insertion,wenku.bnaidu.com,50.117.120.251,US,UNITED STATES,mail.skrimple.com,com,
Character Insertion,wenku.bvaidu.com,50.117.120.251,ID,INDONESIA,mail.skrimple.com,com,
Character Insertion,wenkui.baidu.com,,?,,com,
Character Insertion,wenkuy.baidu.com,,?,,com,
Character Insertion,wenmku.baidu.com,,?,,com,
Character Insertion,wernku.baidu.com,,?,,com,
Character Insertion,wewnku.baidu.com,,?,,com,
Character Insertion,wqenku.baidu.com,,?,,com,
Missing Dot,wwwwenku.baidu.com,,?,,com,
Singular or Pluralise,baidu.com,220.181.57.217,CN,CHINA,mx.n.shifen.com,com,
Singular or Pluralise,baidus.com,72.52.4.122,Pî,,localhost,com,
Vowel Swap,wanku.baidu.com,,?,,com,
Vowel Swap,wenka.baida.com,,?,,com,
Vowel Swap,wenke.baide.com,,?,,com,
Vowel Swap,wenki.baidi.com,50.117.120.251,US,UNITED STATES,mail.skrimple.com,com,
Vowel Swap,wenko.baido.com,,?,,com,
Vowel Swap,wenku.baadu.com,69.172.201.153,US,UNITED STATES,,com,
Vowel Swap,wenku.baedu.com,185.53.179.6,,mail.h-email.net,com,
Vowel Swap,wenku.beidu.com,184.154.126.180,US,UNITED STATES,,com,
Vowel Swap,wenku.biidu.com,209.99.64.52,US,UNITED STATES,,com,
Vowel Swap,wenku.boidu.com,,?,,com,
Vowel Swap,wenku.buidu.com,47.88.136.144,CA,CANADA,,com,
Vowel Swap,winku.baidu.com,,?,,com,
Vowel Swap,wonku.baidu.com,,?,,com,
Vowel Swap,wunku.baidu.com,,?,,com,
Homophones,wenku.baayedu.com,,?,,com,
Homophones,wenku.baeyedu.com,,?,,com,
Homophones,wenku.baideu.com,61.92.24.83,HK,HONG KONG,,com,
Bit Flipping,7enku.baidu.com,,?,,com,
Bit Flipping,genku.baidu.com,,?,,com,
Bit Flipping,senku.baidu.com,,?,,com,
Bit Flipping,uenku.baidu.com,,?,,com,
Bit Flipping,venku.baidu.com,,?,,com,
Bit Flipping,wdnku.baidu.com,,?,,com,
Bit Flipping,we.ku.baidu.com,,?,,com,
Bit Flipping,wefku.baidu.com,,?,,com,
Bit Flipping,wejku.baidu.com,,?,,com,
Bit Flipping,welku.baidu.com,,?,,com,
Bit Flipping,wencu.baidu.com,,?,,com,
Bit Flipping,weniu.baidu.com,,?,,com,
Bit Flipping,wenk5.baidu.com,,?,,com,
Bit Flipping,wenke.baidu.com,,?,,com,
Bit Flipping,wenkq.baidu.com,,?,,com,
Bit Flipping,wenkt.baidu.com,,?,,com,
Bit Flipping,wenku.bahdu.com,,?,,com,
Bit Flipping,wenku.baid5.com,104.131.105.5,,,com,
Bit Flipping,wenku.baide.com,,?,,com,
Bit Flipping,wenku.baidq.com,,?,,com,
Bit Flipping,wenku.baidt.com,,?,,com,
Bit Flipping,wenku.baidw.com,47.89.194.64,CA,CANADA,,com,
Bit Flipping,wenku.baieu.com,69.12.76.67,US,UNITED STATES,,com,
Bit Flipping,wenku.bailu.com,,?,,com,
Bit Flipping,wenku.baitu.com,,?,,com,
Bit Flipping,wenku.bakdu.com,,?,,com,
Bit Flipping,wenku.bamdu.com,,?,,com,
Bit Flipping,wenku.baydu.com,,?,,com,
Bit Flipping,wenku.bcidu.com,208.73.211.165,CA,CANADA,,com,
Bit Flipping,wenku.bqidu.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Bit Flipping,wenku.caidu.com,103.59.164.125,,wenku.caidu.com,com,
Bit Flipping,wenku.faidu.com,217.199.187.67,GB,UNITED KINGDOM,mail.faidu.com,com,
Bit Flipping,wenku.jaidu.com,185.53.178.7,,,com,
Bit Flipping,wenku.raidu.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,wenkunbaidu.com,,?,,com,
Bit Flipping,wenkw.baidu.com,,?,,com,
Bit Flipping,wenou.baidu.com,,?,,com,
Bit Flipping,weoku.baidu.com,,?,,com,
Bit Flipping,wgnku.baidu.com,,?,,com,
Bit Flipping,wmnku.baidu.com,,?,,com,
Homoglyphs,vvenku.baidu.com,,?,,com,
Homoglyphs,wenku.baiclu.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Homoglyphs,wenku.baldu.com,72.52.4.122,US,UNITED STATES,localhost,com,
Wrong TLD,baidu.ca,64.68.36.10,US,UNITED STATES,hc.hms-gtm.com,ca,
Wrong TLD,baidu.ch,80.92.65.144,LU,LUXEMBOURG,mx10.eurodns.com,ch,
Wrong TLD,baidu.de,80.237.153.64,DE,GERMANY,,de,
Wrong TLD,baidu.edu,,?,,edu,
Wrong TLD,baidu.es,,?,,es,
Wrong TLD,baidu.fr,72.52.4.122,H5,,localhost,fr,
Wrong TLD,baidu.it,69.172.201.153,US,UNITED STATES,,it,
Wrong TLD,baidu.jp,119.63.198.132,JP,JAPAN,mx1.baidu.com,jp,
Wrong TLD,baidu.net,118.244.196.96,CN,CHINA,mxn.mxhichina.com,net,
Wrong TLD,baidu.nl,192.81.132.23,,aspmx.l.google.com,nl,
Wrong TLD,baidu.no,194.63.248.70,US,UNITED STATES,mx.domeneshop.no,no,
Wrong TLD,baidu.org,122.227.164.188,CN,CHINA,,org,
Wrong TLD,baidu.ru,178.32.200.183,US,UNITED STATES,baidu.ru,ru,
Wrong TLD,baidu.se,194.9.94.86,GR,GREECE,,se,
Wrong TLD,baidu.us,192.186.251.164,,mail.baidu.us,us,

