Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,ww.tax.service.gov.uk,,?,,gov.uk,
Character Omission,www.ax.service.gov.uk,,?,,gov.uk,
Character Omission,www.ta.service.gov.uk,,?,,gov.uk,
Character Omission,www.tax.ervice.gov.uk,,?,,gov.uk,
Character Omission,www.tax.serice.gov.uk,,?,,gov.uk,
Character Omission,www.tax.servce.gov.uk,,?,,gov.uk,
Character Omission,www.tax.servic.gov.uk,,?,,gov.uk,
Character Omission,www.tax.servie.gov.uk,,?,,gov.uk,
Character Omission,www.tax.sevice.gov.uk,,?,,gov.uk,
Character Omission,www.tax.srvice.gov.uk,,?,,gov.uk,
Character Omission,www.taxservice.gov.uk,,?,,gov.uk,
Character Omission,www.tx.service.gov.uk,,?,,gov.uk,
Character Omission,wwwtax.service.gov.uk,,?,,gov.uk,
Character Repeat,www.taax.service.gov.uk,,?,,gov.uk,
Character Repeat,www.tax.seervice.gov.uk,,?,,gov.uk,
Character Repeat,www.tax.serrvice.gov.uk,,?,,gov.uk,
Character Repeat,www.tax.servicce.gov.uk,,?,,gov.uk,
Character Repeat,www.tax.servicee.gov.uk,,?,,gov.uk,
Character Repeat,www.tax.serviice.gov.uk,,?,,gov.uk,
Character Repeat,www.tax.servvice.gov.uk,,?,,gov.uk,
Character Repeat,www.tax.sservice.gov.uk,,?,,gov.uk,
Character Repeat,www.taxx.service.gov.uk,,?,,gov.uk,
Character Repeat,www.ttax.service.gov.uk,,?,,gov.uk,
Character Repeat,wwww.tax.service.gov.uk,,?,,gov.uk,
Character Swap,ww.wtax.service.gov.uk,,?,,gov.uk,
Character Swap,www.atx.service.gov.uk,,?,,gov.uk,
Character Swap,www.ta.xservice.gov.uk,,?,,gov.uk,
Character Swap,www.tax.esrvice.gov.uk,,?,,gov.uk,
Character Swap,www.tax.serivce.gov.uk,,?,,gov.uk,
Character Swap,www.tax.servcie.gov.uk,,?,,gov.uk,
Character Swap,www.tax.serviec.gov.uk,,?,,gov.uk,
Character Swap,www.tax.sevrice.gov.uk,,?,,gov.uk,
Character Swap,www.tax.srevice.gov.uk,,?,,gov.uk,
Character Swap,www.taxs.ervice.gov.uk,,?,,gov.uk,
Character Swap,www.txa.service.gov.uk,,?,,gov.uk,
Character Swap,wwwt.ax.service.gov.uk,,?,,gov.uk,
Character Replacement,eww.tax.service.gov.uk,,?,,gov.uk,
Character Replacement,qww.tax.service.gov.uk,,?,,gov.uk,
Character Replacement,wew.tax.service.gov.uk,,?,,gov.uk,
Character Replacement,wqw.tax.service.gov.uk,,?,,gov.uk,
Character Replacement,wwe.tax.service.gov.uk,,?,,gov.uk,
Character Replacement,wwq.tax.service.gov.uk,,?,,gov.uk,
Character Replacement,www.rax.service.gov.uk,,?,,gov.uk,
Character Replacement,www.tac.service.gov.uk,,?,,gov.uk,
Character Replacement,www.tax.aervice.gov.uk,,?,,gov.uk,
Character Replacement,www.tax.dervice.gov.uk,,?,,gov.uk,
Character Replacement,www.tax.seevice.gov.uk,,?,,gov.uk,
Character Replacement,www.tax.serbice.gov.uk,,?,,gov.uk,
Character Replacement,www.tax.sercice.gov.uk,,?,,gov.uk,
Character Replacement,www.tax.servicr.gov.uk,,?,,gov.uk,
Character Replacement,www.tax.servicw.gov.uk,,?,,gov.uk,
Character Replacement,www.tax.servive.gov.uk,,?,,gov.uk,
Character Replacement,www.tax.servixe.gov.uk,,?,,gov.uk,
Character Replacement,www.tax.servoce.gov.uk,,?,,gov.uk,
Character Replacement,www.tax.servuce.gov.uk,,?,,gov.uk,
Character Replacement,www.tax.setvice.gov.uk,,?,,gov.uk,
Character Replacement,www.tax.srrvice.gov.uk,,?,,gov.uk,
Character Replacement,www.tax.swrvice.gov.uk,,?,,gov.uk,
Character Replacement,www.taz.service.gov.uk,,?,,gov.uk,
Character Replacement,www.tsx.service.gov.uk,,?,,gov.uk,
Character Replacement,www.yax.service.gov.uk,,?,,gov.uk,
Double Character Replacement,eew.tax.service.gov.uk,,?,,gov.uk,
Double Character Replacement,qqw.tax.service.gov.uk,,?,,gov.uk,
Double Character Replacement,wee.tax.service.gov.uk,,?,,gov.uk,
Double Character Replacement,wqq.tax.service.gov.uk,,?,,gov.uk,
Character Insertion,weww.tax.service.gov.uk,,?,,gov.uk,
Character Insertion,wqww.tax.service.gov.uk,,?,,gov.uk,
Character Insertion,wwew.tax.service.gov.uk,,?,,gov.uk,
Character Insertion,wwqw.tax.service.gov.uk,,?,,gov.uk,
Character Insertion,www.tasx.service.gov.uk,,?,,gov.uk,
Character Insertion,www.tax.saervice.gov.uk,,?,,gov.uk,
Character Insertion,www.tax.sdervice.gov.uk,,?,,gov.uk,
Character Insertion,www.tax.serevice.gov.uk,,?,,gov.uk,
Character Insertion,www.tax.sertvice.gov.uk,,?,,gov.uk,
Character Insertion,www.tax.servbice.gov.uk,,?,,gov.uk,
Character Insertion,www.tax.servcice.gov.uk,,?,,gov.uk,
Character Insertion,www.tax.servicer.gov.uk,,?,,gov.uk,
Character Insertion,www.tax.servicew.gov.uk,,?,,gov.uk,
Character Insertion,www.tax.servicve.gov.uk,,?,,gov.uk,
Character Insertion,www.tax.servicxe.gov.uk,,?,,gov.uk,
Character Insertion,www.tax.servioce.gov.uk,,?,,gov.uk,
Character Insertion,www.tax.serviuce.gov.uk,,?,,gov.uk,
Character Insertion,www.tax.sewrvice.gov.uk,,?,,gov.uk,
Character Insertion,www.taxc.service.gov.uk,,?,,gov.uk,
Character Insertion,www.taxz.service.gov.uk,,?,,gov.uk,
Character Insertion,www.trax.service.gov.uk,,?,,gov.uk,
Character Insertion,www.tyax.service.gov.uk,,?,,gov.uk,
Character Insertion,wwwe.tax.service.gov.uk,,?,,gov.uk,
Character Insertion,wwwq.tax.service.gov.uk,,?,,gov.uk,
Missing Dot,wwwwww.tax.service.gov.uk,,?,,gov.uk,
Singular or Pluralise,service.gov.uk,23.235.33.144,,,gov.uk,
Singular or Pluralise,services.gov.uk,,?,,gov.uk,
Vowel Swap,www.tax.sarvica.gov.uk,,?,,gov.uk,
Vowel Swap,www.tax.servace.gov.uk,,?,,gov.uk,
Vowel Swap,www.tax.servece.gov.uk,,?,,gov.uk,
Vowel Swap,www.tax.sirvici.gov.uk,,?,,gov.uk,
Vowel Swap,www.tax.sorvico.gov.uk,,?,,gov.uk,
Vowel Swap,www.tax.survicu.gov.uk,,?,,gov.uk,
Vowel Swap,www.tex.service.gov.uk,,?,,gov.uk,
Vowel Swap,www.tix.service.gov.uk,,?,,gov.uk,
Vowel Swap,www.tox.service.gov.uk,,?,,gov.uk,
Vowel Swap,www.tux.service.gov.uk,,?,,gov.uk,
Homophones,www.tacks.service.gov.uk,,?,,gov.uk,
Homophones,www.tacts.service.gov.uk,,?,,gov.uk,
Homophones,www.tax.servayece.gov.uk,,?,,gov.uk,
Homophones,www.tax.serveyece.gov.uk,,?,,gov.uk,
Homophones,www.tax.servise.gov.uk,,?,,gov.uk,
Homophones,www.taxe.service.gov.uk,,?,,gov.uk,
Bit Flipping,7ww.tax.service.gov.uk,,?,,gov.uk,
Bit Flipping,gww.tax.service.gov.uk,,?,,gov.uk,
Bit Flipping,sww.tax.service.gov.uk,,?,,gov.uk,
Bit Flipping,uww.tax.service.gov.uk,,?,,gov.uk,
Bit Flipping,vww.tax.service.gov.uk,,?,,gov.uk,
Bit Flipping,w7w.tax.service.gov.uk,,?,,gov.uk,
Bit Flipping,wgw.tax.service.gov.uk,,?,,gov.uk,
Bit Flipping,wsw.tax.service.gov.uk,,?,,gov.uk,
Bit Flipping,wuw.tax.service.gov.uk,,?,,gov.uk,
Bit Flipping,wvw.tax.service.gov.uk,,?,,gov.uk,
Bit Flipping,ww7.tax.service.gov.uk,,?,,gov.uk,
Bit Flipping,wwg.tax.service.gov.uk,,?,,gov.uk,
Bit Flipping,wws.tax.service.gov.uk,,?,,gov.uk,
Bit Flipping,wwu.tax.service.gov.uk,,?,,gov.uk,
Bit Flipping,wwv.tax.service.gov.uk,,?,,gov.uk,
Bit Flipping,www.4ax.service.gov.uk,,?,,gov.uk,
Bit Flipping,www.dax.service.gov.uk,,?,,gov.uk,
Bit Flipping,www.pax.service.gov.uk,,?,,gov.uk,
Bit Flipping,www.ta8.service.gov.uk,,?,,gov.uk,
Bit Flipping,www.tah.service.gov.uk,,?,,gov.uk,
Bit Flipping,www.tap.service.gov.uk,,?,,gov.uk,
Bit Flipping,www.tax.3ervice.gov.uk,,?,,gov.uk,
Bit Flipping,www.tax.cervice.gov.uk,,?,,gov.uk,
Bit Flipping,www.tax.qervice.gov.uk,,?,,gov.uk,
Bit Flipping,www.tax.rervice.gov.uk,,?,,gov.uk,
Bit Flipping,www.tax.sarvice.gov.uk,,?,,gov.uk,
Bit Flipping,www.tax.sdrvice.gov.uk,,?,,gov.uk,
Bit Flipping,www.tax.se2vice.gov.uk,,?,,gov.uk,
Bit Flipping,www.tax.sebvice.gov.uk,,?,,gov.uk,
Bit Flipping,www.tax.sepvice.gov.uk,,?,,gov.uk,
Bit Flipping,www.tax.ser6ice.gov.uk,,?,,gov.uk,
Bit Flipping,www.tax.serfice.gov.uk,,?,,gov.uk,
Bit Flipping,www.tax.serrice.gov.uk,,?,,gov.uk,
Bit Flipping,www.tax.sertice.gov.uk,,?,,gov.uk,
Bit Flipping,www.tax.servhce.gov.uk,,?,,gov.uk,
Bit Flipping,www.tax.serviae.gov.uk,,?,,gov.uk,
Bit Flipping,www.tax.servibe.gov.uk,,?,,gov.uk,
Bit Flipping,www.tax.servica.gov.uk,,?,,gov.uk,
Bit Flipping,www.tax.servicd.gov.uk,,?,,gov.uk,
