(u'accurint.com', 'accurint-healthcare.net.', 'accurint-healthcare.net', 'combo', '208.91.197.27')
(u'accurint.com', 'accurint-healthcare.com.', 'accurint-healthcare.com', 'combo', '208.91.197.27')
(u'accurint.com', 'accurintr.com.', 'accurintr.com', u'typo', '184.168.221.22')
(u'accurint.com', 'accurint.us.', 'accurint.us', 'wrongTLD', '209.243.48.54')
(u'accurint.com', 'accurint-update.org.', 'accurint-update.org', 'combo', '138.12.4.174')
(u'accurint.com', 'accrint.com.', 'accrint.com', u'typo', '69.172.201.153')
(u'accurint.com', 'accurint-update.net.', 'accurint-update.net', 'combo', '138.12.4.174')
(u'accurint.com', 'accurint-update.com.', 'accurint-update.com', 'combo', '138.12.4.174')
(u'accurint.com', 'accutint.net.', 'accutint.net', u'typo', '107.21.217.230')
(u'accurint.com', 'accuurint.com.', 'accuurint.com', u'typo', '50.63.202.17')
(u'accurint.com', 'www-accurint.com.', 'www-accurint.com', 'combo', '184.168.221.23')
(u'accurint.com', 'accurint.xxx.', 'accurint.xxx', 'wrongTLD', '199.253.28.249')
(u'accurint.com', 'accurint.cc.', 'accurint.cc', 'wrongTLD', '209.243.48.54')
(u'accurint.com', 'accurnit.com.', 'accurnit.com', u'typo', '138.12.4.174')
(u'accurint.com', 'accurint-business.net.', 'accurint-business.net', 'combo', '208.91.197.27')
(u'accurint.com', 'accurint-business.com.', 'accurint-business.com', 'combo', '208.91.197.27')
(u'accurint.com', 'accurint-for-collections.net.', 'accurint-for-collections.net', 'combo', '208.91.197.27')
(u'accurint.com', 'acurint.com.', 'acurint.com', u'typo', '138.12.4.174')
(u'accurint.com', 'accurint-for-collections.com.', 'accurint-for-collections.com', 'combo', '208.91.197.27')
(u'accurint.com', 'accurint.me.', 'accurint.me', 'wrongTLD', '208.91.197.27')
(u'accurint.com', 'accurint.com.ph.', 'accurint.com.ph', 'wrongTLD', '45.79.222.138')
(u'accurint.com', 'accurint.biz.', 'accurint.biz', 'wrongTLD', '209.243.48.54')
(u'accurint.com', 'accruint.org.', 'accruint.org', u'typo', '138.12.4.174')
(u'accurint.com', 'accuirint.com.', 'accuirint.com', u'typo', '209.15.13.134')
(u'accurint.com', 'accurintn.com.', 'accurintn.com', u'typo', '138.12.4.174')
(u'accurint.com', 'accurit.com.', 'accurit.com', u'typo', '69.172.201.153')
(u'accurint.com', 'accurint.xxx.', 'accurint.xxx', 'wrongTLD', '199.253.28.9')
(u'accurint.com', 'accurint.tv.', 'accurint.tv', 'wrongTLD', '209.243.48.54')
(u'accurint.com', 'accurit.nl.', 'accurit.nl', u'typo', '85.158.254.115')
(u'accurint.com', 'accurinty.com.', 'accurinty.com', u'typo', '184.168.221.15')
(u'accurint.com', 'accuint.com.', 'accuint.com', u'typo', '98.124.245.24')
(u'accurint.com', 'accurintc.com.', 'accurintc.com', u'typo', '50.63.202.20')
(u'accurint.com', 'accurint.info.', 'accurint.info', 'wrongTLD', '209.243.48.54')
(u'accurint.com', 'accuriunt.com.', 'accuriunt.com', u'typo', '184.168.221.8')
(u'accurint.com', 'accurints.com.', 'accurints.com', u'typo', '50.63.202.21')
(u'accurint.com', 'accurent.cn.', 'accurent.cn', u'homo', '103.232.215.138')
(u'accurint.com', 'accruint.net.', 'accruint.net', u'typo', '184.168.221.11')
(u'accurint.com', 'accurint.ws.', 'accurint.ws', 'wrongTLD', '209.243.48.54')
(u'accurint.com', 'accjurint.com.', 'accjurint.com', u'typo', '184.168.221.6')
(u'accurint.com', 'update-accurint.org.', 'update-accurint.org', 'combo', '138.12.4.174')
(u'accurint.com', 'accuirnt.com.', 'accuirnt.com', u'typo', '199.191.50.73')
(u'accurint.com', 'update-accurint.net.', 'update-accurint.net', 'combo', '138.12.4.174')
(u'accurint.com', 'update-accurint.com.', 'update-accurint.com', 'combo', '138.12.4.174')
(u'accurint.com', 'accurit.co.za.', 'accurit.co.za', u'typo', '41.76.212.220')
(u'accurint.com', 'accurinnt.com.', 'accurinnt.com', u'typo', '138.12.4.174')
(u'accurint.com', 'accurint.net.', 'accurint.net', 'wrongTLD', '72.52.4.122')
(u'accurint.com', 'accurinte.com.', 'accurinte.com', u'typo', '72.52.4.122')
(u'accurint.com', 'accurint-for-healthcare.net.', 'accurint-for-healthcare.net', 'combo', '208.91.197.27')
(u'accurint.com', 'acccurint.com.', 'acccurint.com', u'typo', '138.12.4.174')
(u'accurint.com', 'accutint.com.', 'accutint.com', u'typo', '216.87.172.186')
(u'accurint.com', 'accurint.org.', 'accurint.org', 'wrongTLD', '209.243.48.54')
(u'accurint.com', 'accurint-collections.net.', 'accurint-collections.net', 'combo', '208.91.197.27')
(u'accurint.com', 'accurin.com.', 'accurin.com', u'typo', '51.254.28.160')
(u'accurint.com', 'accurint-for-healthcare.com.', 'accurint-for-healthcare.com', 'combo', '208.91.197.27')
(u'accurint.com', 'accurint-for-insurance.net.', 'accurint-for-insurance.net', 'combo', '208.91.197.27')
(u'accurint.com', 'accurint-collections.com.', 'accurint-collections.com', 'combo', '208.91.197.27')
(u'accurint.com', 'accurint-for-insurance.com.', 'accurint-for-insurance.com', 'combo', '208.91.197.27')
(u'accurint.com', 'accurin.com.', 'accurin.com', u'typo', '158.69.143.112')
(u'accurint.com', 'accruint.com.', 'accruint.com', u'typo', '50.63.202.4')
(u'accurint.com', 'accurit.net.', 'accurit.net', u'typo', '50.63.202.61')
(u'accurint.com', 'accurent.com.', 'accurent.com', u'homo', '208.91.196.42')
