(u'adultdvdempire.com', 'adultdvdempir.com.', 'adultdvdempir.com', u'typo', '208.91.197.26')
(u'adultdvdempire.com', 'aduktdvdempire.com.', 'aduktdvdempire.com', u'typo', '199.184.144.27')
(u'adultdvdempire.com', 'adultdvdempire.org.', 'adultdvdempire.org', 'wrongTLD', '96.45.83.136')
(u'adultdvdempire.com', 'adultdvdempire.xxx.', 'adultdvdempire.xxx', 'wrongTLD', '96.45.83.84')
(u'adultdvdempire.com', 'adultdvdempire.net.', 'adultdvdempire.net', 'wrongTLD', '96.45.83.136')
(u'adultdvdempire.com', 'adultdvdemplre.com.', 'adultdvdemplre.com', u'homo', '98.124.245.24')
(u'adultdvdempire.com', 'aultdvdempire.com.', 'aultdvdempire.com', u'typo', '209.15.13.134')
(u'adultdvdempire.com', 'adultdvdempire.info.', 'adultdvdempire.info', 'wrongTLD', '208.91.197.26')
(u'adultdvdempire.com', 'adultdvdempire.xxx.', 'adultdvdempire.xxx', 'wrongTLD', '96.45.83.136')
(u'adultdvdempire.com', 'adulddvdempire.com.', 'adulddvdempire.com', u'bits', '209.15.13.134')
(u'adultdvdempire.com', 'adultsvdempire.com.', 'adultsvdempire.com', u'typo', '81.171.22.4')
(u'adultdvdempire.com', 'adultsvdempire.com.', 'adultsvdempire.com', u'typo', '81.171.22.6')
(u'adultdvdempire.com', 'adultdvdempire.co.uk.', 'adultdvdempire.co.uk', 'wrongTLD', '96.45.82.132')
(u'adultdvdempire.com', 'adultdvempire.com.', 'adultdvempire.com', u'typo', '208.91.197.26')
(u'adultdvdempire.com', 'adultdvdempier.com.', 'adultdvdempier.com', u'typo', '64.21.16.148')
(u'adultdvdempire.com', 'adultdvdempire.org.', 'adultdvdempire.org', 'wrongTLD', '96.45.82.132')
(u'adultdvdempire.com', 'adultdvdempire.net.', 'adultdvdempire.net', 'wrongTLD', '96.45.82.132')
(u'adultdvdempire.com', 'adultdbdempire.com.', 'adultdbdempire.com', u'typo', '54.217.222.113')
(u'adultdvdempire.com', 'adultdvdemoire.com.', 'adultdvdemoire.com', u'typo', '209.15.13.134')
(u'adultdvdempire.com', 'adultdvdempire.co.uk.', 'adultdvdempire.co.uk', 'wrongTLD', '96.45.82.70')
(u'adultdvdempire.com', 'aduldvdempire.com.', 'aduldvdempire.com', u'typo', '199.191.50.73')
(u'adultdvdempire.com', 'adultdvdempire.xxx.', 'adultdvdempire.xxx', 'wrongTLD', '96.45.82.132')
(u'adultdvdempire.com', 'adultdvdemire.com.', 'adultdvdemire.com', u'typo', '208.91.197.26')
(u'adultdvdempire.com', 'adultsdvdempire.com.', 'adultsdvdempire.com', u'typo', '103.224.182.244')
(u'adultdvdempire.com', 'adultdvdempire.org.', 'adultdvdempire.org', 'wrongTLD', '96.45.82.70')
(u'adultdvdempire.com', 'adultdvdempire.net.', 'adultdvdempire.net', 'wrongTLD', '96.45.82.70')
(u'adultdvdempire.com', 'adultdvdempire.co.uk.', 'adultdvdempire.co.uk', 'wrongTLD', '96.45.83.84')
(u'adultdvdempire.com', 'adultdvdenpire.com.', 'adultdvdenpire.com', u'homo', '199.184.144.27')
(u'adultdvdempire.com', 'adultsvdempire.com.', 'adultsvdempire.com', u'typo', '199.115.116.216')
(u'adultdvdempire.com', 'adultdvdempire.org.', 'adultdvdempire.org', 'wrongTLD', '96.45.83.84')
(u'adultdvdempire.com', 'adultdvdempire.net.', 'adultdvdempire.net', 'wrongTLD', '96.45.83.84')
(u'adultdvdempire.com', 'adultdvdsempire.com.', 'adultdvdsempire.com', u'typo', '208.91.197.26')
(u'adultdvdempire.com', 'adultdvdempire.xxx.', 'adultdvdempire.xxx', 'wrongTLD', '96.45.82.70')
(u'adultdvdempire.com', 'adultdvdmpire.com.', 'adultdvdmpire.com', u'typo', '209.15.13.134')
(u'adultdvdempire.com', 'adultdvdempire.co.uk.', 'adultdvdempire.co.uk', 'wrongTLD', '96.45.83.136')
