(u'alaskaair.com', 'alasmaair.com.', 'alasmaair.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alaxkaair.com.', 'alaxkaair.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alackaair.com.', 'alackaair.com', u'bits', '52.86.163.26')
(u'alaskaair.com', 'aliskaair.com.', 'aliskaair.com', u'homo', '72.52.178.23')
(u'alaskaair.com', 'alaskaiar.com.', 'alaskaiar.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alasksair.com.', 'alasksair.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alaskaar.com.', 'alaskaar.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'alaskaaair.us.', 'alaskaaair.us', u'typo', '54.246.93.13')
(u'alaskaair.com', 'alaskaalr.com.', 'alaskaalr.com', u'homo', '23.22.216.234')
(u'alaskaair.com', 'alaskaair-aviationday.org.', 'alaskaair-aviationday.org', 'combo', '184.168.47.225')
(u'alaskaair.com', 'aolaskaair.com.', 'aolaskaair.com', u'typo', '195.93.85.39')
(u'alaskaair.com', 'alaskaairl.com.', 'alaskaairl.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'alaakaair.com.', 'alaakaair.com', u'typo', '72.3.202.136')
(u'alaskaair.com', 'alaskaakr.com.', 'alaskaakr.com', u'bits', '52.52.18.176')
(u'alaskaair.com', 'alasmaair.com.', 'alasmaair.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'aalaskaair.com.', 'aalaskaair.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alazkaair.com.', 'alazkaair.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'laskaair.com.', 'laskaair.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alaskaaer.com.', 'alaskaaer.com', u'homo', '23.22.216.234')
(u'alaskaair.com', 'alaskair.org.', 'alaskair.org', u'typo', '159.49.253.14')
(u'alaskaair.com', 'alackaair.com.', 'alackaair.com', u'bits', '52.52.64.247')
(u'alaskaair.com', 'alaskiaair.com.', 'alaskiaair.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'alaskaaur.com.', 'alaskaaur.com', u'homo', '52.86.163.26')
(u'alaskaair.com', 'alaskaair.biz.', 'alaskaair.biz', 'wrongTLD', '209.99.40.219')
(u'alaskaair.com', 'elaskaair.com.', 'elaskaair.com', u'homo', '52.86.163.26')
(u'alaskaair.com', 'alasksair.com.', 'alasksair.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alaskaaiir.com.', 'alaskaaiir.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alkaskaair.com.', 'alkaskaair.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alaskair.net.', 'alaskair.net', u'typo', '159.49.253.14')
(u'alaskaair.com', 'alawkaair.com.', 'alawkaair.com', u'bits', '52.52.64.247')
(u'alaskaair.com', 'alsskaair.com.', 'alsskaair.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alaskaeir.com.', 'alaskaeir.com', u'homo', '52.52.64.247')
(u'alaskaair.com', 'alasdkaair.com.', 'alasdkaair.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alaskaaair.us.', 'alaskaaair.us', u'typo', '176.34.186.137')
(u'alaskaair.com', 'aklaskaair.com.', 'aklaskaair.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'aolaskaair.com.', 'aolaskaair.com', u'typo', '64.12.89.152')
(u'alaskaair.com', 'alascaair.com.', 'alascaair.com', u'bits', '52.86.163.26')
(u'alaskaair.com', 'laaskaair.com.', 'laaskaair.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alaskair.com.', 'alaskair.com', u'typo', '159.49.253.14')
(u'alaskaair.com', 'alaksaair.com.', 'alaksaair.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alaskaaire.com.', 'alaskaaire.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'aslaskaair.com.', 'aslaskaair.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alasakaair.com.', 'alasakaair.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alakaair.com.', 'alakaair.com', u'typo', '52.86.163.26')
