(u'alliancebank.com', 'aliancebank.com.', 'aliancebank.com', u'typo', '208.73.210.217')
(u'alliancebank.com', 'alliancebank.org.', 'alliancebank.org', 'wrongTLD', '96.47.220.39')
(u'alliancebank.com', 'alliancebank.com.au.', 'alliancebank.com.au', 'wrongTLD', '202.124.241.178')
(u'alliancebank.com', 'alliancbank.info.', 'alliancbank.info', u'typo', '96.47.220.39')
(u'alliancebank.com', 'aliancebank.org.', 'aliancebank.org', u'typo', '96.47.220.39')
(u'alliancebank.com', 'aliancebank.net.', 'aliancebank.net', u'typo', '96.47.220.39')
(u'alliancebank.com', 'alliancebank-login.com.', 'alliancebank-login.com', 'combo', '96.47.220.39')
(u'alliancebank.com', 'alliancebank-mobile.com.', 'alliancebank-mobile.com', 'combo', '96.47.220.39')
(u'alliancebank.com', 'alliancbank.com.', 'alliancbank.com', u'typo', '72.52.4.122')
(u'alliancebank.com', 'alliancbank.biz.', 'alliancbank.biz', u'typo', '96.47.220.39')
(u'alliancebank.com', 'alliancebank.net.', 'alliancebank.net', 'wrongTLD', '69.172.201.153')
(u'alliancebank.com', 'alliancebank.name.', 'alliancebank.name', 'wrongTLD', '96.47.220.39')
(u'alliancebank.com', 'alliancebank.bank.', 'alliancebank.bank', 'wrongTLD', '52.86.189.41')
(u'alliancebank.com', 'aliancebank.name.', 'aliancebank.name', u'typo', '96.47.220.39')
(u'alliancebank.com', 'alliancebanks.net.', 'alliancebanks.net', u'typo', '162.255.119.250')
(u'alliancebank.com', 'alliancebanky.com.', 'alliancebanky.com', u'typo', '205.196.239.21')
(u'alliancebank.com', 'alliance-bank.ws.', 'alliance-bank.ws', u'typo', '64.70.19.203')
(u'alliancebank.com', 'alliancbank.mobi.', 'alliancbank.mobi', u'typo', '96.47.220.39')
(u'alliancebank.com', 'alliancebank.xyz.', 'alliancebank.xyz', 'wrongTLD', '205.178.189.131')
(u'alliancebank.com', 'alliancebank.info.', 'alliancebank.info', 'wrongTLD', '96.47.220.39')
(u'alliancebank.com', 'alliancebcnk.com.', 'alliancebcnk.com', u'bits', '185.176.43.57')
(u'alliancebank.com', 'aliancebank.com.', 'aliancebank.com', u'typo', '208.73.211.165')
(u'alliancebank.com', 'alliancebank-billpay.com.', 'alliancebank-billpay.com', 'combo', '96.47.220.39')
(u'alliancebank.com', 'alliancbank.us.', 'alliancbank.us', u'typo', '96.47.220.39')
(u'alliancebank.com', 'alliancebank.uz.', 'alliancebank.uz', 'wrongTLD', '83.69.129.17')
(u'alliancebank.com', 'aliancebank.info.', 'aliancebank.info', u'typo', '96.47.220.39')
(u'alliancebank.com', 'alliancbank.org.', 'alliancbank.org', u'typo', '96.47.220.39')
(u'alliancebank.com', 'alliancbank.net.', 'alliancbank.net', u'typo', '96.47.220.39')
(u'alliancebank.com', 'alliancebank-signup.com.', 'alliancebank-signup.com', 'combo', '96.47.220.39')
(u'alliancebank.com', 'aliancebank.com.', 'aliancebank.com', u'typo', '208.73.211.177')
(u'alliancebank.com', 'alliancbank.name.', 'alliancbank.name', u'typo', '96.47.220.39')
(u'alliancebank.com', 'alliancebank.com.ph.', 'alliancebank.com.ph', 'wrongTLD', '45.79.222.138')
(u'alliancebank.com', 'alliancebank.com.ua.', 'alliancebank.com.ua', 'wrongTLD', '178.20.159.72')
(u'alliancebank.com', 'aliancebank.com.', 'aliancebank.com', u'typo', '208.73.210.202')
(u'alliancebank.com', 'alliancebank.mobi.', 'alliancebank.mobi', 'wrongTLD', '96.47.220.39')
(u'alliancebank.com', 'alliancebank.co.', 'alliancebank.co', 'wrongTLD', '96.47.220.39')
(u'alliancebank.com', 'alliancebnk.tk.', 'alliancebnk.tk', u'typo', '195.20.40.197')
(u'alliancebank.com', 'alliancebank-logon.com.', 'alliancebank-logon.com', 'combo', '96.47.220.39')
(u'alliancebank.com', 'alliancebanks.com.', 'alliancebanks.com', u'typo', '12.191.21.94')
(u'alliancebank.com', 'aliancebank.mobi.', 'aliancebank.mobi', u'typo', '96.47.220.39')
(u'alliancebank.com', 'alliance-bank.com.', 'alliance-bank.com', u'typo', '204.11.56.48')
