(u'associatedbank.com', 'associatdbank.com.', 'associatdbank.com', u'typo', '199.191.50.73')
(u'associatedbank.com', 'associiatedbank.com.', 'associiatedbank.com', u'typo', '172.107.8.214')
(u'associatedbank.com', 'associatedbank.tv.', 'associatedbank.tv', 'wrongTLD', '12.180.184.143')
(u'associatedbank.com', 'assoicatedbank.com.', 'assoicatedbank.com', u'typo', '12.192.9.143')
(u'associatedbank.com', 'associaredbank.com.', 'associaredbank.com', u'typo', '103.224.212.226')
(u'associatedbank.com', 'assoiatedbank.com.', 'assoiatedbank.com', u'typo', '69.162.80.53')
(u'associatedbank.com', 'ass0ciatedbank.com.', 'ass0ciatedbank.com', u'homo', '198.105.254.111')
(u'associatedbank.com', 'assoiatedbank.com.', 'assoiatedbank.com', u'typo', '69.162.80.56')
(u'associatedbank.com', 'assosiatedbank.com.', 'assosiatedbank.com', u'bits', '72.52.179.175')
(u'associatedbank.com', 'associatedbonk.com.', 'associatedbonk.com', u'homo', '184.168.221.48')
(u'associatedbank.com', 'ssociatedbank.com.', 'ssociatedbank.com', u'typo', '95.211.219.66')
(u'associatedbank.com', 'ssociatedbank.com.', 'ssociatedbank.com', u'typo', '95.211.219.67')
(u'associatedbank.com', 'associatedbank.ws.', 'associatedbank.ws', 'wrongTLD', '12.180.184.143')
(u'associatedbank.com', 'associated-bank.org.', 'associated-bank.org', u'typo', '12.192.9.143')
(u'associatedbank.com', 'assocoatedbank.com.', 'assocoatedbank.com', u'homo', '72.52.4.122')
(u'associatedbank.com', 'associatedibank.com.', 'associatedibank.com', u'homo', '12.192.9.143')
(u'associatedbank.com', 'associatedbank.org.', 'associatedbank.org', 'wrongTLD', '12.192.9.143')
(u'associatedbank.com', 'associated-bank.net.', 'associated-bank.net', u'typo', '12.192.9.143')
(u'associatedbank.com', 'associatedbaank.com.', 'associatedbaank.com', u'typo', '172.107.8.216')
(u'associatedbank.com', 'ssociatedbank.com.', 'ssociatedbank.com', u'typo', '69.162.80.54')
(u'associatedbank.com', 'associatedbank.net.', 'associatedbank.net', 'wrongTLD', '12.192.9.143')
(u'associatedbank.com', 'associated-bank.com.', 'associated-bank.com', u'typo', '12.192.9.143')
(u'associatedbank.com', 'associatedbak.com.', 'associatedbak.com', u'typo', '12.192.9.143')
(u'associatedbank.com', 'assiciatedbank.com.', 'assiciatedbank.com', u'homo', '12.192.9.143')
(u'associatedbank.com', 'associatedebank.com.', 'associatedebank.com', u'typo', '12.180.184.143')
(u'associatedbank.com', 'associatedbanj.com.', 'associatedbanj.com', u'bits', '104.202.158.236')
(u'associatedbank.com', 'assoicatedbank.com.', 'assoicatedbank.com', u'typo', '12.180.184.143')
(u'associatedbank.com', 'associateedbank.com.', 'associateedbank.com', u'typo', '172.107.10.162')
(u'associatedbank.com', 'ass0ciatedbank.com.', 'ass0ciatedbank.com', u'homo', '198.105.244.111')
(u'associatedbank.com', 'associatedvank.com.', 'associatedvank.com', u'typo', '104.202.158.234')
(u'associatedbank.com', 'ssociatedbank.com.', 'ssociatedbank.com', u'typo', '69.162.80.60')
(u'associatedbank.com', 'associatesbank.com.', 'associatesbank.com', u'typo', '108.175.168.68')
(u'associatedbank.com', 'associatedbanks.com.', 'associatedbanks.com', u'typo', '95.211.219.66')
(u'associatedbank.com', 'associaatedbank.com.', 'associaatedbank.com', u'typo', '12.192.9.143')
(u'associatedbank.com', 'associatedbak.net.', 'associatedbak.net', u'typo', '205.178.189.131')
(u'associatedbank.com', 'associatedbanks.com.', 'associatedbanks.com', u'typo', '95.211.219.67')
